MonDO_id 	 MonDO_name 	 parent_id 	 parent_name  
DOID:7302	endodermal sinus pattern testicular yolk sac tumor	DOID:5344	testicular yolk sac tumor
DOID:0110026	age related macular degeneration 14	DOID:10871	age related macular degeneration
DOID:0110027	age related macular degeneration 15	DOID:10871	age related macular degeneration
DOID:0110024	age related macular degeneration 12	DOID:10871	age related macular degeneration
DOID:0110025	age related macular degeneration 13	DOID:10871	age related macular degeneration
DOID:0110022	age related macular degeneration 10	DOID:10871	age related macular degeneration
DOID:0110023	age related macular degeneration 11	DOID:10871	age related macular degeneration
DOID:0110020	age related macular degeneration 8	DOID:10871	age related macular degeneration
DOID:8000	frontal convexity meningioma	DOID:6114	cerebral convexity meningioma
DOID:0110028	age related macular degeneration 5	DOID:10871	age related macular degeneration
DOID:6474	childhood teratocarcinoma of the testis	DOID:6161	childhood testicular mixed germ cell tumor
DOID:4870	lacrimal gland adenoid cystic carcinoma	DOID:298	lacrimal gland adenocarcinoma
DOID:8081	myxomatous pattern testicular yolk sac tumor	DOID:5344	testicular yolk sac tumor
DOID:6386	childhood brainstem astrocytoma	DOID:6383	childhood brain stem glioma
DOID:7097	macrocystic pattern testicular yolk sac tumor	DOID:5344	testicular yolk sac tumor
DOID:0050817	Stargardt disease	DOID:10871	age related macular degeneration
DOID:8392	reticular pattern testicular yolk sac tumor	DOID:5344	testicular yolk sac tumor
DOID:3033	colon signet ring adenocarcinoma	DOID:234	colon adenocarcinoma
DOID:3501	ampullary signet ring cell adenocarcinoma	DOID:3502	ampulla of Vater adenocarcinoma
DOID:3038	submucosal invasive colon adenocarcinoma	DOID:234	colon adenocarcinoma
DOID:6315	ovarian solid teratoma	DOID:6231	mature teratoma of the ovary
DOID:6314	ovarian fetiform teratoma	DOID:6231	mature teratoma of the ovary
DOID:6313	clivus chondroid chordoma	DOID:6312	clivus chordoma
DOID:5648	choroid plexus carcinoma	DOID:3540	choroid plexus cancer
DOID:3029	colon mucinous adenocarcinoma	DOID:234	colon adenocarcinoma
DOID:6553	posterior foramen magnum meningioma	DOID:4708	foramen magnum meningioma
DOID:8541	Sezary's disease	DOID:0060061	cutaneous T cell lymphoma
DOID:6229	childhood mature teratoma of the ovary	DOID:6231	mature teratoma of the ovary
DOID:7435	polyvesicular vitelline pattern testicular yolk sac tumor	DOID:5344	testicular yolk sac tumor
DOID:5208	malignant struma ovarii	DOID:2640	struma ovarii
DOID:5209	benign struma ovarii	DOID:2640	struma ovarii
DOID:3693	ampulla of Vater mucinous adenocarcinoma	DOID:3502	ampulla of Vater adenocarcinoma
DOID:8072	sarcomatous intrahepatic cholangiocarcinoma	DOID:4928	intrahepatic cholangiocarcinoma
DOID:5922	adult brainstem astrocytoma	DOID:4813	adult brain stem glioma
DOID:5921	adult brainstem mixed glioma	DOID:4813	adult brain stem glioma
DOID:0110021	age related macular degeneration 9	DOID:10871	age related macular degeneration
DOID:0060746	basal laminar drusen	DOID:2569	retinal drusen
DOID:0060745	Doyne honeycomb retinal dystrophy	DOID:2569	retinal drusen
DOID:7651	hypercalcemic type ovarian small cell carcinoma	DOID:6179	ovarian small cell carcinoma
DOID:7650	pulmonary type ovarian small cell carcinoma	DOID:6179	ovarian small cell carcinoma
DOID:6115	lateral ventricle meningioma	DOID:3772	intraventricular meningioma
DOID:3606	ovarian mucinous adenocarcinoma	DOID:3713	ovary adenocarcinoma
DOID:6938	pediatric intraocular retinoblastoma	DOID:4653	intraocular retinoblastoma
DOID:6083	childhood ovarian endodermal sinus tumor	DOID:5350	ovarian endodermal sinus tumor
DOID:7930	glandular-alveolar pattern testicular yolk sac tumor	DOID:5344	testicular yolk sac tumor
DOID:7642	cholangiolocellular carcinoma	DOID:4928	intrahepatic cholangiocarcinoma
DOID:4927	Klatskin's tumor	DOID:4928	intrahepatic cholangiocarcinoma
DOID:8362	enteric pattern testicular yolk sac tumor	DOID:5344	testicular yolk sac tumor
DOID:6514	polyvesicular vitelline pattern ovarian yolk sac tumor	DOID:5350	ovarian endodermal sinus tumor
DOID:6512	hepatoid pattern ovarian yolk sac tumor	DOID:5350	ovarian endodermal sinus tumor
DOID:6511	glandular pattern ovarian yolk sac tumor	DOID:5350	ovarian endodermal sinus tumor
DOID:5308	ampulla of Vater clear cell adenocarcinoma	DOID:3502	ampulla of Vater adenocarcinoma
DOID:3542	adult choroid plexus cancer	DOID:3540	choroid plexus cancer
DOID:8691	mycosis fungoides	DOID:0060061	cutaneous T cell lymphoma
DOID:3545	childhood choroid plexus cancer	DOID:3540	choroid plexus cancer
DOID:3544	atypical choroid plexus papilloma	DOID:3540	choroid plexus cancer
DOID:5118	ovarian cystic teratoma	DOID:6231	mature teratoma of the ovary
DOID:8110	periampullary adenocarcinoma	DOID:3502	ampulla of Vater adenocarcinoma
DOID:8239	lower clivus meningioma	DOID:6517	clivus meningioma
DOID:7024	mucinous intrahepatic cholangiocarcinoma	DOID:4928	intrahepatic cholangiocarcinoma
DOID:8195	hepatoid pattern testicular yolk sac tumor	DOID:5344	testicular yolk sac tumor
DOID:8193	papillary pattern testicular yolk sac tumor	DOID:5344	testicular yolk sac tumor
DOID:7733	signet ring cell intrahepatic cholangiocarcinoma	DOID:4928	intrahepatic cholangiocarcinoma
DOID:5828	endometrioid ovary carcinoma	DOID:3713	ovary adenocarcinoma
DOID:5047	neurohypophysis granular cell tumor	DOID:5048	posterior pituitary gland neoplasm
DOID:7442	monoclonal gammopathy of uncertain significance	DOID:6536	plasma cell neoplasm
DOID:7612	childhood intracortical osteosarcoma	DOID:7602	intracortical osteogenic sarcoma
DOID:9378	glaucomatocyclitic crisis	DOID:9383	iridocyclitis
DOID:7360	solid pattern testicular yolk sac tumor	DOID:5344	testicular yolk sac tumor
DOID:4812	adult brainstem gliosarcoma	DOID:4813	adult brain stem glioma
DOID:8221	upper clivus meningioma	DOID:6517	clivus meningioma
DOID:6381	anterior foramen magnum meningioma	DOID:4708	foramen magnum meningioma
DOID:4894	rete ovarii adenocarcinoma	DOID:3713	ovary adenocarcinoma
DOID:7747	pediatric extraocular retinoblastoma	DOID:4656	extraocular retinoblastoma
DOID:5304	ovarian clear cell adenocarcinoma	DOID:3713	ovary adenocarcinoma
DOID:6869	parasagittal meningioma	DOID:6114	cerebral convexity meningioma
