MonDO_id 	 MonDO_name 	 parent_id 	 parent_name 
MONDO:0014610	lethal fetal brain malformation-duodenal atresia-bilateral renal hypoplasia syndrome	MONDO:0019721	syndromic renal or urinary tract malformation
MONDO:0000600	nosophobia	MONDO:0012000	specific phobia
MONDO:0017884	papillary renal cell carcinoma	MONDO:0003008	hereditary renal cell carcinoma
MONDO:0016064	cleft palate	MONDO:0019038|MONDO:0000358	rare maxillo-facial surgical disease|orofacial cleft
MONDO:0017169	multiple endocrine neoplasia	MONDO:0021058	neoplastic syndrome
MONDO:0010602	hemophilia A	MONDO:0021196|MONDO:0021181	disease disrupting molecular activity|inherited blood coagulation disorder
MONDO:0016225	specific learning disability	MONDO:0020009	rare neurologic disease
MONDO:0001370	pericardial effusion (disease)	MONDO:0000474	pericardium disease
MONDO:0016221	temporomandibular joint anomaly	MONDO:0019038	rare maxillo-facial surgical disease
MONDO:0017950	microcephalic primordial dwarfism	MONDO:0017119	syndrome with microcephaly as major feature
MONDO:0017953	hereditary periodic fever syndrome	MONDO:0017133|MONDO:0021198	rare genetic systemic or rheumatologic disease|rare genetic disease
MONDO:0018891	familial tumoral calcinosis	MONDO:0019052	inborn errors of metabolism
MONDO:0017956	mixed autoinflammatory and autoimmune syndrome	MONDO:0017133	rare genetic systemic or rheumatologic disease
MONDO:0021005	Aarskog-Scott-like syndrome	MONDO:0000508	syndromic intellectual disability
MONDO:0010108	testicular germ cell tumor	MONDO:0020005	rare endocrine disease
MONDO:0005841	maxillary neoplasm	MONDO:0021223|MONDO:0005586|MONDO:0006858	digestive system neoplasm|head and neck neoplasia|mouth disease
MONDO:0005843	mediastinal cancer	MONDO:0003274	thoracic cancer
MONDO:0005842	maxillary sinusitis	MONDO:0006858	mouth disease
MONDO:0002395	renal adenoma	MONDO:0004972	adenoma
MONDO:0005846	microsporidiosis	MONDO:0020008	rare immune disease
MONDO:0005926	poliomyelitis	MONDO:0005071|MONDO:0005108	nervous system disease|viral disease
MONDO:0007015	viral meningitis	MONDO:0004796	infectious meningitis
MONDO:0002531	skin neoplasm	MONDO:0002051	integumentary system disease
MONDO:0002533	papillary adenoma	MONDO:0004972	adenoma
MONDO:0018634	hereditary amyloidosis	MONDO:0019052|MONDO:0017133|MONDO:0021198	inborn errors of metabolism|rare genetic systemic or rheumatologic disease|rare genetic disease
MONDO:0017318	phakomatosis pigmentovascularis	MONDO:0015218	syndromic developmental defect of the eye
MONDO:0002155	cholecystitis	MONDO:0004789	cholangitis
MONDO:0003778	primary immunodeficiency disease	MONDO:0005046	immune system disease
MONDO:0007576	esophageal cancer	MONDO:0003274|MONDO:0003749	thoracic cancer|esophageal disease
MONDO:0017310	Marfan and Marfan-related disorder	MONDO:0017133	rare genetic systemic or rheumatologic disease
MONDO:0017311	rare disease with thoracic aortic aneurysm and aortic dissection	MONDO:0020002	rare surgical thoracic disease
MONDO:0018639	caudal regression-sirenomelia spectrum	MONDO:0015246|MONDO:0015620|MONDO:0015226	syndromic anorectal malformation|syndromic urogenital tract malformation|syndrome with limb malformations as a major feature
MONDO:0019040	chromosomal anomaly	MONDO:0019755|MONDO:0021198	rare developmental defect during embryogenesis|rare genetic disease
MONDO:0019041	rare genetic tumor	MONDO:0021198|MONDO:0016645	rare genetic disease|rare neoplastic disease
MONDO:0019042	multiple congenital anomalies/dysmorphic syndrome	MONDO:0019755	rare developmental defect during embryogenesis
MONDO:0019043	rare genetic skin disease	MONDO:0019519|MONDO:0021198	rare skin disease|rare genetic disease
MONDO:0019044	tumor of hematopoietic and lymphoid tissues	MONDO:0020006	rare hematologic disease
MONDO:0019045	rare sleep disorder	MONDO:0020009|MONDO:0003406	rare neurologic disease|sleep disorder
MONDO:0017255	panuveitis (disease)	MONDO:0020283	uveitis (disease)
MONDO:0019047	rare deafness	MONDO:0021195|MONDO:0020017	disease disrupting biological or physiological process|rare otorhinolaryngologic disease
MONDO:0020022	central nervous system malformation	MONDO:0020009|MONDO:0019755	rare neurologic disease|rare developmental defect during embryogenesis
MONDO:0020023	respiratory or mediastinal malformation	MONDO:0019755	rare developmental defect during embryogenesis
MONDO:0020020	visceral malformation of the liver, biliary tract, pancreas or spleen	MONDO:0019755|MONDO:0015621	rare developmental defect during embryogenesis|rare abdominal surgical disease
MONDO:0020021	diaphragmatic or abdominal wall malformation	MONDO:0019755|MONDO:0015621	rare developmental defect during embryogenesis|rare abdominal surgical disease
MONDO:0020026	rare female infertility	MONDO:0020024	rare infertility
MONDO:0020027	rare allergic disease	MONDO:0020008	rare immune disease
MONDO:0020025	rare male infertility	MONDO:0020024	rare infertility
MONDO:0009661	mucopolysaccharidosis type 6	MONDO:0021196	disease disrupting molecular activity
MONDO:0018306	Griscelli syndrome	MONDO:0017305	syndromic oculocutaneous albinism
MONDO:0010699	Charcot-Marie-tooth disease X-linked recessive 5	MONDO:0018609	syndromic hereditary optic neuropathy
MONDO:0001673	diarrhea (disease)	MONDO:0004335	gastrointestinal system disease
MONDO:0000873	lymphoblastic lymphoma	MONDO:0020008|MONDO:0019684	rare immune disease|rare bone disease
MONDO:0021250	tonsil neoplasm	MONDO:0005087|MONDO:0005046	respiratory system disease|immune system disease
MONDO:0021257	glomus jugulare neoplasm	MONDO:0005586	head and neck neoplasia
MONDO:0017922	deafness-onychodystrophy syndrome	MONDO:0019285	syndromic nail anomaly
MONDO:0004577	corneal ulcer	MONDO:0003085	keratitis
MONDO:0004095	B-cell neoplasm	MONDO:0020008	rare immune disease
MONDO:0005627	head and neck malignant neoplasia	MONDO:0005586	head and neck neoplasia
MONDO:0005154	liver disease	MONDO:0005151	endocrine system disease
MONDO:0016034	cleft lip with or without cleft palate	MONDO:0019038	rare maxillo-facial surgical disease
MONDO:0005620	cerebral amyloid angiopathy	MONDO:0011057	cerebrovascular disorder
MONDO:0005623	autoimmune thyroid disease	MONDO:0004126	thyroiditis (disease)
MONDO:0002100	cardiovascular cancer	MONDO:0004995	cardiovascular disease
MONDO:0010765	46,XY complete gonadal dysgenesis	MONDO:0019520	syndromic lymphedema
MONDO:0015288	herpes simplex virus keratitis	MONDO:0003085	keratitis
MONDO:0005252	heart failure	MONDO:0005267	heart disease
MONDO:0018781	KID syndrome	MONDO:0020269	syndromic ichthyosis associated with ocular features
MONDO:0008389	autosomal dominant Robinow syndrome 1	MONDO:0019978	Robinow syndrome
MONDO:0005780	hantavirus infectious disease	MONDO:0005108	viral disease
MONDO:0000270	lower respiratory tract disease	MONDO:0005087	respiratory system disease
MONDO:0017400	hypoplastic pancreas-intestinal atresia-hypoplastic gallbalder syndrome	MONDO:0015212	syndromic intestinal malformation
MONDO:0004651	smallpox	MONDO:0005108	viral disease
MONDO:0006054	reproductive system neoplasm	MONDO:0005039	reproductive system disease
MONDO:0013742	familial mesial temporal lobe epilepsy with febrile seizures	MONDO:0000032	febrile seizures, familial
