MonDO_id 	 MonDO_name 	 parent_id 	 parent_name  
MONDO:0008178	inclusion body myopathy with Paget disease of bone and frontotemporal dementia type 1	MONDO:0000507	inclusion body myopathy with Paget disease of bone and frontotemporal dementia
MONDO:0007837	Johnson neuroectodermal syndrome	MONDO:0019287	ectodermal dysplasia syndrome
MONDO:0011202	RHYNS syndrome	MONDO:0020240	syndromic retinitis pigmentosa
MONDO:0016559	glaucoma secondary to spherophakia/ectopia lentis and megalocornea	MONDO:0009633|MONDO:0018174	microspherophakia and/or megalocornea, with ectopia lentis and With or without secondary glaucoma|hereditary glaucoma
MONDO:0011208	malignant atrophic papulosis	MONDO:0017133	rare genetic systemic or rheumatologic disease
MONDO:0008684	wolf-Hirschhorn syndrome	MONDO:0019589|MONDO:0015216	syndromic genetic deafness|syndromic diaphragmatic or abdominal wall malformation
MONDO:0022196	chronic erosive gastritis	MONDO:0004966	gastritis (disease)
MONDO:0003419	Bartholin's gland adenoma	MONDO:0004972	adenoma
MONDO:0007395	craniofacial-deafness-hand syndrome	MONDO:0019589	syndromic genetic deafness
MONDO:0005845	meningoencephalitis	MONDO:0019956	encephalitis
MONDO:0005844	meibomian cyst	MONDO:0004785	blepharitis
MONDO:0005847	middle lobe syndrome	MONDO:0005275	lung disease
MONDO:0007398	craniorhiny	MONDO:0021198	rare genetic disease
MONDO:0009253	Fryns syndrome	MONDO:0015216	syndromic diaphragmatic or abdominal wall malformation
MONDO:0009254	fucosidosis	MONDO:0005217	familial cardiomyopathy
MONDO:0007573	acute erythroleukemia, familial	MONDO:0017893	inherited acute myeloid leukemia
MONDO:0019321	atypical Werner syndrome	MONDO:0021106	laminopathy
MONDO:0009291	glycogen storage disease III	MONDO:0005217	familial cardiomyopathy
MONDO:0016423	autoimmune polyendocrinopathy type 4	MONDO:0017278	autoimmune polyendocrinopathy
MONDO:0016422	autoimmune polyendocrinopathy type 3	MONDO:0017278|MONDO:0015778	autoimmune polyendocrinopathy|syndromic hypothyroidism
MONDO:0016421	toxic oil syndrome	MONDO:0015224	rare intoxication
MONDO:0016424	progressive sensorineural hearing loss-hypertrophic cardiomyopathy syndrome	MONDO:0019589	syndromic genetic deafness
MONDO:0000878	cytomegalovirus retinitis	MONDO:0002708	retinitis
MONDO:0000276	Powassan encephalitis	MONDO:0002645	cerebritis
MONDO:0000271	tuberculous salpingitis	MONDO:0003619	salpingitis
MONDO:0019031	thrombocytopenia with congenital dyserythropoietic anemia	MONDO:0010308|MONDO:0021181	thrombocytopenia, X-linked, with or without dyserythropoietic anemia|inherited blood coagulation disorder
MONDO:0011027	diabetes mellitus, Noninsulin-dependent, 1	MONDO:0019052	inborn errors of metabolism
MONDO:0008251	pityriasis rubra pilaris	MONDO:0005083	psoriasis
MONDO:0005715	congenital toxoplasmosis	MONDO:0020008	rare immune disease
MONDO:0015522	situs ambiguus	MONDO:0018677	visceral heterotaxy
MONDO:0010001	ectodermal dysplasia-blindness syndrome	MONDO:0019287	ectodermal dysplasia syndrome
MONDO:0012503	thiopurine S-methyltransferase deficiency	MONDO:0019052	inborn errors of metabolism
MONDO:0010009	SC phocomelia syndrome	MONDO:0015356	hereditary neoplastic syndrome
MONDO:0015528	congenital epulis	MONDO:0019684	rare bone disease
MONDO:0009038	craniosynostosis-fibular aplasia syndrome	MONDO:0015338	syndromic craniosynostosis
MONDO:0009039	Baller-Gerold syndrome	MONDO:0015246|MONDO:0015338	syndromic anorectal malformation|syndromic craniosynostosis
MONDO:0005535	oral Crohn's disease	MONDO:0006858	mouth disease
MONDO:0005534	ileocolitis	MONDO:0000709	Crohn ileitis
MONDO:0009036	cardiocranial syndrome, Pfeiffer type	MONDO:0015338	syndromic craniosynostosis
MONDO:0022611	brunoni syndrome	MONDO:0019287	ectodermal dysplasia syndrome
MONDO:0004394	maxillary sinus squamous cell carcinoma	MONDO:0020000|MONDO:0019684	rare respiratory disease|rare bone disease
MONDO:0022618	burning mouth syndrome type 3	MONDO:0006687	burning mouth syndrome
