Symptome Mesh/cui 	 Symptom cuis divided with | 	 Side effect cuis divided with | 
D020567	C0751992	C0005910
D056865	C0421272	C0005910
D065635	C0155502	C0042571|C0022890
D065634	C2936821	C0007815
D018489	C0242700	C0013447
D053591	C0234250	C0030193
D034062	C0206042	C0917801
D004614	C0013911	C0025517|C0162429|C0006625
D046608	C0234362	C0427086
D000270	C0001519	C0040416
D002558	C0007814	C0155540|C0154728|C0023182
D015325	C0034345	C0001125|C0025521
D017827	C0024408	C0087012
D038921	C0265252	C0006111|C0497552|C0266449
D006315	C0018779	C1384666|C0013447
D059226	C3178766	C0234245
D004688	C0014089	C2945606|C0015732
D000849	C0003113	C0003537|C0037822
D020923	C0752301	C0456511
D020924	C0752303	C0028961|C0878773|C0242453|C0042024|C0574785|C1313921|C0032617|C0033687|C0020438|C0013428|C0028734
D005132	C0015411	C0015402|C0151827|C2717757
D001836	C0005911	C0241729|C0043094|C1262477|C0028754
D020177	C0751757	C0851578
D020179	C0231311	C0877792
D012892	C0037316	C0037317
D004409	C0013386	C0686347|C0152115
D017288	C0162703	C0456440
D052120	C0878677	C0025517|C0878544|C0017921|C0017919
D018888	C0282513	C0006111
D020919	C0752287	C0751774|C0035258|C0037315
D018886	C0234471	C0003537
D020183	C0393777	C0393593|C0851578|C0030508
D020187	C0751772	C0030508
D054062	C1955603	C0271097
D001308	C0004310	C0751257|C0260662
D005311	C0349489	C0242184|C0015929|C0021290
D063766	C2362324	C0028754
D014840	C0042964	C0042963
D011694	C0034151	C0034150
D018458	C0242670	C0006111|C0270611
D059388	C0240682	C0022408
D009767	C0028756	C0031880|C0028754
D038901	C1136249	C0016667|C0162309|C0035372|C0022716|C0026705|C0023374
D017624	C0206115	C0003076|C0278996|C0022079|C0027708
D001039	C0003550	C0003537
D020182	C0520680	C0003578|C1275808|C0037315
D020150	C0264746	C0032962
D054546	C0393576	C0015371
D014929	C0043207	C0029124|C0011849|C0023787|C0011848
D006317	C0018781	C1384666|C0022890|C0494559
D006313	C0018776	C0018784
D006312	C0018775	C1384666
D020240	C0234523	C0003635
D020879	C0752252	C0039621|C0027125|C0026827|C0026826|C0026821|C0026846|C0015644|C0037763|C0151786|C0684219
D019569	C0278152	C0278151
D048968	C0312416	C0020450|C0027497
D009912	C0029166	C0029163
D017109	C0162550	C0392156
D056124	C2316166	C0006111|C0221505
