drugbank_id 	 rxnorm_cui
DB00001	237057
DB00002	318341
DB00003	337623
DB00004	214470
DB00005	644200
DB00005	76732
DB00005	468172
DB00005	214555
DB00006	68309
DB00006	60819
DB00007	261693
DB00007	42375
DB00007	153453
DB00007	203217
DB00008	120608
DB00009	8410
DB00010	58932
DB00010	217341
DB00010	56188
DB00011	1103658
DB00011	202912
DB00011	11313
DB00012	283838
DB00013	763567
DB00013	11055
DB00013	204209
DB00014	50610
DB00014	203146
DB00014	58328
DB00015	76895
DB00016	1854304
DB00016	758494
DB00016	105695
DB00016	105694
DB00016	4059
DB00016	1825692
DB00016	114254
DB00016	1821773
DB00016	904565
DB00016	721545
DB00017	224894
DB00017	36118
DB00017	356903
DB00018	612937
DB00019	338036
DB00020	202993
DB00020	69634
DB00020	40113
DB00021	9627
DB00021	352971
DB00022	493032
DB00022	253453
DB00023	1156
DB00023	202542
DB00023	386992
DB00024	4952
DB00024	1034180
DB00024	10579
DB00024	1431784
DB00025	1300485
DB00025	639465
DB00025	253151
DB00025	217502
DB00025	217912
DB00025	218425
DB00025	5465
DB00025	70058
DB00025	1796377
DB00025	215683
DB00025	1300486
DB00025	306689
DB00026	72435
DB00026	657889
DB00027	5010
DB00027	5011
DB00027	5007
DB00027	305001
DB00027	5004
DB00028	1331689
DB00028	1426680
DB00028	42386
DB00028	541555
DB00028	797550
DB00029	196462
DB00029	40028
DB00030	467015
DB00030	5856
DB00030	358190
DB00030	1605101
DB00030	253182
DB00030	351862
DB00030	631657
DB00031	259280
DB00031	138883
DB00032	6745
DB00033	151887
DB00033	5882
DB00033	1839937
DB00034	5879
DB00034	1845279
DB00035	203658
DB00035	3251
DB00035	42634
DB00035	844224
DB00035	405336
DB00036	314620
DB00036	152867
DB00036	253149
DB00036	4256
DB00038	1311380
DB00038	139994
DB00039	196319
DB00040	236777
DB00040	253170
DB00040	4832
DB00040	1839242
DB00040	261716
DB00041	70223
DB00042	1713
DB00042	860178
DB00042	284792
DB00043	302379
DB00044	28959
DB00044	388084
DB00044	6383
DB00045	1844062
DB00045	217942
DB00046	314684
DB00046	86009
DB00047	274783
DB00048	58939
DB00048	898492
DB00048	219803
DB00049	11001
DB00049	283821
DB00050	259338
DB00050	68147
DB00051	327361
DB00051	1303586
DB00052	61148
DB00052	314845
DB00052	1029436
DB00052	1553672
DB00052	870808
DB00053	84959
DB00054	83929
DB00055	353106
DB00055	322982
DB00055	352374
DB00056	1294580
DB00056	261585
DB00057	68152
DB00058	991743
DB00058	204213
DB00058	904131
DB00058	542373
DB00058	535
DB00058	997779
DB00059	34132
DB00060	314688
DB00060	75917
DB00060	152605
DB00061	303
DB00061	59768
DB00062	1370439
DB00062	828529
DB00062	9690
DB00062	1435588
DB00063	75635
DB00063	288688
DB00063	1847435
DB00065	191831
DB00066	1305475
DB00066	25357
DB00066	227518
DB00066	1427201
DB00066	1865225
DB00066	1928679
DB00066	187220
DB00066	221102
DB00066	1928677
DB00066	386938
DB00067	11149
DB00067	1098
DB00067	6531
DB00068	72257
DB00068	72258
DB00069	59744
DB00070	578350
DB00070	41742
DB00070	486164
DB00070	5464
DB00071	221109
DB00071	1309342
DB00072	224905
DB00073	121191
DB00074	196102
DB00075	227302
DB00075	42405
DB00076	1431295
DB00076	1745257
DB00078	262323
DB00078	388333
DB00078	1829303
DB00080	22299
DB00081	263010
DB00081	234449
DB00082	278739
DB00083	860189
DB00083	1712
DB00083	1000104
DB00083	860168
DB00085	284760
DB00085	204305
DB00085	228015
DB00085	220607
DB00085	7880
DB00085	221049
DB00085	235379
DB00086	10106
DB00087	117055
DB00088	47896
DB00088	46049
DB00089	1194453
DB00089	228723
DB00089	136300
DB00090	392509
DB00091	219800
DB00091	3008
DB00092	1847829
DB00092	299635
DB00093	4319
DB00094	132881
DB00094	134404
DB00094	4581
DB00095	356988
DB00095	1850211
DB00095	402104
DB00097	152254
DB00097	283550
DB00097	491946
DB00098	107044
DB00098	1867468
DB00098	226163
DB00098	225741
DB00098	1429944
DB00098	1011
DB00099	68442
DB00099	1605064
DB00099	40112
DB00099	1433764
DB00100	1300488
DB00102	115238
DB00102	34879
DB00103	259351
DB00103	338817
DB00103	299582
DB00104	7617
DB00104	221130
DB00104	219799
DB00105	5880
DB00105	545290
DB00106	356726
DB00106	301739
DB00107	152400
DB00107	227199
DB00107	7824
DB00108	354770
DB00109	139896
DB00110	220141
DB00110	194279
DB00111	81770
DB00111	190353
DB00112	253337
DB00112	337521
DB00113	230435
DB00114	9004
DB00114	1599827
DB00115	352547
DB00115	216295
DB00115	216308
DB00115	11248
DB00115	353089
DB00115	216286
DB00115	218706
DB00115	727510
DB00115	644910
DB00115	151576
DB00115	1551670
DB00115	1036368
DB00115	352918
DB00116	1804203
DB00116	15534
DB00116	1923694
DB00117	5340
DB00118	9504
DB00119	1358847
DB00119	884629
DB00119	35161
DB00120	8156
DB00121	1588
DB00121	314583
DB00121	723565
DB00121	899948
DB00121	705766
DB00122	1819264
DB00122	2449
DB00122	2451
DB00122	1839247
DB00122	20974
DB00123	6536
DB00125	219571
DB00125	1091
DB00126	1311396
DB00126	142407
DB00126	1151
DB00126	1551642
DB00126	267366
DB00126	1549114
DB00126	1370460
DB00126	1363721
DB00127	1483263
DB00128	1169
DB00128	42543
DB00129	7704
DB00129	1482634
DB00129	314709
DB00129	1311542
DB00130	4885
DB00131	1830126
DB00131	309
DB00131	1841813
DB00131	299
DB00132	52071
DB00132	17521
DB00133	9671
DB00134	6837
DB00135	10962
DB00136	1894
DB00136	371190
DB00136	1551644
DB00137	287892
DB00137	11359
DB00138	3036
DB00139	1307106
DB00139	37255
DB00140	1551666
DB00140	1925820
DB00140	9346
DB00141	1362871
DB00142	25916
DB00142	91269
DB00142	70602
DB00143	9225
DB00143	4890
DB00144	89959
DB00144	1385095
DB00145	1838508
DB00145	4919
DB00146	1551643
DB00146	1855064
DB00146	1889
DB00146	346301
DB00147	9002
DB00148	2907
DB00149	6308
DB00150	10898
DB00150	615203
DB00151	3024
DB00152	235355
DB00152	1551668
DB00152	10456
DB00152	10454
DB00153	1551649
DB00153	795480
DB00153	4018
DB00153	539534
DB00154	108
DB00155	2567
DB00156	10524
DB00157	7222
DB00158	202634
DB00158	62356
DB00158	4511
DB00158	8804
DB00158	1300473
DB00158	1815983
DB00159	90
DB00160	426
DB00161	11115
DB00162	1367187
DB00162	11246
DB00162	35406
DB00162	1029366
DB00162	35400
DB00162	1551669
DB00163	39625
DB00163	39626
DB00163	11256
DB00163	237099
DB00163	215387
DB00163	215232
DB00163	1551673
DB00165	684879
DB00165	203164
DB00165	42954
DB00165	1551665
DB00166	6417
DB00166	1423239
DB00167	6033
DB00168	1311524
DB00169	2418
DB00169	1244014
DB00170	6728
DB00170	56866
DB00171	1441218
DB00171	1306127
DB00171	318
DB00172	8737
DB00172	8763
DB00173	290
DB00174	1157
DB00175	203333
DB00175	42463
DB00175	203144
DB00176	42355
DB00176	203143
DB00176	42687
DB00177	216652
DB00177	69749
DB00178	35296
DB00178	262418
DB00179	227238
DB00179	227239
DB00179	1860611
DB00180	1546428
DB00180	218621
DB00180	218620
DB00180	1298840
DB00180	25120
DB00180	152398
DB00180	215045
DB00181	1292
DB00181	218023
DB00181	664141
DB00181	1835940
DB00182	1821673
DB00182	405812
DB00182	314496
DB00182	221057
DB00182	725
DB00182	81952
DB00183	7993
DB00183	204262
DB00184	31765
DB00184	1306107
DB00184	1928673
DB00184	7407
DB00184	203781
DB00184	203780
DB00185	72651
DB00185	260036
DB00185	44281
DB00186	6470
DB00186	379604
DB00187	49737
DB00187	203222
DB00188	358258
DB00189	204235
DB00189	4118
DB00190	2019
DB00191	220998
DB00191	219218
DB00191	219215
DB00191	217061
DB00191	8152
DB00191	221138
DB00191	705879
DB00191	220218
DB00191	3700
DB00191	218837
DB00191	826587
DB00191	82078
DB00192	27498
DB00192	236120
DB00193	10690
DB00193	10689
DB00193	979285
DB00193	82110
DB00194	202781
DB00194	11194
DB00195	196460
DB00195	142144
DB00195	1520
DB00195	202369
DB00195	261465
DB00196	1839716
DB00196	4450
DB00196	1839330
DB00196	202813
DB00196	1805525
DB00197	153725
DB00197	203715
DB00197	72610
DB00198	259275
DB00198	260101
DB00199	4056
DB00199	4055
DB00199	4053
DB00199	155024
DB00199	202618
DB00199	24351
DB00199	1807461
DB00199	4058
DB00199	24346
DB00199	24347
DB00199	202615
DB00199	203669
DB00199	56710
DB00200	1063
DB00200	236302
DB00200	5514
DB00200	1834644
DB00201	219557
DB00201	747238
DB00201	20033
DB00201	591608
DB00201	1886
DB00201	352487
DB00202	10154
DB00202	3565
DB00203	221161
DB00203	136411
DB00204	49247
DB00205	1836116
DB00205	1815612
DB00205	9010
DB00205	1833074
DB00205	1815483
DB00206	1839969
DB00206	225191
DB00206	9260
DB00206	1846566
DB00207	1298839
DB00207	253155
DB00207	18631
DB00208	10594
DB00208	97
DB00208	227257
DB00209	607221
DB00209	38891
DB00209	236778
DB00210	153184
DB00210	60223
DB00210	492895
DB00211	6963
DB00211	993491
DB00212	68184
DB00213	253191
DB00213	40790
DB00213	486511
DB00214	71974
DB00214	38413
DB00214	1827339
DB00215	221078
DB00215	1852297
DB00215	1836074
DB00215	2556
DB00215	151516
DB00216	231049
DB00216	360288
DB00217	81966
DB00217	1523
DB00218	1926505
DB00218	228750
DB00218	139462
DB00219	42833
DB00219	7818
DB00220	134527
DB00220	266565
DB00221	159469
DB00221	1783
DB00221	6024
DB00221	6023
DB00222	25789
DB00223	218256
DB00223	23033
DB00223	217150
DB00223	91311
DB00223	217151
DB00224	1546024
DB00224	114289
DB00224	203153
DB00225	1849453
DB00225	41144
DB00226	91239
DB00226	217653
DB00226	26296
DB00227	6472
DB00227	352420
DB00227	224938
DB00227	1840599
DB00228	795060
DB00228	3920
DB00228	204234
DB00228	153438
DB00228	1846276
DB00229	2188
DB00229	236202
DB00230	187832
DB00230	593441
DB00231	10355
DB00231	202773
DB00231	152128
DB00231	219641
DB00232	224934
DB00232	6860
DB00232	215388
DB00233	1850951
DB00233	7833
DB00233	89753
DB00233	89750
DB00233	690523
DB00234	60842
DB00234	153494
DB00235	155120
DB00235	52769
DB00235	202423
DB00236	496107
DB00236	8347
DB00237	1251601
DB00237	477631
DB00237	91109
DB00237	1823201
DB00238	53654
DB00238	224890
DB00239	56226
DB00239	32638
DB00240	17268
DB00240	108088
DB00241	19860
DB00242	44157
DB00242	203767
DB00243	35829
DB00244	196493
DB00244	202834
DB00244	196495
DB00244	202832
DB00244	196496
DB00244	1805520
DB00244	75747
DB00244	686430
DB00244	592472
DB00244	202833
DB00244	52582
DB00244	1849431
DB00245	18927
DB00245	1424
DB00246	115698
DB00246	1294533
DB00247	165636
DB00247	165635
DB00247	9552
DB00247	6911
DB00247	203190
DB00248	134895
DB00248	47579
DB00249	226258
DB00249	5653
DB00249	202665
DB00250	3108
DB00251	37806
DB00251	220219
DB00252	71227
DB00252	1875854
DB00252	8183
DB00253	992742
DB00253	29439
DB00254	23663
DB00254	1545992
DB00254	544837
DB00254	202975
DB00254	236647
DB00254	82012
DB00254	203122
DB00254	3640
DB00255	3390
DB00255	25284
DB00255	497033
DB00256	384626
DB00256	6513
DB00257	2623
DB00257	202859
DB00257	217070
DB00257	202860
DB00257	217465
DB00257	669412
DB00257	202858
DB00258	214342
DB00258	1306884
DB00259	10184
DB00259	1832340
DB00259	1837811
DB00260	1820534
DB00260	3007
DB00260	1851552
DB00260	204225
DB00260	1846284
DB00261	596724
DB00261	236612
DB00262	1849425
DB00262	343027
DB00262	2105
DB00262	217357
DB00263	10207
DB00263	40595
DB00263	10208
DB00263	224975
DB00264	865575
DB00264	102313
DB00264	221124
DB00264	203191
DB00264	6918
DB00264	220348
DB00265	202842
DB00265	21766
DB00266	1598
DB00267	2181
DB00268	236553
DB00268	72302
DB00269	792174
DB00269	2397
DB00270	33910
DB00270	258346
DB00270	216815
DB00271	3320
DB00271	605197
DB00271	1546451
DB00271	258351
DB00271	639
DB00271	1546223
DB00271	606092
DB00271	3319
DB00271	3321
DB00271	227618
DB00271	1821010
DB00271	1804204
DB00272	1521
DB00273	1834970
DB00273	52457
DB00273	38404
DB00273	220343
DB00274	203140
DB00274	2182
DB00274	224953
DB00275	321064
DB00275	118463
DB00276	739
DB00276	151347
DB00277	91178
DB00277	203388
DB00277	203405
DB00277	203406
DB00277	10438
DB00277	203024
DB00277	93922
DB00277	155075
DB00278	15202
DB00279	1816048
DB00279	142448
DB00279	1848094
DB00279	1035812
DB00279	10814
DB00280	3541
DB00280	203178
DB00281	142440
DB00281	225489
DB00281	216613
DB00281	6387
DB00281	216475
DB00281	1299236
DB00281	217935
DB00282	105443
DB00282	1817827
DB00282	11473
DB00282	1546406
DB00283	215147
DB00283	2578
DB00283	142430
DB00283	1865296
DB00283	152407
DB00283	220179
DB00283	42602
DB00284	16681
DB00285	151692
DB00285	235988
DB00285	39786
DB00285	1838342
DB00286	4099
DB00287	283809
DB00287	284896
DB00287	669680
DB00288	17652
DB00289	353103
DB00289	38400
DB00290	204196
DB00290	1622
DB00290	1621
DB00290	1619
DB00290	1821864
DB00290	544477
DB00291	1833950
DB00291	2346
DB00291	202994
DB00292	151878
DB00292	4177
DB00293	196239
DB00293	262444
DB00294	14584
DB00295	235774
DB00295	7052
DB00295	30236
DB00295	235751
DB00295	152164
DB00295	203357
DB00295	203356
DB00296	236539
DB00296	35780
DB00296	1298851
DB00297	1815
DB00297	267396
DB00297	202942
DB00297	668705
DB00297	1012397
DB00297	219872
DB00298	219644
DB00298	235757
DB00298	22298
DB00299	59839
DB00300	300195
DB00300	322248
DB00301	4448
DB00301	142129
DB00301	729545
DB00302	10691
DB00302	151568
DB00303	325642
DB00303	353107
DB00304	595814
DB00304	22656
DB00305	632
DB00305	204296
DB00305	204297
DB00305	204298
DB00306	1848972
DB00306	89810
DB00307	1834628
DB00307	233272
DB00307	1853682
DB00308	41289
DB00308	51256
DB00309	11205
DB00309	11204
DB00309	151694
DB00310	151877
DB00310	2409
DB00311	4139
DB00312	8004
DB00312	203085
DB00312	1814791
DB00312	204354
DB00313	11118
DB00313	203245
DB00313	266856
DB00313	9919
DB00313	151706
DB00313	151545
DB00313	40254
DB00314	78903
DB00314	1987
DB00314	202985
DB00315	84130
DB00315	153354
DB00315	135775
DB00316	218045
DB00316	219598
DB00316	216184
DB00316	707705
DB00316	707712
DB00316	707749
DB00316	993045
DB00316	707736
DB00316	707964
DB00316	217311
DB00316	152341
DB00316	151477
DB00316	707963
DB00316	225548
DB00316	707758
DB00316	214994
DB00316	217290
DB00316	215358
DB00316	383208
DB00316	161
DB00317	281883
DB00317	328134
DB00317	263008
DB00318	91104
DB00318	1545976
DB00318	235412
DB00318	2670
DB00318	2672
DB00318	1115966
DB00319	1546000
DB00319	8339
DB00319	203134
DB00319	204190
DB00320	236680
DB00320	203176
DB00320	42643
DB00320	3418
DB00321	704
DB00321	235737
DB00321	42940
DB00321	227456
DB00321	203168
DB00322	287512
DB00322	4488
DB00323	72937
DB00324	1836878
DB00324	217161
DB00324	221101
DB00324	92676
DB00324	4491
DB00324	1849500
DB00325	9895
DB00325	7476
DB00326	47618
DB00326	1224650
DB00327	3423
DB00327	203177
DB00327	225549
DB00327	1831623
DB00328	203365
DB00328	151894
DB00328	151897
DB00328	1294612
DB00328	5781
DB00328	1822585
DB00330	142435
DB00330	4110
DB00331	235743
DB00331	6809
DB00332	152316
DB00332	203212
DB00332	1445143
DB00333	197113
DB00333	6813
DB00333	218337
DB00334	1294588
DB00334	135423
DB00334	61381
DB00335	1202
DB00336	227726
DB00336	227727
DB00336	7455
DB00337	321952
DB00338	1792108
DB00338	7646
DB00338	151993
DB00338	236486
DB00339	8987
DB00339	1847705
DB00340	29682
DB00341	58930
DB00341	20610
DB00341	203150
DB00342	202960
DB00342	42330
DB00343	151143
DB00343	405349
DB00343	491095
DB00343	81999
DB00343	379789
DB00343	314592
DB00343	3443
DB00343	203211
DB00343	216616
DB00343	831221
DB00344	8886
DB00344	11270
DB00344	203199
DB00344	1845241
DB00345	7832
DB00345	42837
DB00345	214215
DB00345	203194
DB00346	17300
DB00346	46043
DB00347	10827
DB00347	204366
DB00348	61805
DB00348	326381
DB00349	151794
DB00349	21241
DB00350	1835357
DB00350	1842355
DB00350	6984
DB00350	1847724
DB00350	202706
DB00350	1825725
DB00350	225702
DB00350	1840995
DB00351	203000
DB00351	29451
DB00351	227202
DB00352	10485
DB00353	227555
DB00353	84158
DB00353	6883
DB00354	91070
DB00354	59636
DB00355	1848738
DB00355	1272
DB00355	895537
DB00355	202561
DB00356	2410
DB00356	219606
DB00356	258340
DB00356	219611
DB00356	219612
DB00357	677
DB00357	152167
DB00358	82130
DB00358	202989
DB00358	6694
DB00359	10171
DB00359	220087
DB00360	753340
DB00360	753341
DB00360	1875472
DB00361	114527
DB00361	39541
DB00362	341018
DB00362	617817
DB00363	606552
DB00363	2626
DB00364	10156
DB00364	151359
DB00365	236862
DB00365	83719
DB00366	3642
DB00366	23665
DB00367	202884
DB00367	152061
DB00367	202455
DB00367	1803946
DB00367	261613
DB00367	470253
DB00367	6373
DB00367	342998
DB00368	66908
DB00368	7508
DB00368	7512
DB00369	83171
DB00369	1546007
DB00370	134774
DB00370	284857
DB00370	15996
DB00371	1845850
DB00371	151710
DB00371	203282
DB00371	6760
DB00372	818736
DB00372	220351
DB00372	10471
DB00372	71529
DB00373	1627
DB00373	42933
DB00373	10602
DB00373	10600
DB00373	221172
DB00373	1546004
DB00374	342691
DB00374	1927409
DB00374	343048
DB00374	1846915
DB00375	104485
DB00375	2685
DB00376	151375
DB00376	10811
DB00376	1115
