rxnorm_cui 	 drugbank_ids with | as seperator  
3319	DB00271
1424911	DB08912
1494066	DB09031
10864	DB13179
8123	DB00780
1303098	DB08897
4845	DB01296
5933	DB05382
1091836	DB01656
42372	DB00410
8463	DB01179
8153	DB00692
19874	DB01353
7517	DB01059
1370971	DB04938
10184	DB00259
8727	DB00396
2890	DB01284
113608	DB02703
7909	DB09117
6901	DB00422
3339	DB00527
10510	DB01623
13369	DB09496
1440264	DB08878
33738	DB01132
24460	DB06689
8152	DB00191
1511	DB06698
2541	DB00501
857974	DB06335
11149	DB00067
623400	DB06218
18330	DB01169
6102	DB01575
11295	DB09145
67108	DB01225
7646	DB00338
1455099	DB09068
6308	DB00149
4169	DB08985
325887	DB01141
3829	DB09477
89013	DB01238
614373	DB01609
236809	DB01381
36118	DB00017
83818	DB01029
32698	DB00383
58939	DB00048
4488	DB00322
274332	DB00731
17652	DB00288
4083	DB00783
140480	DB00702
82122	DB01137
30077	DB01226
6387	DB00281
2582	DB01190
32638	DB00239
1546437	DB01344
593411	DB01261
22298	DB00298
9525	DB00936
612865	DB06273
31563	DB00716
21766	DB00265
114817	DB08806
140587	DB00482
25696	DB01645
1442981	DB09053
141440	DB09335
214342	DB00258
37925	DB01083
7704	DB00129
279645	DB00918
1606218	DB09102
68139	DB00728
2970	DB04838
4462	DB01047
195088	DB01601
25486	DB00789
40028	DB00029
3429	DB01070
155	DB01614
15996	DB00370
7258	DB00788
5495	DB00774
10207	DB00263
388084	DB00044
641465	DB06413
233603	DB04920
139896	DB00109
84959	DB06720|DB00053
1540825	DB09042
1357536	DB08895
9997	DB00421
11516	DB06410
342369	DB00480
7243	DB00704
46049	DB00088
59078	DB00660
5470	DB01275
28382	DB09236
55681	DB00896
6211	DB04465
43611	DB00654
1427088	DB08844
38386	DB02383
20220	DB00748
1489913	DB06262
38365	DB08811
23386	DB01146
3248	DB01078
237005	DB01227
25120	DB00180
72257	DB00068
2101	DB00395
1596	DB09020
62372	DB08818
10471	DB00372
6857	DB01028
115552	DB00685
20976	DB01303
32385	DB01250
49247	DB00204
37935	DB06764
8629	DB00457
229369	DB01764
10636	DB00500
1156	DB00023
816346	DB05351
6185	DB00598
60819	DB00006
51272	DB01224
658708	DB05311
25357	DB00066
70167	DB13144
19484	DB00612
8129	DB00914
3966	DB01364
10627	DB00684
1543543	DB05015
6058	DB00883
6623	DB06757
36685	DB09460
7396	DB00622
860178	DB00042
2420	DB08862
282388	DB00619
9947	DB00489
228833	DB00538
8160	DB00812
4118	DB00189
1232150	DB08885
1306284	DB09065
733003	DB06809
325642	DB00303
1371041	DB05773
1433212	DB08918
89784	DB01625
19552	DB01150
337523	DB04845
25480	DB00996
7779	DB00621
614391	DB01281
1544460	DB09054
484348	DB09539
805452	DB05332
18631	DB00207
2549	DB00568
11258	DB01022
2236	DB00456
121243	DB00582
194000	DB01101
1597381	DB09183
8183	DB00252
8698	DB01032
337623	DB00003
1482790	DB06290
135447	DB00843
33724	DB09090
8674	DB04825
4815	DB01016
25193	DB06623
234416	DB06792
214354	DB00796
3449	DB08801
2346	DB00291
4637	DB00674
1489914	DB09051
2183	DB01328
5509	DB09526
6378	DB00854
1441651	DB05098
42682	DB01077
235408	DB00628
84108	DB00412
8004	DB00312
7833	DB00233
6980	DB01017
9641	DB11135
221147	DB09287
402316	DB00419
47618	DB00326
237162	DB09214
5307	DB08957
29170	DB09281
236650	DB08970
6676	DB00737
83682	DB01066
35302	DB00877
6902	DB00959
25096	DB08974
3444	DB00985
3098	DB00851
7440	DB01595
228783	DB00998
853491	DB06168
8175	DB00397
6813	DB00333
6851	DB00563
91311	DB00223
6932	DB01110
37617	DB01606
3008	DB00091
7247	DB06711
17767	DB00381
31914	DB00906
11413	DB00495
6468	DB00836
1551291	DB09045
341018	DB00362
56946	DB01229
2019	DB00190
5514	DB00200
274771	DB01280
2177	DB01140
9478	DB00778
3743	DB01127
36709	DB09449
4440	DB01148
6066	DB08941
641	DB00479
9518	DB08797
228476	DB01044
6860	DB00232
1597876	DB09035
6142	DB01009
73689	DB04854
283821	DB00049
8134	DB01174
161	DB00316
3521	DB00975
1425099	DB08911
753340	DB00360
38260	DB09070
50610	DB00014
239	DB11617
1373478	DB08908
