rxnorm_cui 	 drugbank_ids with | as seperator  
73	DB11292
314881	DB11117
3419	DB01049
599	DB09363
10349	DB09314
1311261	DB03323
82003	DB11089
9152	DB09363
473387	DB06215
4249	DB11330|DB13152
2388	DB02133
2106	DB00583
8928	DB11097
4356	DB01592
24942	DB01592
798294	DB10276
637320	DB08884
884629	DB00119
1605101	DB00030
1085787	DB09300
42625	DB11622
3347	DB08809
1546394	DB09293
798361	DB10989
81638	DB12546
1549329	DB10629
486126	DB06283
1370983	DB09301
42527	DB00681
746095	DB04868
4986	DB09126
1299884	DB11118
285170	DB11033
24946	DB01592
6383	DB00044
8991	DB11087
1426748	DB06704
216449	DB00898
498193	DB00559
851994	DB10394
39384	DB10318
1370621	DB03796
596718	DB03568
56513	DB13440
214688	DB01378
896135	DB10385
1098	DB00067
762595	DB11050
1311295	DB00518
1919	DB11348
1370451	DB13518
258439	DB11057
1311396	DB00126
1244014	DB00169
1368706	DB03193
805573	DB10276
234449	DB00081
236719	DB09449
104129	DB11097
78678	DB09363
325514	DB11577
618564	DB11152
1363586	DB11075
404774	DB11003
186010	DB13141
59038	DB11234
142407	DB00126
