rxnorm_cui 	 drugbank_ids with | as seperator  
1362685	DB03995
830457	DB10283
762817	DB10317
11253	DB11094
17609	DB01370
155152	DB11333
17621	DB11239
820	DB13853
1313173	DB02083
2878	DB01380
6406	DB13147
1370425	DB11116
2032	DB11980
60245	DB11783
37415	DB12127
21389	DB11086
1426391	DB11260
1367175	DB11217
59087	DB11114
1362927	DB03967
11201	DB13374
1385	DB12319
2590	DB11750
873	DB11157
24506	DB12131
21914	DB12766
1311381	DB11558
76469	DB10804
10288	DB09203
8514	DB11077
851898	DB10404
38967	DB12248
29900	DB13882
19861	DB11148
8795	DB13307
2525	DB06752
21406	DB09270
15080	DB09516
10240	DB08329
23796	DB11742
2839	DB11246
24855	DB13042
1362699	DB11659
2530	DB09375
47627	DB11348
885183	DB13894
38865	DB12902
9884	DB11119
1311499	DB11266
2438	DB04540
1441688	DB11311
1362872	DB03175
15842	DB12216
287515	DB10568
5321	DB11254
21660	DB13003
578285	DB12647
852272	DB10555
9789	DB11080
38555	DB13643
23623	DB11594
19143	DB06755
2603	DB13792
38508	DB11678
1311569	DB11180
29495	DB12148
8373	DB06153
105655	DB01592
237929	DB11365
798268	DB10299
29268	DB06757
763656	DB10316
314826	DB11132
32649	DB12086
44	DB09110
26849	DB03808
8871	DB12667
9549	DB12403
9020	DB13084
58301	DB11175
2372	DB06470
7427	DB12172
5281	DB04703
317825	DB13195
3477	DB12789
68905	DB11238
33688	DB09268
9500	DB01698
7421	DB11820
476818	DB11189
7595	DB06152
1427073	DB12862
1232405	DB11087
41397	DB13761
110	DB11145
135313	DB06826
577312	DB11579
46241	DB11081
9511	DB10447
7674	DB12930
1311067	DB12481
1372539	DB02377
34311	DB11153
55244	DB12958
797635	DB10800
8353	DB12478
8560	DB11063
27334	DB11075
754763	DB06717
38893	DB13124
36122	DB11071
221072	DB00439
997602	DB12153
38315	DB13091
265647	DB10532
991260	DB02938
6131	DB12465
7285	DB12293
1963	DB10429
35373	DB12846
1236136	DB11251
29261	DB06757
124323	DB10534
2898	DB04665
42769	DB10675
