MESH 	 drugbank_ids with | as seperator  
C402769	DB04960
C548400	DB09570
C073525	DB05360
C522667	DB06216
C530716	DB09079
D000068876	DB08868
C421124	DB00055
C479555	DB05868
C086123	DB04957
D000069474	DB08934
C116664	DB06212
C403769	DB09261
C480679	DB05280
C409945	DB08439
C471992	DB06616
C012810	DB01326
C091554	DB04872
C522917	DB09039|DB05715
C550258	DB05220
C102817	DB04878
C045856	DB06744
C464660	DB05990
C534550	DB05418
C540383	DB08877
D015773	DB09477
C523184	DB05651
C089032	DB06155
D013972	DB00024
C447119	DB06401
C490727	DB06590
C419924	DB06261
D020097	DB04899
C476610	DB00776
C547512	DB05295
C045282	DB11366
C102006	DB09154|DB09159
C425904	DB05907
C079148	DB05010
C520809	DB06210
C017367	DB09010
D000069465	DB04854
D000069463	DB09567
D000069462	DB08908
C014544	DB00754
D000069468	DB06700
C000603933	DB09330
C118563	DB04920
C433247	DB03849
C016543	DB04829
C094240	DB09259
D017985	DB06779
C401859	DB06287
D000108	DB08842
C512662	DB05420
C539977	DB05687
D002046	DB08808
C469852	DB05444
D010402	DB09320
C027172	DB08835
C010176	DB04866
C043062	DB04905
C540278	DB08899|DB05094
C416835	DB09119
C581157	DB05240
C050504	DB09289
D019290	DB00351
C425931	DB05416
C076252	DB05395
D019326	DB06789
D000069450	DB06655
C051800	DB01566
D003009	DB00628
D013373	DB05875
C517782	DB06663
C017717	DB09499
D013024	DB09422
C055866	DB06263
C024523	DB09204
C022116	DB08925
C400713	DB11610
C015542	DB06554
C500617	DB05434
C528884	DB05657
C420268	DB05424
D015118	DB00159
D019797	DB06704
C550911	DB05773
C107831	DB04883
C113282	DB05100
C020235	DB05041
C429014	DB05063
C552428	DB06772
C524733	DB05212
C071315	DB09290
C492454	DB04869
C406662	DB06480
C472668	DB05874
D004205	DB01003
C531550	DB09074
D000721	DB05099
C551994	DB08865
C025314	DB09162|DB13949
C108326	DB05458
C510793	DB05316
C506658	DB04871
C529054	DB06292
D007479	DB08947
D000069056	DB08815
D016210	DB06709
C544831	DB05030
C116890	DB05332
C426686	DB04898
D003974	DB00271
C071542	DB06255
C499748	DB05412
C547076	DB05352
C523979	DB06204
C523977	DB06190
C442759	DB06749
C081732	DB04946
D015080	DB09110
C084813	DB09396
C043648	DB09488
C000609116	DB09552
C021182	DB08964
D013004	DB09099
C514771	DB08894
C588260	DB09183
C524865	DB08889
D004369	DB09425
D046948	DB00386
C059238	DB09211
C520389	DB05168
C502012	DB04876
C443755	DB04918
C506207	DB04900
C485107	DB05407
C081294	DB04996
C478738	DB05409
C111332	DB06202
C453980	DB06206
C500926	DB04849
C030848	DB08992
C486464	DB05521
C063776	DB09288
C063170	DB01381
D003346	DB05394
C478920	DB05511
C096329	DB05460
D000068799	DB06209
C039128	DB09031
C585405	DB09297
C006399	DB00427
D000068577	DB04861
C102714	DB05786
C088936	DB05708
D000069552	DB06228
C439285	DB05415
C574276	DB05239
C579720	DB11581
C108709	DB04870
C474135	DB09495
C522838	DB05185
C100112	DB08978
C082430	DB05386
C487081	DB05015
C557874	DB09068
C586094	DB09296
C469289	DB06219
C528561	DB05764
C119467	DB06792
C502994	DB06335
D012977	DB09112
D012978	DB09072
C043482	DB09242
C006871	DB01109
C007288	DB09357
C027260	DB11616
D000069036	DB00047
D003911	DB09255|DB11122
C066304	DB06144
C479460	DB09265
C509981	DB04888
C020758	DB09490
D002233	DB04339
D006895	DB09106
C061957	DB09221
C060446	DB11064
C476223	DB06685
C098980	DB04977
C055603	DB08836
C087123	DB06176
C531958	DB09078
C418863	DB06813
C035276	DB08887
D012841	DB09512
C078452	DB06283
C403051	DB05038
C114144	DB04926
C032942	DB06697
C074908	DB04961
C026055	DB11610
C117342	DB06415
C419502	DB06274
C102148	DB05822
D019355	DB11093
D019357	DB09125
C039726	DB09274
C498826	DB04868
D058988	DB05876
C515100	DB01592
C088408	DB09083
D014810	DB00163
C541917	DB05490
D000069585	DB00099
C451734	DB06414
C105051	DB05087
C035100	DB06712
C030192	DB04936
C521013	DB07232
C099414	DB05421
C079310	DB09223
C545203	DB08820
C061018	DB06785
C512352	DB05921
D013455	DB09353
C586541	DB09027
C052026	DB05173
C095285	DB06207
C545373	DB08901
D001127	DB00067
C467894	DB06403
C033343	DB06689
D016898	DB05258|DB00011
C103639	DB11614
D001726	DB09020
C466797	DB05882
C046297	DB05450
D011206	DB06812
C015024	DB00865
C081247	DB06822
C552946	DB09054
C009500	DB09216
C047508	DB05271
C000595212	DB09287
C055357	DB09135
D019346	DB09395
C022990	DB09129
C007858	DB06271
C471183	DB04915
C088673	DB09535
D002606	DB09278
C525458	DB05760
D015126	DB00154
C530299	DB05692|DB09030
D002260	DB00429
C511194	DB05311
C531470	DB11737
C516667	DB06589
C542786	DB05230
C018222	DB08961
C549068	DB09292
C481086	DB05305
C094428	DB04975
C108042	DB05392
C512542	DB00098
C103998	DB00016
D000069616	DB06290
C114767	DB00992
C026455	DB04900
D008634	DB09338
C520853	DB06203
C060225	DB11095
C551866	DB05205
C013216	DB09413|DB09414
C551177	DB05238|DB08881
C058118	DB00640
C043940	DB06737
D000069461	DB06769
C115070	DB05327
C467566	DB08910
C032808	DB05299
C483604	DB05817
D006063	DB09126
C404207	DB05422
C549273	DB09102
D017984	DB01225
C116917	DB00118
C569105	DB09280
C060285	DB09236
C579652	DB06413
D013670	DB09314
D008771	DB06707
C503983	DB06626
C001652	DB04865
