CTD MESH/OMIM 	 type 	 CTD cuis divided by | 	 Disease ontology divided by | 	 cui names 
D007835	MESH		DOID:9537	
D015140			DOID:8725	
D015417	MESH		DOID:2477	
D010390	MESH		DOID:11656	
D010391	MESH		DOID:8506	
D000308	MESH		DOID:3947	
D000306	MESH		DOID:660	
D000307	MESH		DOID:9553	
C562386	MESH		DOID:10825	
D010392	MESH		DOID:9182	
D000542	MESH		DOID:841	
D000236	MESH		DOID:3172|DOID:6204|DOID:5403|DOID:657	
D005879	MESH		DOID:11119	
D000231	MESH		DOID:3112	
D000232	MESH		DOID:2683	
D000239	MESH		DOID:5392	
D005873	MESH		DOID:10718	
D000783	MESH		DOID:178	
D011469	MESH		DOID:47	
D000789	MESH		DOID:8805	
D003109	MESH		DOID:3877	
D020165	MESH		DOID:9280	
D011605	MESH		DOID:1742	
D011604	MESH		DOID:252	
D016142	MESH		DOID:4621	
D009901	MESH		DOID:1891|DOID:14555	
D009771			DOID:10933	
D057066	MESH		DOID:13544	
D000437	MESH		DOID:1574	
D009798	MESH		DOID:9282	
D016543	MESH		DOID:3620	
D011115	MESH		DOID:1389|DOID:14402	
D005348	MESH		DOID:10354|DOID:5998	
D011111	MESH		DOID:853	
D020144	MESH		DOID:10991	
D007012	MESH		DOID:8533	
D020141	MESH		DOID:484	
D006934	MESH		DOID:12678	
D007018	MESH		DOID:9406|DOID:9476	
D017700	MESH		DOID:1461	
D018236	MESH		DOID:3308	
D018500	MESH		DOID:12387	
D019052	MESH		DOID:9478	
D018233	MESH		DOID:3246	
D018232	MESH		DOID:4051	
D003025	MESH		DOID:11836	
D013494	MESH		DOID:678	
C537345	MESH		DOID:0090019	
D030401	MESH		DOID:3762	
D016849	MESH		DOID:0080158	
D017520	MESH		DOID:3141	
D012002	MESH		DOID:1285	
D012004			DOID:1993|DOID:1984	
D056988	MESH		DOID:5855|DOID:5845	
D011843	MESH		DOID:4306	
D006938	MESH		DOID:13810	
D003449	MESH		DOID:2917	
D006949	MESH		DOID:1168	
D003440	MESH		DOID:9395	
D007943	MESH		DOID:285	
D002318			DOID:1287	
D014424	MESH		DOID:3491	
D002311	MESH		DOID:12930	
D002310	MESH		DOID:12935	
D002313	MESH		DOID:397	
D002312	MESH		DOID:11984	
D013285	MESH		DOID:9306|DOID:9837	
D017454	MESH		DOID:3818	
D012640	MESH		DOID:11832	
D013733	MESH		DOID:2519	
C535648	MESH		DOID:10540	
D013736	MESH		DOID:2998	
D010302			DOID:13548	
D012488	MESH		DOID:5733	
D003536	MESH		DOID:3111	
D003537	MESH		DOID:2634	
D006012	MESH		DOID:2746	
D002006	MESH		DOID:11077	
D002771	MESH		DOID:1498	
D014394	MESH		DOID:1639	
D054179	MESH		DOID:14735	
D012734	MESH		DOID:3763|DOID:3765|DOID:1923	
D012735	MESH		DOID:1876	
D003316	MESH		DOID:10124	
D005099	MESH		DOID:11853|DOID:1143|DOID:1142	
D005094	MESH		DOID:9370	
C535474	MESH		DOID:0060444	
D008228			DOID:8675|DOID:8538	
D008224			DOID:0050873	
D008223			DOID:0060058	
D014777	MESH		DOID:934	
D018273	MESH		DOID:1798	
