CTD MESH/OMIM 	 type 	 CTD cuis divided by | 	 Disease ontology divided by | 	 cui names 
C564616	MESH		DOID:0050967	
C535500	MESH		DOID:0050561	
C535506	MESH		DOID:0050990	
C537658	MESH		DOID:0050659	
D010673	MESH		DOID:0050771	
C536353	MESH		DOID:0080155	
C535306	MESH		DOID:0050574	
C538178	MESH		DOID:0050605	
D014256	MESH		DOID:0050587	
C537055	MESH		DOID:0050634	
C535598	MESH		DOID:0050800	
C536004	MESH		DOID:0050711	
D018785	MESH		DOID:0080169	
C537702	MESH		DOID:0050787	
C536330	MESH		DOID:0050770	
D020734	MESH		DOID:0060368	
C562707	MESH		DOID:0080150	
C535581	MESH		DOID:0090128	
