CTD MESH/OMIM 	 type 	 CTD cuis divided by | 	 Disease ontology divided by | 	 cui names 
D060585	MESH		DOID:0050289	
C531617	MESH		DOID:0060193	
D018876			DOID:4661	
D010003	MESH		DOID:8398	
D000152	MESH		DOID:6543	
D055959	MESH		DOID:90	
D010018	MESH		DOID:10573	
D020386	MESH		DOID:963	
D002769	MESH		DOID:10211	
D013587	MESH		DOID:4166	
C563739	MESH		DOID:0060483	
D006505	MESH		DOID:2237	
D018215	MESH		DOID:0060098	
D018192	MESH		DOID:3319	
D016136	MESH		DOID:0080073	
D046628	MESH		DOID:4140	
D003967			DOID:13250	
D005401	MESH		DOID:3128	
D010998	MESH		DOID:10247	
D053040	MESH		DOID:585	
C535932	MESH		DOID:1852	
D017674	MESH		DOID:0050336	
D004749	MESH		DOID:9181	
C535323	MESH		DOID:0090016	
C536495	MESH		DOID:14679	
D052018	MESH		DOID:12129	
D004653	MESH		DOID:3798	
D011030	MESH		DOID:1673	
D012214	MESH		DOID:0050827	
D014355	MESH		DOID:12140	
D015863	MESH		DOID:9383	
D013166	MESH		DOID:6590	
D014525	MESH		DOID:1829	
D005350	MESH		DOID:0050871	
C538556	MESH		DOID:13382	
D004485	MESH		DOID:2723	
D000067877			DOID:0060041	
D010538	MESH		DOID:8283	
D020019	MESH		DOID:10079	
D010019	MESH		DOID:1019	
D017229	MESH		DOID:7457	
D013927			DOID:0060903	
D002524	MESH		DOID:0050753	
D019226	MESH		DOID:9663	
C536096	MESH		DOID:0090033	
D012607	MESH		DOID:9335	
D018512	MESH		DOID:1398	
C535803	MESH		DOID:0060175	
C535804	MESH		DOID:0050817	
C537700	MESH		DOID:12559	
C562831	MESH		DOID:0050651	
D057180	MESH		DOID:9255	
D059249	MESH		DOID:0050147	
D016535	MESH		DOID:2841	
D007172			DOID:1875	
D003704			DOID:1307	
D017593	MESH		DOID:0060165	
D014581	MESH		DOID:1555	
C538339	MESH		DOID:9261	
D000037	MESH		DOID:9667	
D016574	MESH		DOID:0060167	
D008607			DOID:1059	
D001746	MESH		DOID:0080174	
D020423	MESH		DOID:571	
D002821	MESH		DOID:0050697	
D000757			DOID:0060668	
D060446	MESH		DOID:14049	
D011656	MESH		DOID:9675	
C563614	MESH		DOID:0110645	
D012852	MESH		DOID:0050127	
D009212	MESH		DOID:0080108	
D012552	MESH		DOID:1395	
D001766	MESH		DOID:1432	
D001037	MESH		DOID:0060046	
D004892	MESH		DOID:0050185	
D013622	MESH		DOID:0050596	
D018246	MESH		DOID:0050891	
D058496	MESH		DOID:0060768	
C537358	MESH		DOID:14749	
D014517	MESH		DOID:5199	
C538263	MESH		DOID:0110107	
D014006	MESH		DOID:4337	
D002819	MESH		DOID:12859	
C536777	MESH		DOID:1508	
