drugbank_id	name	type	groups	atc_codes	categories	inchikey	inchi	inchikeys	synonyms	unii	uniis	external_identifiers	extra_names	brands	molecular_forula	molecular_formular_experimental	gene_sequence	amino_acid_sequence	sequence	description
DB00067	Vasopressin	small molecule	['approved']	H01BA06|H01BA03|H01BA01	Amino Acids, Peptides, and Proteins|Antidiuretic Agents|Cardiovascular Agents|Chemical Actions and Uses|Coagulants|Hematologic Agents|Hemostatics|Hormones|Hormones, Hormone Substitutes, and Hormone Antagonists|Natriuretic Agents|Nerve Tissue Proteins|Neuropeptides|Oligopeptides|Peptide Hormones|Peptides|Pharmacologic Actions|Physiological Effects of Drugs|Pituitary and Hypothalamic Hormones and Analogues|Pituitary Hormones|Pituitary Hormones, Posterior|Posterior Pituitary Lobe Hormones|Proteins|Systemic Hormonal Preparations, Excl. Sex Hormones and Insulins|Therapeutic Uses|Vasoconstrictor Agents|Vasopressin and Analogues|Vasopressins			KBZOIRJILGZLEJ-LGYYRGKSSA-N|BJFIDCADFRDPIO-DZCXQCEKSA-N	['Vasopressin, unspecified']	Y87Y826H08	Y4907O6MFD|7CZF3L922Y	Drugs Product Database (DPD):7387|KEGG Compound:C00840|KEGG Drug:D00101|PharmGKB:PA451858|Therapeutic Targets Database:DAP000018|Wikipedia:Vasopressin|ChEMBL:CHEMBL373742	Argipressin|Lypressin	[]						Antidiuretic hormone, also known as vasopressin, is a nine amino acid peptide secreted from the posterior pituitary. Antidiuretic hormone binds to receptors in the distal or collecting tubules of the kidney and promotes reabsorbtion of water back into the circulation
DB00089	Capromab pendetide	biotech	['approved']	['V09IB04']	Amino Acids, Peptides, and Proteins|Antibodies|Blood Proteins|Chemical Actions and Uses|Diagnostic Radiopharmaceuticals|Globulins|Immunoglobulins|Immunoproteins|Indicators and Reagents|Indium (111In) Compounds|Indium Radioisotopes|Laboratory Chemicals|Prostatic Neoplasms|Proteins|Serum Globulins|Specialty Uses of Chemicals|Tumour Detection			[]	(111In)-Capromab pendetide|Indium (111In) capromab pendetide|Indium 111 Capromab Pendetide|Indium In 111 capromab pendetide	BDO5072GRX	[]	Drugs Product Database (DPD):20500|PharmGKB:PA164745489|Therapeutic Targets Database:DAP001049|Wikipedia:Indium_(111In)_capromab_pendetide|ChEMBL:CHEMBL2108285	[]	['ProstaScint']						Capromab is a Murine IgG1 monoclonal 7E11-C5.3 antibody that recognizes prostate specific membrane antigen (PSMA – also known as glutamate carboxypeptidase 2) from prostate cancer cells and normal prostate tissue. It is linked to pendetide, a derivative of DTPA. Pendetide acts as a chelating agent for the radionuclide indium-111. Capromab is used to image the extent of prostate cancer.
DB00098	Antithymocyte immunoglobulin (rabbit)	biotech	['approved']	['L04AA04']	Amino Acids, Peptides, and Proteins|Antibodies|Antineoplastic and Immunomodulating Agents|Biological Products|Blood|Blood Proteins|Body Fluids|Complex Mixtures|Fluids and Secretions|Globulins|Hemic and Immune Systems|Immune Sera|Immunoglobulins|Immunoproteins|Immunosuppressive Agents|Proteins|Selective Immunosuppressants|Serum|Serum Globulins			[]	Anti-human thymocyte immunoglobulin, rabbit|Anti-T-lymphocyte immune globulin, rabbit|Anti-thymocyte globulin (rabbit)|Anti-thymocyte globulin rabbit|Antithymocyte immunoglobulin|Rabbit anti-human thymocyte globulin|Rabbit anti-human thymocyte globulin (rATG)|Rabbit anti-human thymocyte immunoglobulin|Rabbit anti-thymocyte immunoglobulin|Rabbit antithymocyte globulin|Rabbit ATG|rATG|Thymoglobulin|Thymoglobuline	D7RD81HE4W	[]	Drugs Product Database (DPD):12118|PharmGKB:PA164743704|Therapeutic Targets Database:DAP001300|Wikipedia:Anti-thymocyte_globulin	[]	ATG-Fresenius|ATG-Fresenius S|Genzyme|Thymoglobulin SangStat Medical						Rabbit anti-thymocyte globulin. Thymoglobulin is a polyclonal antibody that suppresses certain types of immune cells responsible for acute organ rejection in transplant patients. Thymoglobulin is a mixture of antibodies intended to bind to various cell surface antigens. The most common mode of action of Thymoglobulin is via selective depletion of T-cells.
DB00108	Natalizumab	biotech	approved|investigational	['L04AA23']	Amino Acids, Peptides, and Proteins|Antibodies|Antibodies, Monoclonal|Antibodies, Monoclonal, Humanized|Antineoplastic and Immunomodulating Agents|Blood Proteins|Chemical Actions and Uses|Globulins|Immunoglobulins|Immunologic Factors|Immunoproteins|Immunosuppressive Agents|Pharmacologic Actions|Physiological Effects of Drugs|Proteins|Selective Immunosuppressants|Serum Globulins			[]	Anti-alpha4 integrin|Anti-VLA4	3JB47N2Q2P	[]	Drugs Product Database (DPD):12577|PharmGKB:PA164747191|Therapeutic Targets Database:DAP001094|Wikipedia:Natalizumab|ChEMBL:CHEMBL1201607	[]	[]						Humanized IgG4k monoclonal antibody produced in murine myeloma cells. Natalizumab contains human framework regions and the complementarity-determining regions of a murine antibody that binds to a4-integrin. Natalizumab was voluntarily withdrawn from U.S. market because of risk of Progressive multifocal leukoencephalopathy (PML). It was returned to market July, 2006.
DB00286	Conjugated estrogens	small molecule	['approved']	G03CC07|G03CA57	BCRP/ABCG2 Substrates|Chemical Actions and Uses|COMT Substrates|Cytochrome P-450 CYP1A2 Inhibitors|Cytochrome P-450 CYP1A2 Inhibitors (weak)|Cytochrome P-450 CYP1A2 Substrates|Cytochrome P-450 CYP3A4 Substrates|Estradiol Congeners|Estrogen Contraceptives|Estrogens|Genito Urinary System and Sex Hormones|Gonadal Hormones|Gonadal Steroid Hormones|Hormones|Hormones, Hormone Substitutes, and Hormone Antagonists|Natural and Semisynthetic Estrogens, Plain|OAT3 Substrates|OATP1B1/SLCO1B1 Substrates|P-glycoprotein/ABCB1 Substrates|Pharmacologic Actions|Physiological Effects of Drugs|Sex Hormones and Modulators of the Genital System			[]	Conjugated equine estrogens|conjugated estrogens|Estrogens, Conjugated|Estrogens,conjugated	IU5QR144QX	[]	Drugs Product Database (DPD):12708|ChEBI:8389|PubChem Compound:23667301|PubChem Substance:46505680|KEGG Drug:D04070|ChemSpider:9532|PharmGKB:PA164754789|Therapeutic Targets Database:DNC001150|Wikipedia:Conjugated_estrogen|ChEMBL:CHEMBL2106240	[]	[]						"Conjugated estrogens, or Conjugated Equine Estrogens (CEEs) are composed of a mixture of the water-soluble salts of sulfate esters from estrone, equilin, 17 ?-dihydroequilin, and other related steroids that are purified from pregnant horse urine. Available as the product Premarin (FDA), this combination of equine-derived estrogenic compounds is indicated for the following conditions: treatment of moderate to severe vasomotor symptoms and vulvovaginal atrophy associated with menopause; hypoestrogenism due to hypogonadism, castration or primary ovarian failure; palliation of metastatic breast cancer; palliation of advanced androgen-dependent carcinoma of the prostate; and for prevention of postmenopausal osteoporosis.All estrogen products mimic the effects of endogenous estrogens in the body which are responsible for the development and maintenance of the female reproductive system and secondary sexual characteristics. Estrogens act by binding to estrogen receptors on a wide variety of tissues in the body and modulating the pituitary secretion of the gonadotropins, luteinizing hormone (LH) and follicle stimulating hormone (FSH) through a negative feedback mechanism. Prior to menopause, the primary source of estrogen is the ovarian follicle, which secretes 70-500 micrograms of estradiol daily, depending on the phase of the menstrual cycle. However, once a woman stops ovulating there is a sharp decline in the production of progesterone and estradiol by the ovaries and a consequent fluctuation in LH and FSH due to a lack of feedback control. This shift in hormone production is largely responsible for many of the symptoms experienced during and after menopause and includes hot flashes and other vasomotor symptoms, painful intercourse, vaginal dryness, and vulvovaginal atrophy. These symptoms are able to be reduced by replacing many of the hormones lost during and following menopause with synthetic or naturally occurring forms, in a therapy known as Hormone Replacement Therapy (HRT).Pharmacologic estrogen products are available in a variety of formats. Although many of them contain several compounds in common (such as the estrogen derivatives sodium estrone sulfate and sodium equilin sulfate), they vary by their original source (such as horse-, human-, or plant-derived), and the remaining mixture of estrogenic derivatives. Conjugated Equine Estrogens (CEEs) are derived from the urine of pregnant mares and contain a blend of at least 10 estrogen derivatives. Marketed under the brand name Premarin, CEEs are the most frequently used form of conjugated estrogens. There is currently no generic form of CEEs available as a detailed analytical characterization of the active ingredients or of their estrogenic activity is not available at this time. Conjugated estrogens are also available in a plant-derived synthetic form that replicates the naturally occurring, horse-derived forms. Available as either ""Synthetic Conjugated Estrogens, A"" containing 9 estrogen derivatives (available as Cenestin) or as ""Synthetic Conjugated Estrogens, B"" containing 10 estrogen derivatives (available as Enjuvia), these products are isolated as precursors from yam or soy plants and then chemically modified to mimic the products available in their naturally occurring form."
DB00407	Ardeparin	small molecule	approved|withdrawn	[]	Anticoagulants|Carbohydrates|Cardiovascular Agents|Chemical Actions and Uses|Fibrin Modulating Agents|Fibrinolytic Agents|Glycosaminoglycans|Hematologic Agents|Heparin|Heparin (Low Molecular Weight)|Heparins|Molecular Mechanisms of Pharmacological Action|Pharmacologic Actions|Polysaccharides|Therapeutic Uses			[]	[]	VL0L558GCB	[]	KEGG Drug:D02980|PharmGKB:PA164754878|Therapeutic Targets Database:DAP000428|Wikipedia:Ardeparin	[]	['Normiflo']						Ardeparin, marketed under the US trade name Normiflo, is a low molecular weight heparin (LMWH) anticoagulant used for the prevention of postoperative venous thrombosis. Ardeparin is derived via peroxide degradation of heparin extracted from porcine intestinal mucosa. Its molecular weight ranges from 2000 to 15,000 with an average molecular weight of 5500 to 6500. Normiflo was withdrawn from the US market in March 2000.
DB00516	Bentoquatam	small molecule	['approved']	[]	Acids|Acids, Noncarboxylic|Aluminum Compounds|Aluminum Oxide|Aluminum Silicates|Anions|Chemical Actions and Uses|Dermatologic Agents|Electrolytes|Inorganic Chemicals|Ions|Minerals|Oxides|Oxygen Compounds|Pharmacologic Actions|Silicates|Silicic Acid|Silicon Compounds|Silicon Dioxide|Therapeutic Uses			[]	[]	7F465U79Q1	[]	PharmGKB:PA164748098|Wikipedia:Bentoquatam|ChEMBL:CHEMBL1201446	[]	['IvyBlock']						Bentoquatam is a topical medication intended to act as a shield against exposure to the irritating substance urushiol, found in plants such as poison ivy or poison oak. Bentoquatam contains bentonite, a clay, and is only effective as long as the film is visible on the skin.
DB00702	Icodextrin	small molecule	approved|investigational	[]	Biomedical and Dental Materials|Biopolymers|Carbohydrates|Chemical Actions and Uses|Dialysis Solutions|Hemodialysis Solutions|Hexoses|Macromolecular Substances|Manufactured Materials|Monosaccharides|Pharmaceutical Preparations|Pharmaceutical Solutions|Pharmacologic Actions|Polymers|Polysaccharides|Solutions|Specialty Uses of Chemicals|Technology, Industry, and Agriculture|Therapeutic Uses|Ultrafiltration			[]	Icodextrin|Icodextrina|Icodextrine|Icodextrinum	2NX48Z0A9G	[]	Drugs Product Database (DPD):11909|PharmGKB:PA164743096|Wikipedia:Icodextrin|ChEMBL:CHEMBL1201472	[]	Adept|Dextrin, Caloreen|Icodial						Icodextrin is an iso-osmotic peritoneal dialysis solution containing glucose polymers. It is used primarily for ambulatory peritoneal dialysis (CAPD) of diabetic patients and automated peritoneal dialysis (APD) for patients with end-stage renal disease. It is injected as a solution into the peritoneal cavity. The drug is absorbed via convective transport via peritoneal lymphatic pathways.
DB00707	Porfimer sodium	small molecule	approved|investigational	['L01XD01']	Antineoplastic Agents|Antineoplastic and Immunomodulating Agents|Azoles|Biological Factors|Chemical Actions and Uses|Dermatologic Agents|Hematoporphyrin Derivative|Hematoporphyrins|Heterocyclic Compounds|Heterocyclic Compounds with 4 or More Rings|Heterocyclic Compounds, 1-Ring|Macrocyclic Compounds|Pharmacologic Actions|Photosensitizing Agents|Pigments, Biological|Polycyclic Compounds|Porphyrins|Pyrroles|Radiation-Sensitizing Agents|Sensitizers Used in Photodynamic/radiation Therapy|Tetrapyrroles|Therapeutic Uses			[]	Porfimer natrium|Porfimer sodico|Porfimère sodique|Porfimerum natricum	M15H03K69B	[]	Drugs Product Database (DPD):7644|ChEBI:60652|PubChem Substance:46508600|ChemSpider:10482043|PharmGKB:PA164752658|Wikipedia:Porfimer	[]	PhotoBarr|Photofrin II						The purified component of hematoporphyrin derivative, it consists of a mixture of oligomeric porphyrins. It is used in photodynamic therapy (hematoporphyrin photoradiation); to treat malignant lesions with visible light and experimentally as an antiviral agent. It is the first drug to be approved in the use of photodynamic therapy in the United States.
DB00785	Cryptenamine	small molecule	['approved']	[]	Alkaloids|Antihypertensive Agents|Cardiovascular Agents|Cevanes|Chemical Actions and Uses|Heterocyclic Compounds|Heterocyclic Compounds with 4 or More Rings|Pharmacologic Actions|Therapeutic Uses|Veratrum Alkaloids			[]	[]	QVO4N8484O	[]	PharmGKB:PA164749510|Therapeutic Targets Database:DAP000479	[]	['Unitensen']						Cryptenamine is a mixture of closely related hypotensive alkaloids from Veratrum album (Liliaceae). It has been used in the treatment of hypertension but has largely been replaced by drugs with fewer adverse effects. Cryptenamine has a marked and re-producible depressor effect when given intravenously to hypertensive patients, however the mechanism of action is not known.
