unii 	 drugbank_id 
Y43GF64R34	DB00001
PQX0D8J21J	DB00002
953A26OA1Y	DB00003
25E79B5CTM	DB00004
OP401G7OJC	DB00005
TN9BEX005G	DB00006
EFY6W0M8TG	DB00007
37JNS02E7V	DB00007
Q46947FE7K	DB00008
1RXS4UE564	DB00009
89243S03TE	DB00010
00IBG87IQW	DB00010
41697D4Z5C	DB00011
15UQ94PT4P	DB00012
83G67E21XI	DB00013
0F65R8P09N	DB00014
6YUU2PV0U8	DB00014
DQA630RIE9	DB00015
64FS3BFH5W	DB00016
7SFC6U2VI5	DB00017
47BPR3V3MP	DB00018
3A58010674	DB00019
5TAA004E22	DB00020
88C55N56UU	DB00021
G8RGG88B68	DB00022
G4FQ3CKY5R	DB00023
AVX3D5A4LM	DB00024
P89DR4NY54	DB00025
VQ723R7O8R	DB00025
113E3Z3CJJ	DB00025
9013DUQ28K	DB00026
WHM29QA23F	DB00027
66Y330CJHS	DB00028
5O8V541HJ6	DB00029
1Y17CTI5SR	DB00030
WGD229O42W	DB00031
5Y9QQM372Q	DB00032
21K6M2I7AG	DB00033
47RRR83SK7	DB00034
ENR1LLB0FP	DB00035
1K12647SFC	DB00035
XB13HYU18U	DB00035
AC71R787OV	DB00036
O14Q7A13PT	DB00038
9YXF283GP1	DB00039
76LA80IG2G	DB00040
1H87NVF4DB	DB00040
M89N0Q7EQR	DB00041
0Y70779M1F	DB00042
2P471X1Z11	DB00043
3JGY52XJNA	DB00044
GFX7QIS1II	DB00046
2ZM8CX04RZ	DB00047
9X7O8V25IT	DB00048
08GY9K1EUO	DB00049
OON1HFZ4BA	DB00050
XPQ226310Q	DB00050
FYS6T7F842	DB00051
NQX9KB6PCL	DB00052
Q6U6J48BWY	DB00053
X85G7936GV	DB00054
JGH8MYC891	DB00055
8GZG754X6M	DB00056
7V9926378A	DB00057
F43I396OIS	DB00058
7D96IR0PPM	DB00059
XRO4566Q4R	DB00060
HW3H7D91F6	DB00061
ZIF514RVZR	DB00062
NA8320J834	DB00063
B72HH48FLU	DB00065
076WHW89TW	DB00066
Y87Y826H08	DB00067
Y4907O6MFD	DB00067
7CZF3L922Y	DB00067
TTD90R31WZ	DB00068
56588OP40D	DB00069
64R4OHP8T0	DB00070
AVT680JB39	DB00071
P188ANX8CK	DB00072
4F4X42SYQ6	DB00073
9927MT646M	DB00074
JGA39ICE2V	DB00075
YB12NQZ1YN	DB00076
4Q52C550XK	DB00078
S9U4ZR2W8V	DB00078
QA846JAV5B	DB00078
NWQ5N31VKK	DB00080
0343IGH41U	DB00081
K1KT5M40JC	DB00081
N824AOU5XV	DB00082
E211KPY694	DB00083
FQ3DRG0N5K	DB00085
8X1OXL3SNU	DB00086
3A189DH42V	DB00087
27T56C7KK0	DB00088
BDO5072GRX	DB00089
WP58SVM6R4	DB00090
83HN0GTJ6D	DB00091
ELK3V90G6C	DB00092
17N2918V6G	DB00093
W9BB98U6HP	DB00094
XX2MN88N5D	DB00095
6413W06WR3	DB00097
D7RD81HE4W	DB00098
PVI5M0M1GW	DB00099
382L14738L	DB00100
1B56C968OA	DB00102
2HLC17MX9G	DB00103
RWM8CCW8GP	DB00104
75R0U2568I	DB00104
43K1W2T1M6	DB00105
W486SJ5824	DB00106
1JQS135EYN	DB00107
3JB47N2Q2P	DB00108
19OWO1T3ZE	DB00109
DQ448MW7KS	DB00110
CUJ2MVI71Y	DB00111
2S9ZZM9Q9V	DB00112
029JF1SCU8	DB00113
F06SGE49M6	DB00114
5V5IOJ8338	DB00114
P6YC3EG204	DB00115
43ZWB253H4	DB00116
4QD397987E	DB00117
7LP2MPO46S	DB00118
C5BTS0548U	DB00118
564ROC9U09	DB00118
8558G7RUTR	DB00119
9V2CQZ19N4	DB00119
POD38AIF08	DB00119
47E5O17Y3R	DB00120
L6O14A5L6Q	DB00120
M67R83MDEE	DB00120
6SO6U10H04	DB00121
N91BDP6H0X	DB00122
6K2W7T9V6Y	DB00122
KD510K1IQW	DB00122
K3Z4F929H6	DB00123
TTL6G7LIWZ	DB00123
JNJ23Q2COM	DB00123
94ZLA3W45F	DB00125
F7LTH1E20Y	DB00125
PQ6CK8PD0R	DB00126
183E4W213W	DB00126
0N1G678593	DB00126
JTL8B7TVW7	DB00126
S033EH8359	DB00126
9TI35313XW	DB00126
2FZ7Y3VOQX	DB00127
30KYC7MIAI	DB00128
E524N2IXA3	DB00129
8N284L2VLC	DB00129
HBK84K66XH	DB00129
URK9D85MYO	DB00129
0RH81L854J	DB00130
IA7707HOQ8	DB00130
415SHH325A	DB00131
0RBV727H71	DB00132
452VLY9402	DB00133
AE28F7PNPL	DB00134
99JNR46OKX	DB00134
42HK56048U	DB00135
FXC9231JVH	DB00136
X72A60C9MT	DB00137
48TCX9A1VT	DB00138
AB6MNQ6J6L	DB00139
TLM2976OFR	DB00140
20RD1DZH99	DB00140
957E53WV42	DB00140
V956696549	DB00141
3KX376GY7L	DB00142
M0C2SP444T	DB00142
GAN16C9B8O	DB00143
394XK0IH40	DB00144
TE7660XO1C	DB00145
T0WXW8F54E	DB00146
P6YZ13C99Q	DB00146
3THM379K8A	DB00147
1416KF0QBC	DB00147
MU72812GK0	DB00148
GMW67QNF9C	DB00149
N39KV97633	DB00149
8DUH1N11BX	DB00150
K848JZ4886	DB00151
ZT934N0X4W	DB00151
X66NSO3N35	DB00152
M572600E5P	DB00152
8K0I04919X	DB00152
VS041H42XC	DB00153
FC398RK06S	DB00154
29VT07BGDA	DB00155
2ZD004190S	DB00156
4J24DQ0916	DB00157
935E97BOY8	DB00158
9P9W8GGU78	DB00158
AAN7QOV9EA	DB00159
5PXN91KPRO	DB00159
OF5P57N2ZX	DB00160
HG18B9YRS7	DB00161
G2SH0XKK91	DB00162
3LE3D9D6OY	DB00162
1D1K0N0VVC	DB00162
