doid 	 name 
MONDO:0002651	anal Paget's disease
MONDO:0002650	scrotal carcinoma
MONDO:0002653	penis Paget's disease
MONDO:0002652	anus adenocarcinoma
MONDO:0002655	cutaneous Paget's disease
MONDO:0002654	uterine disease
MONDO:0002657	breast disease
MONDO:0002656	skin carcinoma
MONDO:0002659	uveal cancer
MONDO:0002658	iris cancer
MONDO:0000332	sennetsu fever
MONDO:0013848	dilated cardiomyopathy 2B
MONDO:0013849	microcephaly 8, primary, autosomal recessive
MONDO:0013842	cortisone reductase deficiency 2
MONDO:0013843	intestinal obstruction in the newborn due to guanylate cyclase 2C deficiency
MONDO:0013840	encephalopathy-hypertrophic cardiomyopathy-renal tubular disease syndrome
MONDO:0013841	STUT3
MONDO:0013846	peripartum cardiomyopathy, susceptibility to
MONDO:0013847	chromosome 16p11.2 duplication syndrome
MONDO:0013844	STUT4
MONDO:0013845	Auriculocondylar syndrome 2
MONDO:0016776	frontal fibrosing alopecia
MONDO:0016310	Niemann-Pick disease type C, adult neurologic onset
MONDO:0008806	Aphalangy-hemivertebrae-urogenital-intestinal dysgenesis syndrome
MONDO:0018741	Paracetamol poisoning
MONDO:0013224	rhabdoid tumor predisposition syndrome 2
MONDO:0015834	didelphys uterus
MONDO:0020112	vitamin B12- and folate-independent constitutional megaloblastic anemia
MONDO:0016331	infantile systemic hyalinosis
MONDO:0007604	femoral-facial syndrome
MONDO:0003384	uterine ligament clear cell adenocarcinoma
MONDO:0004177	urethral benign neoplasm
MONDO:0003386	bladder clear cell adenocarcinoma
MONDO:0003387	urethra clear cell adenocarcinoma
MONDO:0004172	uterine corpus adenocarcinofibroma
MONDO:0003381	pituitary gland disease
MONDO:0004170	nodular episcleritis
MONDO:0003383	fallopian tube clear cell adenocarcinoma
MONDO:0003388	ampulla of Vater clear cell adenocarcinoma
MONDO:0003389	epithelial-myoepithelial carcinoma
MONDO:0004178	endodermal sinus pattern testicular yolk sac tumor
MONDO:0011332	Dyserythropoiesis, congenital, with Ultrastructurally normal Erythroblast Heterochromatin
MONDO:0011333	light fixation seizure syndrome
MONDO:0011330	spinocerebellar ataxia type 10
MONDO:0011331	congenital chylothorax
MONDO:0011336	familial hemophagocytic lymphohistiocytosis 4
MONDO:0011337	familial hemophagocytic lymphohistiocytosis 2
MONDO:0011334	limb-mammary syndrome
MONDO:0011335	spondyloepimetaphyseal dysplasia with multiple dislocations
MONDO:0011338	Omenn syndrome
MONDO:0011339	hereditary spastic paraplegia 8
MONDO:0000873	lymphoblastic lymphoma
MONDO:0000872	B-cell childhood acute lymphoblastic leukemia
MONDO:0000871	T-cell childhood acute lymphocytic leukemia
MONDO:0000870	childhood acute lymphocytic leukemia
MONDO:0014188	acute infantile liver failure-multisystemic involvement syndrome
MONDO:0000875	adult acute monocytic leukemia
MONDO:0000874	T-cell childhood lymphoblastic lymphoma
MONDO:0002917	hair disease
MONDO:0000879	cutaneous candidiasis
MONDO:0000878	Cytomegalovirus retinitis
MONDO:0009508	Lambotte syndrome
MONDO:0015979	genetic susceptibility to infections due to particular pathogens
MONDO:0017183	hyperinsulinism due to UCP2 deficiency
MONDO:0017182	familial hyperinsulinism
MONDO:0003991	villoglandular endometrial endometrioid adenocarcinoma
MONDO:0014955	retinal dystrophy with or without extraocular anomalies; RDEOA
MONDO:0005695	central nervous system AIDS arteritis
MONDO:0003990	breast myoepithelial carcinoma
MONDO:0004712	eczema herpeticum
MONDO:0004713	lower gum cancer
MONDO:0004710	uterus carcinoma in situ
MONDO:0004716	stomach carcinoma in situ
MONDO:0004717	peliosis hepatis
MONDO:0004714	atrophic muscular disease
MONDO:0004715	liver carcinoma in situ
MONDO:0017169	multiple endocrine neoplasia
MONDO:0004718	xeroderma of eyelid
MONDO:0004719	hard palate cancer
MONDO:0019034	accessory pancreas
MONDO:0019037	progressive supranuclear palsy
MONDO:0019036	amoebiasis due to free-living amoebae
MONDO:0019031	thrombocytopenia with congenital dyserythropoietic anemia
MONDO:0019033	primary cutis verticis gyrata
MONDO:0019032	X-linked intellectual disability with isolated growth hormone deficiency
MONDO:0014954	Ehlers-Danlos syndrome, periodontal type 2 Edspd2
MONDO:0012555	Cornelia de Lange syndrome 3
MONDO:0019039	rare hemorrhagic disorder due to a constitutional coagulation factors defect
MONDO:0019038	rare maxillo-facial surgical disease
MONDO:0016771	annular atrophic lichen planus
MONDO:0015523	malignant epithelioid hemangioendothelioma
MONDO:0010002	Rothmund-Thomson syndrome
MONDO:0010001	ectodermal dysplasia-blindness syndrome
MONDO:0015032	intraneural perineurioma
MONDO:0010007	Microbrachycephaly-ptosis-cleft lip syndrome
MONDO:0010006	Sandhoff disease
MONDO:0010005	Saccharopinuria
MONDO:0010004	EEC syndrome
MONDO:0020291	hypoplastic right heart syndrome
MONDO:0020290	atrioventricular septal defect
MONDO:0010009	SC phocomelia syndrome
MONDO:0015528	congenital epulis
MONDO:0020295	congenital pulmonary veins anomaly
MONDO:0020294	atrial defect and interatrial communication
MONDO:0020297	Noonan syndrome and Noonan-related syndrome
MONDO:0020296	congenital arteriovenous fistula
MONDO:0016364	Joubert syndrome with ocular defect
MONDO:0019841	pituitary hormone defiency from vascular origin
MONDO:0000339	spinal polio
MONDO:0000380	paranasal sinus cancer
MONDO:0000383	reproductive organ benign neoplasm
MONDO:0000382	respiratory system benign neoplasm
MONDO:0000385	gastrointestinal system benign neoplasm
MONDO:0000384	bladder benign neoplasm
MONDO:0000387	hypochromic microcytic anemia
MONDO:0000386	gastrointestinal neuroendocrine tumor
MONDO:0000389	atelosteogenesis
MONDO:0000118	reticulate pigment disorder
MONDO:0016794	maternally-inherited mitochondrial myopathy
MONDO:0013656	mental retardation, autosomal dominant 9
MONDO:0008021	Cowden syndrome 1
MONDO:0015520	late infantile CACH syndrome
MONDO:0006438	synovial chondromatosis
MONDO:0006430	splenic mantle cell lymphoma
MONDO:0006432	stromal predominant kidney wilms tumor
MONDO:0006435	submandibular gland adenocarcinoma
MONDO:0016381	hypertrichosis lanuginosa congenita
MONDO:0006436	submandibular gland adenoid cystic carcinoma
MONDO:0000129	glutaric aciduria (disease)
MONDO:0000128	giant axonal neuropathy
MONDO:0000659	delta chain disease
MONDO:0005445	visceral leishmaniasis
MONDO:0005447	testicular cancer
MONDO:0005446	cutaneous leishmaniasis
MONDO:0000653	integumentary system cancer
MONDO:0000652	integumentary system benign neoplasm
MONDO:0000651	thoracic disease
MONDO:0000650	peritoneal benign neoplasm
MONDO:0015576	rare viral disease
MONDO:0015934	non-syndromic urogenital tract malformation of male and female
MONDO:0015645	eating seizures
MONDO:0001838	acute gonococcal prostatitis
MONDO:0018257	familial syringomyelia
MONDO:0001388	glans penis cancer
MONDO:0001389	coronary artery anomaly
MONDO:0018252	focal palmoplantar keratoderma with joint keratoses
MONDO:0018253	intellectual disability-facial dysmorphism-hand anomalies syndrome
MONDO:0018250	diffuse palmoplantar keratoderma with painful fissures
MONDO:0018251	glycogen storage disease due to phosphorylase kinase deficiency
MONDO:0001382	hepatorenal syndrome
MONDO:0001831	irregular astigmatism
MONDO:0001832	bacterial esophagitis
MONDO:0001833	lacrimal duct obstruction
MONDO:0001834	visual pathway disease
MONDO:0001835	facial paralysis
MONDO:0001836	amenorrhea
MONDO:0001837	acute gonococcal salpingitis
MONDO:0006387	primary pulmonary diffuse large b-cell lymphoma
MONDO:0006386	primary peritoneal serous adenocarcinoma
MONDO:0006385	primary intraosseous squamous cell carcinoma
MONDO:0014928	Joubert syndrome 28
MONDO:0013209	non-alcoholic fatty liver disease
MONDO:0006381	plexiform ameloblastoma
MONDO:0006380	pleural sarcomatoid mesothelioma
MONDO:0013204	corneal dystrophy, Fuchs endothelial, 4
MONDO:0013205	FECD5
MONDO:0013206	corneal dystrophy, Fuchs endothelial, 6
MONDO:0014927	Joubert syndrome 27
MONDO:0014920	patterned macular dystrophy 3
MONDO:0013201	Waardenburg syndrome type 4B
MONDO:0006389	prostate rhabdomyosarcoma
MONDO:0013203	corneal dystrophy, Fuchs endothelial, 3
MONDO:0021528	benign neoplasm of male breast
MONDO:0021529	benign neoplasm of chest wall
MONDO:0017218	Septopreoptic holoprosencephaly
MONDO:0006322	non-neoplastic bile duct disorder
MONDO:0016750	microcephaly-cleft palate syndrome
MONDO:0021520	benign neoplasm of floor of mouth
MONDO:0021521	benign neoplasm of mediastinum
MONDO:0021522	benign neoplasm of lower jaw bone
MONDO:0021523	benign neoplasm of pharynx
MONDO:0021524	benign neoplasm of buccal mucosa
MONDO:0021525	benign neoplasm of corpus uteri
MONDO:0021527	benign neoplasm of meninges
MONDO:0017969	46,XY disorder of sex development of endocrine origin
MONDO:0008717	acromesomelic dysplasia, Hunter-Thompson type
MONDO:0008714	acrofacial dysostosis Rodriguez type
MONDO:0008715	acrofrontofacionasal dysostosis
MONDO:0018788	COL4A1 or COL4A2-related cerebral small vessel disease
MONDO:0008713	acrodermatitis enteropathica
MONDO:0008710	Carpenter syndrome 1
MONDO:0008711	Goodman syndrome
MONDO:0017961	46,XX disorder of gonadal development
MONDO:0017960	CANDLE syndrome
MONDO:0017963	46,XX disorder of sex development induced by endogenous maternal-derived androgen
MONDO:0017962	46,XX disorder of sex development induced by fetoplacental androgens excess
MONDO:0017965	syndrome with 46,XX disorder of sex development
MONDO:0018781	KID syndrome
MONDO:0017967	testicular agenesis
MONDO:0017966	46,XY disorder of gonadal development
MONDO:0018072	persistent truncus arteriosus
MONDO:0014986	Fanconi anemia complementation group R
MONDO:0018070	familial multiple fibrofolliculoma
MONDO:0018071	Edwards syndrome
MONDO:0018076	tuberculosis
MONDO:0018077	tularemia
MONDO:0018074	american trypanosomiasis
MONDO:0018075	neural tube defect
MONDO:0009701	myopathy, granulovacuolar lobular, with Electrical myotonia
MONDO:0018078	soft tissue sarcoma
MONDO:0018079	thymic epithelial neoplasm
MONDO:0014984	lung disease, immunodeficiency, and chromosome breakage syndrome;
MONDO:0013068	ARHI2
MONDO:0013069	autosomal recessive optic atrophy, OPA7 type
MONDO:0007945	mannose 6-phosphate receptor recognition defect, Lebanese type
MONDO:0013060	autosomal recessive Parkinson disease 14
MONDO:0013061	myofibrillar myopathy 6
MONDO:0013062	long QT syndrome 12
MONDO:0013063	ventricular fibrillation, paroxysmal familial, 2
MONDO:0013064	multiple synostoses syndrome 3
MONDO:0013065	premature ovarian failure 7
MONDO:0013066	46,XY sex reversal 3
MONDO:0013067	cataract 34 multiple types
MONDO:0008026	autosomal dominant childhood-onset proximal spinal muscular atrophy without contractures
MONDO:0015527	KlC<ver-Bucy syndrome
MONDO:0016752	benign peripheral nerve sheath tumor
MONDO:0001528	vulva cancer
MONDO:0001529	pancytopenia
MONDO:0001526	labia minora cancer
MONDO:0001527	conjugate gaze palsy
MONDO:0001524	globe disease
MONDO:0001525	thyrocalcitonin secretion disease
MONDO:0001522	pyromania
MONDO:0001523	luxation of globe
MONDO:0001520	kleptomania
MONDO:0001521	intermittent explosive disorder
MONDO:0008027	muscular atrophy, malignant neurogenic
MONDO:0009976	retinal degeneration and epilepsy
MONDO:0016621	juvenile Huntington disease
MONDO:0015584	febrile infection-related epilepsy syndrome
MONDO:0013364	Rubinstein-Taybi syndrome due to EP300 haploinsufficiency
MONDO:0004963	T-cell acute lymphoblastic leukemia
MONDO:0017313	disorder of folate metabolism and transport
MONDO:0004176	childhood extraosseous osteosarcoma
MONDO:0003248	adult pineal parenchymal tumor
MONDO:0004174	secretory uterine corpus endometrioid adenocarcinoma
MONDO:0004920	hydrocele
MONDO:0004923	chronic inflammation of lacrimal passage
MONDO:0004175	mucin-rich endometrial endometrioid adenocarcinoma
MONDO:0004925	chronic dacryocystitis
MONDO:0004924	chronic canaliculitis
MONDO:0004927	dacryocystocele
MONDO:0004926	dacryocystitis
MONDO:0004929	constant exophthalmos
MONDO:0004928	lymph node disease
MONDO:0014704	skeletal overgrowth-craniofacial dysmorphism-hyperelastic skin-white matter lesions syndrome
MONDO:0004173	Skene gland carcinoma
MONDO:0011527	Charcot-Marie-Tooth disease type 4E
MONDO:0011834	spinocerebellar ataxia type 18
MONDO:0011525	Carney complex type 2
MONDO:0011836	thyroid Hurthle cell carcinoma
MONDO:0011831	arrhythmogenic right ventricular dysplasia 8
MONDO:0011522	hereditary spastic paraplegia 14
MONDO:0011521	inflammatory bowel disease 7
MONDO:0011832	autosomal dominant nonsyndromic deafness 44
MONDO:0011839	Newfoundland cone-rod dystrophy
MONDO:0011838	Bothnia retinal dystrophy
MONDO:0011529	spinocerebellar ataxia type 13
MONDO:0011528	immunodeficiency with hyper-IgM type 2
MONDO:0017785	PENS syndrome
MONDO:0017784	Epstein-Barr virus-associated gastric carcinoma
MONDO:0012339	celiac disease, susceptibility to, 4
MONDO:0012338	EIG4
MONDO:0017781	12p12.1 microdeletion syndrome
MONDO:0017780	20p13 microdeletion syndrome
MONDO:0017783	congenital pancreatic cyst
MONDO:0017782	developmental and speech delay due to SOX5 deficiency
MONDO:0012333	autosomal recessive nonsyndromic deafness 53
MONDO:0012332	short stature-delayed bone age due to thyroid hormone metabolism deficiency
MONDO:0012331	migraine with aura, susceptibility to, 9
MONDO:0012330	Talo-patello-scaphoid osteolysis
MONDO:0003382	eyelid disease
MONDO:0012336	cataract 22 multiple types
MONDO:0012335	obesity due to pro-opiomelanocortin deficiency
MONDO:0012334	hereditary spastic paraplegia 29
MONDO:0015581	bile acid synthesis defect with cholestasis and malabsorption
MONDO:0018374	secondary avascular necrosis
MONDO:0018377	rare hereditary disease with avascular necrosis
MONDO:0017316	short stature-deafness-neutrophil dysfunction-dysmorphism syndrome
MONDO:0018897	primary cutaneous CD30+ T-cell lymphoproliferative disease
MONDO:0020244	unclassified primitive or secondary maculopathy
MONDO:0017935	hyperinsulinism due to HNF1A deficiency
MONDO:0020091	male infertility due to obstructive azoospermia
MONDO:0021488	benign neoplasm of lacrimal gland
MONDO:0011783	ALG12-CDG
MONDO:0011782	angioid streaks
MONDO:0011781	spinocerebellar ataxia type 17
MONDO:0011780	SLI3
MONDO:0011787	autosomal recessive limb-girdle muscular dystrophy type 2I
MONDO:0011786	allergic rhinitis
MONDO:0011785	hereditary spastic paraplegia 19
MONDO:0011784	Moyamoya disease 2
MONDO:0011789	familial meningioma
MONDO:0011788	cloverleaf skull-multiple congenital anomalies syndrome
MONDO:0017317	phakomatosis pigmentokeratotica
MONDO:0020245	disease predisposing to age-related macular degeneration
MONDO:0008145	Ollier disease
MONDO:0007825	incisors, Rotation of upper central
MONDO:0016788	genetic hyperferritinemia without iron overload
MONDO:0016789	pyruvate metabolism disorder
MONDO:0016786	partial hydatidiform mole
MONDO:0016787	epithelioid trophoblastic tumor
MONDO:0016784	gestational trophoblastic disease
MONDO:0016785	complete hydatidiform mole
MONDO:0016782	paternal 14q32.2 hypomethylation syndrome
MONDO:0016783	maternal 14q32.2 hypermethylation syndrome
