ndf-rt code 	 drugbank_ids with | as seperator  	 name
C50.68^23778^	DB00455	LORATADINE 5MG TAB,CHEWABLE,UD [VA Product]
C53158	DB00661	VERAPAMIL HCL 240MG CAP,SA [VA Product]
C50.68^27237^	DB00281	LIDOCAINE 2.75% LOTION [VA Product]
C50.68^27018^	DB00111	DACLIZUMAB 150MG/ML INJ,SYR,1ML [VA Product]
C49694	DB01182	PROPAFENONE HCL 150MG TAB,UD [VA Product]
C49692	DB01182	PROPAFENONE HCL 150MG TAB [VA Product]
C49696	DB01182	PROPAFENONE HCL 225MG TAB [VA Product]
C35374	DB00443	BETAMETHASONE BENZOATE 0.025% CREAM,TOP [VA Product]
C35378	DB00443	BETAMETHASONE BENZOATE 0.025% LOTION [VA Product]
C50.68^24942^	DB11082	COAL TAR 0.8% LOTION,TOP [VA Product]
C46140	DB00264	METOPROLOL TARTRATE 100MG TAB [VA Product]
C46142	DB00264	METOPROLOL TARTRATE 100MG TAB,UD [VA Product]
C46148	DB00264	METOPROLOL TARTRATE 50MG TAB,UD [VA Product]
C46146	DB00264	METOPROLOL TARTRATE 50MG TAB [VA Product]
C46080	DB00959	METHYLPREDNISOLONE NA SUCCINATE 125MG/VIL INJ [VA Product]
C49926	DB00165	PYRIDOXINE HCL 250MG TAB [VA Product]
C49928	DB00165	PYRIDOXINE HCL 25MG TAB [VA Product]
C273655	DB00951	ISONIAZID 50MG TAB [VA Product]
C43974	DB05382	IOPAMIDOL 510MG/ML INJ [VA Product]
C44498	DB00709	LAMIVUDINE 25MG/5ML SOLN,ORAL [VA Product]
C275021	DB00628	CLORAZEPATE DIPOTASSIUM 15MG CAP [VA Product]
C49994	DB00468	QUININE SO4 200MG CAP [VA Product]
C34456	DB00945	ASPIRIN 487.5MG TAB,EC [VA Product]
C35290	DB04272	BENZOYL PEROXIDE 2.5% WASH,TOP [VA Product]
C33624	DB06767	AMMONIUM CHLORIDE 487.5MG TAB [VA Product]
C274630	DB00849	MEPHOBARBITAL 30MG TAB [VA Product]
C41828	DB00798	GENTAMICIN SO4 0.4MG/ML INJ [VA Product]
