ndf-rt code 	 drugbank_ids with | as seperator  	 name
C20262	DB00919	SPECTINOMYCIN
C12624	DB09278	CHARCOAL,ACTIVATED
C16788	DB00179	MASOPROCOL
C20470	DB00795	SULFASALAZINE
C19718	DB00936	SALICYLIC ACID
C15034	DB00056	GEMTUZUMAB OZOGAMICIN
C13128	DB01394	COLCHICINE
C273229	DB01394	COLCHCINE
C21384	DB01339	VECURONIUM
C10994	DB00513	AMINOCAPROIC ACID
C13436	DB06779	DALTEPARIN
C14220	DB01225	ENOXAPARIN
C31492	DB06713	NORELGESTROMIN
C16190	DB09136	ISOSULFAN BLUE
C15946	DB00068	INTERFERON BETA-1B
C15948	DB00068	INTERFERON BETA-1B,RECOMBINANT
C18384	DB00806	PENTOXIFYLLINE
C17718	DB09152	NITROGEN
C17710	DB00698	NITROFURANTOIN
C17716	DB00336	NITROFURAZONE
C12272	DB09157	CARBON DIOXIDE
C14508	DB00990	EXEMESTANE
C19418	DB01224	QUETIAPINE FUMARATE
C273291	DB00008	PEGINTERFERON ALFA-2A
C21526	DB00682	WARFARIN
C14110	DB01127	ECONAZOLE
C14974	DB05260	GALLIUM NITRATE
C9728	DB00414	ACETOHEXAMIDE
C10968	DB00288	AMCINONIDE
C11036	DB01025	AMLEXANOX
C17370	DB00929	MISOPROSTOL
C21178	DB01157	TRIMETREXATE
C21308	DB00094	UROFOLLITROPIN
C20742	DB09085	TETRACAINE
C18868	DB09287	POLYETHYLENE GLYCOL 4000
C20748	DB00759	TETRACYCLINE
C16290	DB00581	LACTULOSE
C17016	DB00333	METHADONE
C17022	DB01577	METHAMPHETAMINE
C11886	DB01200	BROMOCRIPTINE
C11898	DB00835	BROMPHENIRAMINE
C21342	DB00313	VALPROIC ACID
C13950	DB00313	DIVALPROEX
C19172	DB00387	PROCYCLIDINE
C16972	DB00933	MESORIDAZINE
C31204	DB00216	ELETRIPTAN
C19666	DB00412	ROSIGLITAZONE
C21074	DB00384	TRIAMTERENE
C21076	DB00897	TRIAZOLAM
C18992	DB09125	POTASSIUM CITRATE
C16398	DB00001	LEPIRUDIN
C15926	DB00018	INTERFERON ALFA-3N
C20468	DB00891	SULFAPYRIDINE
C11234	DB13151	ANTIINHIBITOR COAGULANT COMPLEX
C31544	DB00082	PEGVISOMANT
C11374	DB00023	ASPARAGINASE
C11364	DB00126	ASCORBIC ACID
C20662	DB01162	TERAZOSIN
C13542	DB00304	DESOGESTREL
C17522	DB00666	NAFARELIN
C13350	DB00606	CYCLOTHIAZIDE
C19574	DB00884	RISEDRONATE
C12378	DB01327	CEFAZOLIN
C12424	DB01330	CEFOTETAN
C12418	DB00493	CEFOTAXIME
C12410	DB01329	CEFOPERAZONE
C12430	DB01331	CEFOXITIN
C14936	DB00695	FUROSEMIDE
C14934	DB00614	FURAZOLIDONE
C17206	DB06710	METHYLTESTOSTERONE
C12520	DB00456	CEPHALOTHIN
C17724	DB00585	NIZATIDINE
C12154	DB01744	CAMPHOR OIL
C17842	DB01744	OIL OF CAMPHOR
C20568	DB00864	TACROLIMUS
C21712	DB00315	ZOLMITRIPTAN
C12930	DB00766	CLAVULANATE
C17528	DB00607	NAFCILLIN
C20700	DB00894	TESTOLACTONE
C20702	DB00624	TESTOSTERONE
C17546	DB00844	NALBUPHINE
C11132	DB00681	AMPHOTERICIN B LIPOSOME
C11128	DB00681	AMPHOTERICIN B LIPID COMPLEX
C20832	DB01623	THIOTHIXENE
C13992	DB00204	DOFETILIDE
C15360	DB10989	HEPATITIS A
C15364	DB10989	HEPATITIS A VACCINE (INACTIVATED)
C21374	DB11621	VARICELLA ZOSTER IMMUNE GLOBULIN (HUMAN)
C21370	DB11621	VARICELLA ZOSTER IMMUNE GLOBULIN
C31152	DB06701	DEXMETHYLPHENIDATE
C31192	DB00055	DROTRECOGIN ALFA (ACTIVATED)
C31188	DB00055	DROTRECOGIN ALFA
C16944	DB00849	MEPHOBARBITAL
C16916	DB00825	MENTHOL
C12996	DB00758	CLOPIDOGREL
C16936	DB01365	MEPHENTERMINE
C16942	DB00532	MEPHENYTOIN
C16930	DB00454	MEPERIDINE
C20188	DB00489	SOTALOL
C20182	DB01638	SORBITOL
C13240	DB01380	CORTISONE ACETATE
C16518	DB00601	LINEZOLID
C42128	DB03085	GLYCOLIC ACID [VA Product]
C11296	DB00964	APRACLONIDINE
C12014	DB00017	CALCITONIN,SALMON
C19720	DB00938	SALMETEROL
C16068	DB00332	IPRATROPIUM BROMIDE
C19562	DB01045	RIFAMPIN
C19566	DB00478	RIMANTADINE
C15574	DB11602	HYDROXYETHYL CELLULOSE
C17678	DB00184	NICOTINE POLACRILEX
C273300	DB01024	MYCOPHENOLIC ACID
C31220	DB00303	ERTAPENEM
C17574	DB08804	NANDROLONE DECANOATE
C17576	DB00984	NANDROLONE PHENPROPIONATE
C17274	DB01110	MICONAZOLE
C50.416^4746^	DB08872	GABAPENTIN ENACARBIL
C19512	DB00899	REMIFENTANIL
C19622	DB00296	ROPIVACAINE
C15244	DB00226	GUANADREL
C13312	DB00115	CYANOCOBALMIN
C13306	DB00115	CYANOCOBALAMIN
C14862	DB00066	FOLLITROPIN ALFA
C16074	DB00762	IRINOTECAN
C11006	DB01223	AMINOPHYLLINE
C20684	DB06285	TERIPARATIDE
C16716	DB01397	MAGNESIUM SALICYLATE
C19780	DB00971	SELENIUM SULFIDE
C17490	DB00410	MUPIROCIN
C16418	DB00007	LEUPROLIDE
C9694	DB00284	ACARBOSE
C20654	DB00231	TEMAZEPAM
C13150	DB01111	COLISTIMETHATE
C21028	DB00193	TRAMADOL
C18304	DB01230	PEMOLINE
C31208	DB00109	ENFUVIRTIDE
C13846	DB00917	DINOPROSTONE
C18382	DB00552	PENTOSTATIN
C12276	DB00958	CARBOPLATIN
C13346	DB00260	CYCLOSERINE
C13344	DB00531	CYCLOPHOSPHAMIDE
C13348	DB00091	CYCLOSPORINE
C11754	DB00121	BIOTIN
C11756	DB00810	BIPERIDEN
C15682	DB00249	IDOXURIDINE
C15676	DB01177	IDARUBICIN
C12846	DB00369	CIDOFOVIR
C11146	DB00701	AMPRENAVIR
C17970	DB00713	OXACILLIN
C17980	DB00621	OXANDROLONE
C17978	DB01096	OXAMNIQUINE
C11516	DB00074	BASILIXIMAB
C12190	DB00314	CAPREOMYCIN
C20452	DB01298	SULFACYTINE
C12744	DB01114	CHLORPHENIRAMINE POLISTIREX
C12886	DB00604	CISAPRIDE
C15110	DB00142	GLUTAMIC ACID
C16620	DB00447	LORACARBEF
C14088	DB00450	DROPERIDOL
C12894	DB00215	CITALOPRAM
C20892	DB01133	TILUDRONATE
C20074	DB09449	SODIUM PHOSPHATE,MONOBASIC
C19940	DB09449	SODIUM BIPHOSPHATE
C15206	DB00027	GRAMICIDIN
C13428	DB00111	DACLIZUMAB
C17954	DB00198	OSELTAMIVIR
C18290	DB00061	PEGADEMASE BOVINE
C20314	DB00649	STAVUDINE (d4T)
C14900	DB00529	FOSCARNET
C20636	DB09164	TECHNETIUM Tc 99m DISOFENIN
C18438	DB00850	PERPHENAZINE
C12228	DB00564	CARBAMAZEPINE
C9870	DB00240	ALCLOMETASONE
C21150	DB00376	TRIHEXYPHENIDYL HYDROCHLORIDE
C14916	DB01320	FOSPHENYTOIN
C15102	DB01914|DB09341	GLUCOSE
C13652	DB01914|DB09341	DEXTROSE
C19564	DB00740	RILUZOLE
C18174	DB00715	PAROXETINE
C11400	DB01117	ATOVAQUONE
C9758	DB06151	ACETYLCYSTEINE
C20946	DB01056	TOCAINIDE
C14846	DB00176	FLUVOXAMINE
C31392	DB00702	ICODEXTRIN
C18148	DB09117	PARALDEHYDE
C20528	DB00669	SUMATRIPTAN
C15344	DB01109	HEPARIN
C11190	DB01125	ANISINDIONE
C16202	DB00270	ISRADIPINE
C11354	DB01169	ARSENIC TRIOXIDE
C18486	DB01121	PHENACEMIDE
C16638	DB00227	LOVASTATIN
C16626	DB00186	LORAZEPAM
C16640	DB00408	LOXAPINE
C18696	DB00960	PINDOLOL
C16876	DB01042	MELPHALAN
C18724	DB00319	PIPERACILLIN
C14392	DB06689	ETHANOLAMINE OLEATE
C12722	DB00880	CHLOROTHIAZIDE
C14310	DB01613	ERYTHRITYL TETRANITRATE
C17922	DB00038	OPRELVEKIN
C20386	DB09498	STRONTIUM-89 CHLORIDE
C12988	DB01068	CLONAZEPAM
C15250	DB01170	GUANETHIDINE
C15236	DB00874	GUAIFENESIN
C15238	DB00629	GUANABENZ
C16354	DB00448	LANSOPRAZOLE
C14082	DB00366	DOXYLAMINE
C15934	DB00069	INTERFERON ALFACON-1
C19436	DB01325	QUINETHAZONE
C20800	DB00372	THIETHYLPERAZINE
C20830	DB04572	THIOTEPA
C18746	DB01291	PIRBUTEROL
C4855937818633	DB11256	L-METHYLFOLATE
C13972	DB01248	DOCETAXEL
C16402	DB01006	LETROZOLE
C20730	DB11604	TETANUS IMMUNE GLOBULIN,HUMAN
C50.416^4651^	DB00171	ADENOSINE TRIPHOSPHATE
C21444	DB00541	VINCRISTINE
C11670	DB00895	BENZYLPENICILLOYL POLYLYSINE
C11318	DB00407	ARDEPARIN
C30992	DB09009	ARTICAINE
C13908	DB00449	DIPIVEFRIN
C16092	DB01592	IRON CARBONYL
C19838	DB00658	SEVELAMER
C16780	DB00934	MAPROTILINE
C19140	DB01032	PROBENECID
C16888	DB00170	MENADIONE
C18506	DB00780	PHENELZINE
C17496	DB00075	MUROMONAB-CD3
C21238	DB01199	TUBOCURARINE
C20562	DB00382	TACRINE
C17624	DB00994	NEOMYCIN
C31680	DB00287	TRAVOPROST
C21654	DB00558	ZANAMIVIR
C11678	DB06761	BERACTANT
C16004	DB09115	IODOQUINOL
C31328	DB01296	GLUCOSAMINE
C21436	DB00194	VIDARABINE
C21438	DB00570	VINBLASTINE
C13376	DB00987	CYTARABINE
C11326	DB00125	ARGININE
C16546	DB00722	LISINOPRIL
C19856	DB00203	SILDENAFIL
C19126	DB00750	PRILOCAINE
C17198	DB00959	METHYLPREDNISOLONE
C17192	DB00422	METHYLPHENIDATE
C18518	DB01620	PHENIRAMINE
C18524	DB00830	PHENMETRAZINE
C20912	DB06822	TINZAPARIN
C12708	DB00608	CHLOROQUINE
C18752	DB00554	PIROXICAM
C19482	DB00178	RAMIPRIL
