ndf-rt code 	 drugbank_ids with | as seperator  	 name
C20578	DB00675	TAMOXIFEN CITRATE
C19062	DB11061	POVIDONE
C12918	DB04272	CITRIC ACID,ANHYDROUS
C11328	DB00125	ARGININE HYDROCHLORIDE
C18674	DB00981	PHYSOSTIGMINE SULFATE
C15496	DB00741	HYDROCORTISONE ACETATE
C17182	DB00353	METHYLERGONOVINE MALEATE
C21136	DB00508	TRIFLUPROMAZINE HYDROCHLORIDE
C16846	DB00939	MECLOFENAMATE SODIUM
C18012	DB00497	OXYCODONE HYDROCHLORIDE
C1477022640587	DB11321	COD LIVER OIL
C37864	DB11321	COD LIVER OIL [VA Product]
C16768	DB11141	MANGANESE GLUCONATE
C14636	DB13885	FERRIC SUBSULFATE
C13670	DB00271	DIATRIZOATE SODIUM
C14760	DB00687	FLUDROCORTISONE ACETATE
C21460	DB00162	VITAMIN A
C21440	DB00570	VINBLASTINE SULFATE
C14096	DB00645	DYCLONINE HYDROCHLORIDE
C14204	DB00584	ENALAPRIL MALEATE
C31120	DB09270	COENZYME Q10
C15240	DB00629	GUANABENZ ACETATE
C14314	DB00199	ERYTHROMYCIN ESTOLATE
C21672	DB01593	ZINC ACETATE
C11208	DB11157	ANTHRALIN
C17282	DB00683	MIDAZOLAM HYDROCHLORIDE
C17450	DB00295	MORPHINE SULFATE
C18624	DB11160	PHENYLTOLOXAMINE
C14072	DB00254	DOXYCYCLINE CALCIUM
C11434	DB00719	AZATADINE MALEATE
C19538	DB03247	RIBOFLAVIN PHOSPHATE
C17444	DB00680	MORICIZINE HYDROCHLORIDE
C13538	DB00035	DESMOPRESSIN ACETATE
C20932	DB00697	TIZANIDINE HYDROCHLORIDE
C12392	DB01413	CEFEPIME HYDROCHLORIDE
C18322	DB01053	PENICILLIN G POTASSIUM
C11888	DB01200	BROMOCRIPTINE MESYLATE
C19514	DB00899	REMIFENTANIL HYDROCHLORIDE
C16698	DB13595	MAGNESIUM ALUMINUM SILICATE
C17002	DB00331	METFORMIN HYDROCHLORIDE
C17530	DB00607	NAFCILLIN SODIUM
C21636	DB01392	YOHIMBINE HYDROCHLORIDE
C13620	DB11241	DEXTRAN 75
C16772	DB06757	MANGANESE SULFATE
C16758	DB06757	MANGANESE (AS SULFATE)
C21000	DB01036	TOLTERODINE TARTRATE
C18410	DB01186	PERGOLIDE MESYLATE
C16474	DB00854	LEVORPHANOL TARTRATE
C14638	DB11171	FERRIC SULFATE
C20486	DB00263	SULFISOXAZOLE DIOLAMINE
C12934	DB00766	CLAVULANATE POTASSIUM
C13638	DB01576	DEXTROAMPHETAMINE SACCHARATE
C10960	DB00915	AMANTADINE HYDROCHLORIDE
C17562	DB01183	NALOXONE HYDROCHLORIDE
C13116	DB00318	CODEINE PHOSPHATE
C13330	DB00924	CYCLOBENZAPRINE HYDROCHLORIDE
C16550	DB01356	LITHIUM CARBONATE
C19612	DB00728	ROCURONIUM BROMIDE
C17060	DB06799	METHENAMINE HIPPURATE
C14124	DB00974	EDETATE DISODIUM
C14128	DB00974	EDETATE SODIUM
C19486	DB00863	RANITIDINE BISMUTH CITRATE
C11480	DB10343	BACILLUS CALMETTE-GUERIN,TICE VACCINE
C14024	DB00869	DORZOLAMIDE HYDROCHLORIDE
C19624	DB00296	ROPIVACAINE HYDROCHLORIDE
C14370	DB04574	ESTROPIPATE
C19386	DB00165	PYRIDOXINE HYDROCHLORIDE
C19382	DB00165	PYRIDOXINE HCL
C15112	DB03266	GLUTARALDEHYDE
C31660	DB01079	TEGASEROD MALEATE
C15438	DB11181	HOMATROPINE
C18508	DB00780	PHENELZINE SULFATE
C21386	DB01339	VECURONIUM BROMIDE
C16704	DB11110	MAGNESIUM CITRATE
C14276	DB01240	EPOPROSTENOL SODIUM
C20876	DB00906	TIAGABINE HYDROCHLORIDE
C11094	DB01060	AMOXICILLIN TRIHYDRATE
C11008	DB01223	AMINOPHYLLINE DIHYDRATE
C21070	DB00620	TRIAMCINOLONE DIACETATE
C23283802187708	DB00736	ESOMEPRAZOLE SODIUM
C11586	DB00892	BENOXINATE HYDROCHLORIDE
C12964	DB11750	CLOBETASOL
C19328	DB00852	PSEUDOEPHEDRINE HYDROCHLORIDE
C20790	DB00152	THIAMINE MONONITRATE
C16642	DB00408	LOXAPINE HYDROCHLORIDE
C14076	DB00254	DOXYCYCLINE HYCLATE
C21260	DB10803	TYPHOID Vi POLYSACCHARIDE VACCINE
C12824	DB11136	CHROMIUM
C13826	DB00343	DILTIAZEM MALEATE
C16262	DB00920	KETOTIFEN FUMARATE
C21218	DB00685	TROVAFLOXACIN MESYLATE
C12796	DB00122	CHOLINE SALICYLATE
C11142	DB00415	AMPICILLIN TRIHYDRATE
C19230	DB00807	PROPARACAINE HYDROCHLORIDE
C11080	DB01351	AMOBARBITAL SODIUM
C16044	DB13293	IPECAC
C1511021237056	DB13293	IPECAC SYRUP
C44044	DB13293	IPECAC SYRUP [VA Product]
C13320	DB01176	CYCLIZINE HYDROCHLORIDE
C13822	DB00343	DILTIAZEM HYDROCHLORIDE
C13818	DB00343	DILTIAZEM HCL
C12984	DB01242	CLOMIPRAMINE HYDROCHLORIDE
C19600	DB00989	RIVASTIGMINE TARTRATE
C13444	DB06754	DANAPAROID
C12704	DB01161	CHLOROPROCAINE HYDROCHLORIDE
C17604	DB00716	NEDOCROMIL SODIUM
C17202	DB00959	METHYLPREDNISOLONE SODIUM SUCCINATE
C12090	DB13231	CALCIUM LACTATE
C10866	DB00969	ALOSETRON HCL
C12970	DB00838	CLOCORTOLONE PIVALATE
C13624	DB11076	DEXTRAN HM
C13616	DB11076	DEXTRAN 70
C16932	DB00454	MEPERIDINE HYDROCHLORIDE
C12450	DB01415	CEFTIBUTEN DIHYDRATE
C17392	DB00691	MOEXIPRIL HYDROCHLORIDE
C18600	DB00388	PHENYLEPHRINE BITARTRATE
C11708	DB00443	BETAMETHASONE VALERATE
C17568	DB00704	NALTREXONE HYDROCHLORIDE
C17620	DB00220	NELFINAVIR MESYLATE
C20924	DB00775	TIROFIBAN HYDROCHLORIDE
C18972	DB01345	POTASSIUM ACETATE
C50.416^4917^	DB11189	MAGNESIUM GLYCINATE
C12412	DB01329	CEFOPERAZONE SODIUM
C31228	DB01175	ESCITALOPRAM OXALATE
C11536	DB00394	BECLOMETHASONE
C14478	DB00773	ETOPOSIDE PHOSPHATE
C11500	DB01014	BALSALAZIDE DISODIUM
C13062	DB00907	COCAINE HYDROCHLORIDE
C17958	DB00198	OSELTAMIVIR PHOSPHATE
C18356	DB06805	PENTETATE CALCIUM TRISODIUM
C11696	DB00443	BETAMETHASONE ACETATE
C17094	DB00563	METHOTREXATE SODIUM
C18994	DB13620	POTASSIUM GLUCONATE
C12774	DB04540	CHOLESTEROL
C13708	DB00586	DICLOFENAC SODIUM
C12842	DB01188	CICLOPIROX OLAMINE
C19768	DB01037	SELEGILINE HYDROCHLORIDE
C18566	DB00191	PHENTERMINE HYDROCHLORIDE
C9796	DB00787	ACYCLOVIR SODIUM
C13746	DB01501	DIFENOXIN HYDROCHLORIDE
C16498	DB00281	LIDOCAINE HYDROCHLORIDE
C273257	DB00688	MYCOPHENOLATE MOFETIL HYDROCHLORIDE
C16828	DB00888	MECHLORETHAMINE HYDROCHLORIDE
C16420	DB00007	LEUPROLIDE ACETATE
