ndf-rt code 	 drugbank_ids with | as seperator  	 name
C13520	DB00004	DENILEUKIN
C19814	DB00010	SERMORELIN ACETATE
C15862	DB00030	INSULIN,REGULAR,HUMAN BUFFERED
C15802	DB00030	INSULIN,LENTE,HUMAN/rDNA
C15798	DB00030	INSULIN,LENTE,HUMAN/SEMISYNTHETIC
C15834	DB00030	INSULIN,NPH,HUMAN/rDNA
C15830	DB00030	INSULIN,NPH,HUMAN/SEMISYNTHETIC
C15910	DB00030	INSULIN,ULTRALENTE,HUMAN/rDNA
C15906	DB00030	INSULIN,ULTRALENTE,HUMAN
C20156	DB00052	SOMATOTROPIN
C20162	DB00052	SOMATROPIN (RECOMBINANT DNA ORIGIN)
C9830	DB00062	ALBUMIN
C15838	DB00071	INSULIN,NPH,PORK/PURIFIED
C15806	DB00071	INSULIN,LENTE,PORK/PURIFIED
C15890	DB00071	INSULIN,SEMILENTE,PORK/PURIFIED
C17824	DB00104	OCTREOTIDE ACETATE
C19542	DB00140	RIBOFLAVIN PHOSPHATE SODIUM
C13370	DB00151	CYSTEINE HYDROCHLORIDE MONOHYDRATE
C21462	DB00162	VITAMIN A (AS ACETATE & BETA CAROTENE)
C21478	DB00162	VITAMIN A PALMITATE (SOLUBILIZED)
C21468	DB00162	VITAMIN A (AS PALMITATE & BETA CAROTENE)
C20956	DB00163	TOCOPHERYL
C20958	DB00163	TOCOPHERYL ACETATE,ALPHA
C21510	DB00163	VITAMIN E ACETATE
C273086	DB00163	TOCOPHERYL ACID SUCCINATE
C20966	DB00163	TOCOPHERYL ACID SUCCINATE,D-ALPHA
C19098	DB00175	PRAVASTATIN SODIUM
C11100	DB00182	AMPHETAMINE ADIPATE
C11104	DB00182	AMPHETAMINE ASPARTATE
C11108	DB00182	AMPHETAMINE SULFATE
C14330	DB00187	ESMOLOL HYDROCHLORIDE
C21030	DB00193	TRAMADOL HYDROCHLORIDE
C11714	DB00195	BETAXOLOL HYDROCHLORIDE
C15556	DB00200	HYDROXOCOBALAMIN ACETATE
C17288	DB00211	MIDODRINE HYDROCHLORIDE
C18104	DB00213	PANTOPRAZOLE SODIUM
C12896	DB00215	CITALOPRAM HYDROBROMIDE
C16128	DB00221	ISOETHARINE HYDROCHLORIDE
C16132	DB00221	ISOETHARINE MESYLATE
C15246	DB00226	GUANADREL SULFATE
C17330	DB00235	MILRINONE LACTATE
C11948	DB00237	BUTABARBITAL SODIUM
C50.416^4710^	DB00246	ZIPRASIDONE HYDROCHLORIDE
C272892	DB00252	PHENYTOIN SODIUM,EXTENDED
C18644	DB00252	PHENYTOIN SODIUM EXTENDED
C272890	DB00252	PHENYTOIN SODIUM,PROMPT
C17238	DB00264	METOPROLOL SUCCINATE
C17240	DB00264	METOPROLOL TARTRATE
C13940	DB00280	DISOPYRAMIDE PHOSPHATE
C18086	DB00282	PAMIDRONATE DISODIUM
C21406	DB00285	VENLAFAXINE HYDROCHLORIDE
C11812	DB00290	BLEOMYCIN SULFATE
C273052	DB00295	MORPHINE (ANHYDROUS)
C11922	DB00297	BUPIVACAINE HYDROCHLORIDE
C15670	DB00308	IBUTILIDE FUMARATE
C18370	DB00312	PENTOBARBITAL SODIUM
C13954	DB00313	DIVALPROEX SODIUM
C12192	DB00314	CAPREOMYCIN SULFATE
C17018	DB00333	METHADONE HYDROCHLORIDE
C50.416^4650^	DB00338	OMEPRAZOLE MAGNESIUM
C12588	DB00341	CETIRIZINE HYDROCHLORIDE
C273261	DB00343	DITIAZ
C11912	DB00354	BUCLIZINE HYDROCHLORIDE
C16864	DB00358	MEFLOQUINE HYDROCHLORIDE
C21452	DB00361	VINORELBINE TARTRATE
C290599	DB00363	CLOZAPINE (UDL)
C290598	DB00363	CLOZAPINE (MYLAN)
C4837920957831	DB00363	CLOZAPINE (FAZACLO)
C290600	DB00363	CLOZAPINE (CLOZARIL)
C290669	DB00363	CLOZAPINE (CARACO)
C50.6^4858^	DB00363	CLOZAPINE (VERSACLOZ)
C4837968275856	DB00363	CLOZAPINE (TEVA)
C290597	DB00363	CLOZAPINE (IVAX)
C14084	DB00366	DOXYLAMINE SUCCINATE
C20802	DB00372	THIETHYLPERAZINE MALEATE
C13142	DB00375	COLESTIPOL HYDROCHLORIDE
C17258	DB00379	MEXILETINE HYDROCHLORIDE
C11040	DB00381	AMLODIPINE BESYLATE
C19174	DB00387	PROCYCLIDINE HYDROCHLORIDE
C18608	DB00388	PHENYLEPHRINE TANNATE
C18620	DB00397	PHENYLPROPANOLAMINE HYDROCHLORIDE
C31736	DB00399	ZOLEDRONIC
C272906	DB00400	GRISEOFULVIN,ULTRAMICROCRYSTALLINE
C19670	DB00412	ROSIGLITAZONE MALEATE
C19760	DB00418	SECOBARBITAL SODIUM
C17194	DB00422	METHYLPHENIDATE HYDROCHLORIDE
C13354	DB00434	CYPROHEPTADINE HYDROCHLORIDE
C13910	DB00449	DIPIVEFRIN HYDROCHLORIDE
C15702	DB00458	IMIPRAMINE PAMOATE
C16258	DB00465	KETOROLAC TROMETHAMINE
C19450	DB00468	QUININE SULFATE
C14798	DB00472	FLUOXETINE HYDROCHLORIDE
C17088	DB00474	METHOHEXITAL SODIUM
C12664	DB00475	CHLORDIAZEPOXIDE HYDROCHLORIDE
C19568	DB00478	RIMANTADINE HYDROCHLORIDE
C20190	DB00489	SOTALOL HYDROCHLORIDE
C14912	DB00492	FOSINOPRIL SODIUM
C12420	DB00493	CEFOTAXIME SODIUM
C20992	DB00500	TOLMETIN SODIUM
C15304	DB00502	HALOPERIDOL LACTATE
C13656	DB00509	DEXTROTHYROXINE SODIUM
C12332	DB00520	CASPOFUNGIN ACETATE
C12306	DB00521	CARTEOLOL HYDROCHLORIDE
C14902	DB00529	FOSCARNET SODIUM HEXAHYDRATE
C12882	DB00537	CIPROFLOXACIN HYDROCHLORIDE
C21446	DB00541	VINCRISTINE SULFATE
C15618	DB00557	HYDROXYZINE HYDROCHLORIDE
C15622	DB00557	HYDROXYZINE PAMOATE
C14042	DB00561	DOXAPRAM HYDROCHLORIDE
C19256	DB00571	PROPRANOLOL HYDROCHLORIDE
C11414	DB00572	ATROPINE SULFATE
C14590	DB00573	FENOPROFEN CALCIUM
C14576	DB00574	FENFLURAMINE HYDROCHLORIDE
C12236	DB00578	CARBENICILLIN DISODIUM
C14048	DB00590	DOXAZOSIN MESYLATE
C16272	DB00598	LABETALOL HYDROCHLORIDE
C12710	DB00608	CHLOROQUINE HYDROCHLORIDE
C12714	DB00608	CHLOROQUINE PHOSPHATE
C11800	DB00612	BISOPROLOL FUMARATE
C13516	DB00618	DEMECLOCYCLINE HYDROCHLORIDE
C17660	DB00622	NICARDIPINE HYDROCHLORIDE
C11486	DB00626	BACITRACIN ZINC
C13004	DB00628	CLORAZEPATE DIPOTASSIUM
C11970	DB00639	BUTOCONAZOLE NITRATE
C15186	DB00644	GONADORELIN ACETATE
C15190	DB00644	GONADORELIN HYDROCHLORIDE
C16408	DB00650	LEUCOVORIN CALCIUM
C18348	DB00652	PENTAZOCINE HYDROCHLORIDE
C18352	DB00652	PENTAZOCINE LACTATE
C16822	DB00657	MECAMYLAMINE HYDROCHLORIDE
C50.416.4502	DB00658	SEVELAMER CARBONATE
C50.416^4717^	DB00658	SEVELAMER HYDROCHLORIDE
C21412	DB00661	VERAPAMIL HYDROCHLORIDE
C17524	DB00666	NAFARELIN ACETATE
C20826	DB00679	THIORIDAZINE HYDROCHLORIDE
C11124	DB00681	AMPHOTERICIN B CHOLESTERYL SULFATE
C21528	DB00682	WARFARIN SODIUM
C20942	DB00684	TOBRAMYCIN SULFATE
C18378	DB00686	PENTOSAN POLYSULFATE SODIUM
C13474	DB00694	DAUNORUBICIN HYDROCHLORIDE
C14828	DB00712	FLURBIPROFEN SODIUM
C17972	DB00713	OXACILLIN SODIUM
C21182	DB00726	TRIMIPRAMINE MALEATE
C31236	DB00736	ESOMEPRAZOLE MAGNESIUM
C16834	DB00737	MECLIZINE HYDROCHLORIDE
C12258	DB00748	CARBINOXAMINE MALEATE
C19128	DB00750	PRILOCAINE HYDROCHLORIDE
C21048	DB00752	TRANYLCYPROMINE SULFATE
C13996	DB00757	DOLASETRON MESYLATE
C20750	DB00759	TETRACYCLINE HYDROCHLORIDE
C11654	DB00767	BENZQUINAMIDE HYDROCHLORIDE
C19236	DB00777	PROPIOMAZINE HYDROCHLORIDE
C15042	DB00798	GENTAMICIN SULFATE
C14584	DB00800	FENOLDOPAM MESYLATE
C11758	DB00810	BIPERIDEN HYDROCHLORIDE
C11762	DB00810	BIPERIDEN LACTATE
C16988	DB00816	METAPROTERENOL SULFATE
C18526	DB00830	PHENMETRAZINE HYDROCHLORIDE
C12364	DB00833	CEFACLOR MONOHYDRATE
C11900	DB00835	BROMPHENIRAMINE MALEATE
C13968	DB00841	DOBUTAMINE HYDROCHLORIDE
C14008	DB00843	DONEPEZIL HYDROCHLORIDE
C13360	DB00847	CYSTEAMINE BITARTRATE
C19332	DB00852	PSEUDOEPHEDRINE SULFATE
C12736	DB00856	CHLORPHENESIN CARBAMATE
C19118	DB00860	PREDNISOLONE SODIUM PHOSPHATE
C19488	DB00863	RANITIDINE HYDROCHLORIDE
C11648	DB00865	BENZPHETAMINE HYDROCHLORIDE
C19586	DB00867	RITODRINE HYDROCHLORIDE
C12670	DB00878	CHLORHEXIDINE GLUCONATE
C12978	DB00882	CLOMIPHENE CITRATE
C19578	DB00884	RISEDRONATE SODIUM
C17054	DB00902	METHDILAZINE HYDROCHLORIDE
C17904	DB00904	ONDANSETRON HYDROCHLORIDE
C19442	DB00908	QUINIDINE POLYGALACTURONATE
C19444	DB00908	QUINIDINE SULFATE
C30952	DB00918	ALMOTRIPTAN MALATE
C20264	DB00919	SPECTINOMYCIN HYDROCHLORIDE
C18556	DB00925	PHENOXYBENZAMINE HYDROCHLORIDE
C50.416^4671^	DB00930	COLESEVELAM HYDROCHLORIDE
C16974	DB00933	MESORIDAZINE BESYLATE
C13736	DB00937	DIETHYLPROPION HYDROCHLORIDE
C19722	DB00938	SALMETEROL XINAFOATE
C14662	DB00950	FEXOFENADINE HYDROCHLORIDE
C17646	DB00955	NETILMICIN SULFATE
C15486	DB00956	HYDROCODONE RESIN COMPLEX
C16948	DB00961	MEPIVACAINE HYDROCHLORIDE
C11444	DB00972	AZELASTINE HYDROCHLORIDE
C16604	DB00978	LOMEFLOXACIN HYDROCHLORIDE
C13340	DB00979	CYCLOPENTOLATE HYDROCHLORIDE
C31284	DB00983	FORMOTEROL FUMARATE
C50.416.4470	DB00983	FORMOTEROL FUMARATE DIHYDRATE
C15166	DB00986	GLYCOPYRROLATE
C13378	DB00987	CYTARABINE LIPOSOME
C14066	DB00997	DOXORUBICIN HYDROCHLORIDE LIPOSOME
C9866	DB01001	ALBUTEROL SULFATE
C11720	DB01019	BETHANECHOL CHLORIDE
C9676	DB01048	ABACAVIR SULFATE
C50.416^4896^	DB01050	IBUPROFEN LYSINE
C20948	DB01056	TOCAINIDE HYDROCHLORIDE
C18000	DB01062	OXYBUTYNIN CHLORIDE
C16176	DB01064	ISOPROTERENOL HYDROCHLORIDE
C16180	DB01064	ISOPROTERENOL SULFATE
C19210	DB01069	PROMETHAZINE HYDROCHLORIDE
C20376	DB01082	STREPTOMYCIN SULFATE
C19134	DB01087	PRIMAQUINE PHOSPHATE
