chemical	alias	source
CIDm00047725	CIDs05311128	DrugBank	DB00014
CIDm00027991	CIDs16051933	DrugBank	DB00035
CIDm25074886	CIDs25074886	DrugBank	DB00050
CIDm00002909	CIDs05280754	DrugBank	DB00091
CIDm00005956	CIDs14257662	DrugBank	DB00093
CIDm00054373	CIDs06400441	DrugBank	DB00104
CIDm00001051	CIDs00001051	DrugBank	DB00114
CIDm00002891	CIDs05460135	DrugBank	DB00115
CIDm00001129	CIDs00091443	DrugBank	DB00116
CIDm00000773	CIDs00006274	DrugBank	DB00117
CIDm00001079	CIDs00034755	DrugBank	DB00118
CIDm00001060	CIDs00001060	DrugBank	DB00119
CIDm00000994	CIDs00006140	DrugBank	DB00120
CIDm00000253	CIDs00171548	DrugBank	DB00121
CIDm00000305	CIDs00000305	DrugBank	DB00122
CIDm00000866	CIDs00005962	DrugBank	DB00123
CIDm00000232	CIDs00006322	DrugBank	DB00125
CIDm11020241	CIDs11020241	DrugBank	DB00126
CIDm00001103	CIDs00001103	DrugBank	DB00127
CIDm00000424	CIDs00005960	DrugBank	DB00128
CIDm00000389	CIDs00006262	DrugBank	DB00129
CIDm00000738	CIDs00005961	DrugBank	DB00130
CIDm00000224	CIDs00006083	DrugBank	DB00131
CIDm00000860	CIDs05280934	DrugBank	DB00132
CIDm00000617	CIDs00005951	DrugBank	DB00133
CIDm00000876	CIDs00006137	DrugBank	DB00134
CIDm00001153	CIDs00006057	DrugBank	DB00135
CIDm00002524	CIDs05280453	DrugBank	DB00136
CIDm00031380	CIDs05368396	DrugBank	DB00137
CIDm00000595	CIDs00067678	DrugBank	DB00138
CIDm00001110	CIDs00001110	DrugBank	DB00139
CIDm00001072	CIDs00493570	DrugBank	DB00140
CIDm00065150	CIDs01738118	DrugBank	DB00141
CIDm00000611	CIDs00033032	DrugBank	DB00142
CIDm00000745	CIDs00124886	DrugBank	DB00143
CIDm00445141	CIDs06323481	DrugBank	DB00144
CIDm00000750	CIDs00000750	DrugBank	DB00145
CIDm00001593	CIDs05283731	DrugBank	DB00146
CIDm00001050	CIDs00001050	DrugBank	DB00147
CIDm00000586	CIDs00000586	DrugBank	DB00148
CIDm00000857	CIDs00006106	DrugBank	DB00149
CIDm00001148	CIDs00006305	DrugBank	DB00150
CIDm00000594	CIDs00005862	DrugBank	DB00151
CIDm00001130	CIDs00001130	DrugBank	DB00152
CIDm00003249	CIDs05280793	DrugBank	DB00153
CIDm00003011	CIDs05280581	DrugBank	DB00154
CIDm00000833	CIDs00009750	DrugBank	DB00155
CIDm00000205	CIDs00006288	DrugBank	DB00156
CIDm00000928	CIDs00439153	DrugBank	DB00157
CIDm00003405	CIDs00006037	DrugBank	DB00158
CIDm00003209	CIDs00446284	DrugBank	DB00159
CIDm00000602	CIDs00005950	DrugBank	DB00160
CIDm00001182	CIDs00006287	DrugBank	DB00161
CIDm00001071	CIDs00445354	DrugBank	DB00162
CIDm00002116	CIDs00014985	DrugBank	DB00163
CIDm00001054	CIDs00001054	DrugBank	DB00165
CIDm00000864	CIDs00000864	DrugBank	DB00166
CIDm00000791	CIDs00006306	DrugBank	DB00167
CIDm00002242	CIDs00134600	DrugBank	DB00168
CIDm00002735	CIDs05280795	DrugBank	DB00169
CIDm00004055	CIDs00004055	DrugBank	DB00170
CIDm00000238	CIDs00005957	DrugBank	DB00171
CIDm00000614	CIDs00145742	DrugBank	DB00172
CIDm00000190	CIDs00000190	DrugBank	DB00173
CIDm00000236	CIDs00006267	DrugBank	DB00174
CIDm00004889	CIDs00054687	DrugBank	DB00175
CIDm00003404	CIDs00003404	DrugBank	DB00176
CIDm00005650	CIDs00060846	DrugBank	DB00177
CIDm00005038	CIDs05362129	DrugBank	DB00178
CIDm00004534	CIDs00071398	DrugBank	DB00179
CIDm00003379	CIDs00082153	DrugBank	DB00180
CIDm00002284	CIDs00002284	DrugBank	DB00181
CIDm00003007	CIDs00003007	DrugBank	DB00182
CIDm00021701	CIDs00444007	DrugBank	DB00183
CIDm00000942	CIDs00000942	DrugBank	DB00184
CIDm00002684	CIDs25137844	DrugBank	DB00185
CIDm00003958	CIDs00003958	DrugBank	DB00186
CIDm00059768	CIDs00059768	DrugBank	DB00187
CIDm00093860	CIDs00387447	DrugBank	DB00188
CIDm00003281	CIDs05281077	DrugBank	DB00189
CIDm00002563	CIDs00034359	DrugBank	DB00190
CIDm00004771	CIDs00004771	DrugBank	DB00191
CIDm00052194	CIDs00052194	DrugBank	DB00192
CIDm00005523	CIDs00033741	DrugBank	DB00193
CIDm00000191	CIDs00021704	DrugBank	DB00194
CIDm00002369	CIDs00002369	DrugBank	DB00195
CIDm00003365	CIDs00003365	DrugBank	DB00196
CIDm00005591	CIDs00005591	DrugBank	DB00197
CIDm00004603	CIDs00065028	DrugBank	DB00198
CIDm00003255	CIDs00012560	DrugBank	DB00199
CIDm04479097	CIDs05460193	DrugBank	DB00200
CIDm00002519	CIDs00002519	DrugBank	DB00201
CIDm00005314	CIDs00005314	DrugBank	DB00202
CIDm00005212	CIDs00005212	DrugBank	DB00203
CIDm00071329	CIDs00071329	DrugBank	DB00204
CIDm00004993	CIDs00004993	DrugBank	DB00205
CIDm00005052	CIDs00005770	DrugBank	DB00206
CIDm00002269	CIDs00447043	DrugBank	DB00207
CIDm00005472	CIDs00005472	DrugBank	DB00208
CIDm00005596	CIDs00005596	DrugBank	DB00209
CIDm00060164	CIDs00060164	DrugBank	DB00210
CIDm00004195	CIDs00004195	DrugBank	DB00211
CIDm00064923	CIDs05462340	DrugBank	DB00212
CIDm00004679	CIDs00004679	DrugBank	DB00213
CIDm00041781	CIDs00041781	DrugBank	DB00214
CIDm00002771	CIDs00002771	DrugBank	DB00215
CIDm00077993	CIDs00077993	DrugBank	DB00216
CIDm00002368	CIDs00002368	DrugBank	DB00217
CIDm00004259	CIDs00101526	DrugBank	DB00218
CIDm00005748	CIDs00005748	DrugBank	DB00219
CIDm00004451	CIDs00064142	DrugBank	DB00220
CIDm00003762	CIDs00003762	DrugBank	DB00221
CIDm00003476	CIDs00003476	DrugBank	DB00222
CIDm00003375	CIDs00071415	DrugBank	DB00223
CIDm00003706	CIDs05362440	DrugBank	DB00224
CIDm00023982	CIDs00023982	DrugBank	DB00225
CIDm00038521	CIDs00038521	DrugBank	DB00226
CIDm00003962	CIDs00053232	DrugBank	DB00227
CIDm00003226	CIDs00003226	DrugBank	DB00228
CIDm00002635	CIDs00043708	DrugBank	DB00229
CIDm00125889	CIDs05486971	DrugBank	DB00230
CIDm00005391	CIDs00005391	DrugBank	DB00231
CIDm00004121	CIDs00004121	DrugBank	DB00232
CIDm00004649	CIDs00004649	DrugBank	DB00233
CIDm00065856	CIDs00065856	DrugBank	DB00234
CIDm00004197	CIDs00004197	DrugBank	DB00235
CIDm00004842	CIDs00004842	DrugBank	DB00236
CIDm00002479	CIDs00002479	DrugBank	DB00237
CIDm00004463	CIDs00004463	DrugBank	DB00238
CIDm00004623	CIDs05361462	DrugBank	DB00239
CIDm04630253	CIDs05311000	DrugBank	DB00240
CIDm00002481	CIDs00002481	DrugBank	DB00241
CIDm00001546	CIDs00020279	DrugBank	DB00242
CIDm00056959	CIDs00056959	DrugBank	DB00243
CIDm00004075	CIDs00004075	DrugBank	DB00244
CIDm00002344	CIDs01201549	DrugBank	DB00245
CIDm00060853	CIDs00060853	DrugBank	DB00246
