flat_chemical_id	stereo_chemical_id	source_cid	inchikey
CIDm00455658	CIDs00455658	10009503	AWSZEWWCKZKNMK-UHFFFAOYSA-M
CIDm00029089	CIDs10010955	10010955	YZIYKJHYYHPJIB-UFXAPBIZSA-N
CIDm00008230	CIDs10011409	10011409	KBZOIRJILGZLEJ-LKOZKFBLSA-N
CIDm00042615	CIDs10011636	10011636	CUWODFFVMXJOKD-HUUXKKHNSA-N
CIDm00009904	CIDs10016199	10016199	NPAGDVCDWIYMMC-SSDAWUQTSA-N
CIDm10028615	CIDs10028615	10028615	ZBGXUVOIWDMMJE-NPUGLVOVSA-N
CIDm00151383	CIDs10034073	10034073	ZVGNESXIJDCBKN-UUEYKCAUSA-N
CIDm00071469	CIDs10034132	10034132	NNRXCKZMQLFUPL-QPOALBLESA-N
CIDm06333887	CIDs06918453	10055332	IDMMRTSWAXAENJ-XTZHGVARSA-N
CIDm00014917	CIDs10057437	10057437	KRHYYFGTRYWZRS-YPZZEJLDSA-N
CIDm00000785	CIDs10057485	10057485	QIGBRXMKCJKVMJ-ZBHCNTRJSA-N
CIDm00039524	CIDs10060022	10060022	IBLNKMRFIPWSOY-CXRYNGORSA-N
CIDm00009904	CIDs10061922	10061922	NPAGDVCDWIYMMC-NQMAVBHOSA-N
CIDm00003425	CIDs10075971	10075971	OHRURASPPZQGQM-FKICDRHRSA-N
CIDm10028615	CIDs10077129	10077129	NQRYCIGCIAWEIC-CKLVGUEFSA-N
CIDm10028615	CIDs10077129	10077130	ZBGXUVOIWDMMJE-QHNZEKIYSA-N
CIDm00014888	CIDs00014888	10092107	IMERSZIBZRSBGU-UHFFFAOYSA-N
CIDm06326970	CIDs10103113	10103113	BUGBHKTXTAQXES-QQVBLGSISA-N
CIDm00023951	CIDs10103390	10103390	KZUNJOHGWZRPMI-RKEGKUSMSA-N
CIDm10107393	CIDs10107393	10107393	VVECGOCJFKTUAX-UHFFFAOYSA-N
CIDm00160036	CIDs06918193	10124881	RTAHAAWSRPEEFW-UHFFFAOYSA-N
CIDm00000961	CIDs10129877	10129877	XLYOFNOQVPJJNP-BJUDXGSMSA-N
CIDm00000813	CIDs10129879	10129879	ZLMJMSJWJFRBEC-IGMARMGPSA-N
CIDm00083513	CIDs10129966	10129966	DSAJWYNOEDNPEQ-NOHWODKXSA-N
CIDm00023951	CIDs10145316	10145316	DDCWGUIPLGMBPO-UHFFFAOYSA-K
CIDm00003053	CIDs00003053	10151259	BHRQIJRLOVHRKH-UHFFFAOYSA-N
CIDm09912092	CIDs10151715	10151715	IMOZEMNVLZVGJZ-UHFFFAOYSA-N
CIDm00061799	CIDs05369209	10154232	HKVXSCINYRZHQK-SQQVDAMQSA-N
CIDm00027993	CIDs10156002	10156002	YJBYRYVLFAUXBJ-PVARCSIZSA-N
CIDm00003053	CIDs00003053	10167209	LRNLJCBZAUJMIS-UHFFFAOYSA-I
CIDm00060668	CIDs10169078	10169078	WCOHVOKFXMNYJU-OLINZMFNSA-L
CIDm00060668	CIDs10169078	10169079	LIQODXNTTZAGID-DDZZSQDASA-N
