chemical	name	molecular_weight	SMILES_string
CIDs00000119	gamma-aminobutyric acid (GABA	103.11976	C(CC(=O)O)CN
CIDs00000137	5-aminolevulinic acid	131.12986	C(CC(=O)O)C(=O)CN
CIDs00000143	leucovorin	473.43932	C1C(N(C2=C(N1)NC(=NC2=O)N)C=O)CNC3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O
CIDs00000175	acetate	59.04402	CC(=O)[O-]
CIDs00000187	acetylcholine	146.20744	CC(=O)OCC[N+](C)(C)C
CIDs00000206	dextrose	180.15588	C(C1C(C(C(C(O1)O)O)O)O)O
CIDs00000222	ammonia	17.03052	N
CIDs00000242	benzoic acid	121.1134	C1=CC=C(C=C1)C(=O)[O-]
CIDs00000244	benzyl alcohol	108.13782	C1=CC=C(C=C1)CO
CIDs00000247	betaine	117.14634	C[N+](C)(C)CC(=O)[O-]
CIDs00000271	calcium ions	40.078	[Ca+2]
CIDs00000297	methane	16.04246	C
CIDs00000298	chloramphenicole	323.12938	C1=CC(=CC=C1C(C(CO)NC(=O)C(Cl)Cl)O)[N+](=O)[O-]
CIDs00000311	citric acid	192.12352	C(C(=O)O)C(CC(=O)O)(C(=O)O)O
CIDs00000312	chloride	35.453	[Cl-]
CIDs00000338	salicylate	138.12074	C1=CC=C(C(=C1)C(=O)O)O
CIDs00000444	bupropion	239.74112	CC(C(=O)C1=CC(=CC=C1)Cl)NC(C)(C)C
CIDs00000453	hexitol	182.17176	C(C(C(C(C(CO)O)O)O)O)O
CIDs00000564	EACA	131.17292	C(CCC(=O)O)CCN
CIDs00000598	mesna	142.19724	C(CS(=O)(=O)O)S
CIDs00000612	lactate	90.07794	CC(C(=O)O)O
CIDs00000679	DMSO	78.13344	CS(=O)C
CIDs00000681	dopamine	153.17844	C1=CC(=C(C=C1CCN)O)O
CIDs00000700	ethanolamine	61.08308	C(CO)N
CIDs00000727	lindane	290.82984	C1(C(C(C(C(C1Cl)Cl)Cl)Cl)Cl)Cl
CIDs00000750	glycine	75.0666	C(C(=O)O)N
CIDs00000753	glycerol	92.09382	C(C(CO)O)O
CIDs00000767	bicarbonate	62.02478	C(=O)(O)O
CIDs00000772	heparin	1134.92788	CC(=O)NC1C(C(C(OC1O)COS(=O)(=O)O)OC2C(C(C(C(O2)C(=O)O)OC3C(C(C(C(O3)CO)OC4C(C(C(C(O4)C(=O)O)O)O)OS(=O)(=O)O)OS(=O)(=O)O)NS(=O)(=O)O)O)OS(=O)(=O)O)O
CIDs00000774	histamine	111.14506	C1=C(NC=N1)CCN
CIDs00000785	quinol	110.11064	C1=CC(=CC=C1O)O
CIDs00000813	potassium	39.0983	[K+]
CIDs00000888	magnesium	24.305	[Mg+2]
