decipher id 	 decipher name 	 doid 	 db_type 
1	wolf-hirschhorn syndrome	DOID:0050460	DECIPHER
17	sotos syndrome	DOID:14748	DECIPHER
37	3q29 microdeletion syndrome	DOID:0060419	DECIPHER
38	pelizaeus-merzbacher disease	DOID:3210	DECIPHER
52	9q subtelomeric deletion syndrome	DOID:0060352	DECIPHER
65	atr-16 syndrome	DOID:0110029	DECIPHER
68	16p11.2-p12.2 microdeletion syndrome	DOID:0060400	DECIPHER
74	15q13.3 microdeletion syndrome	DOID:0060394	DECIPHER
8	smith-magenis syndrome	DOID:0060768	DECIPHER
101075	x-linked charcot-marie-tooth disease type 1	DOID:0110209	ORPHA
101076	x-linked charcot-marie-tooth disease type 2	DOID:0110208	ORPHA
101077	x-linked charcot-marie-tooth disease type 3	DOID:0110211	ORPHA
101078	x-linked charcot-marie-tooth disease type 4	DOID:0110212	ORPHA
101330	porphyria cutanea tarda	DOID:3132	ORPHA
1037	arthrogryposis multiplex congenita	DOID:0050646	ORPHA
104	leber hereditary optic neuropathy	DOID:705	ORPHA
1071	ankyloblepharon-ectodermal defects-cleft lip/palate syndrome	DOID:0090119	ORPHA
108	babesiosis	DOID:9643	ORPHA
109	bannayan-riley-ruvalcaba syndrome	DOID:0050657	ORPHA
110	bardet-biedl syndrome	DOID:1935	ORPHA
1106	microphthalmia with limb anomalies	DOID:0060861	ORPHA
111	barth syndrome	DOID:0050476	ORPHA
1143	neurogenic arthrogryposis multiplex congenita	DOID:0090124	ORPHA
1147	sheldon-hall syndrome	DOID:0050646	ORPHA
1155	arthrogryposis due to muscular dystrophy	DOID:0110631	ORPHA
1159	progressive pseudorheumatoid arthropathy of childhood	DOID:0090004	ORPHA
116	beckwith-wiedemann syndrome	DOID:5572	ORPHA
1164	allergic bronchopulmonary aspergillosis	DOID:13166	ORPHA
118	beta-mannosidosis	DOID:3633	ORPHA
1186	infantile onset spinocerebellar ataxia	DOID:0050556	ORPHA
1187	lethal ataxia with deafness and optic atrophy	DOID:0050647	ORPHA
1225	baller-gerold syndrome	DOID:0050654	ORPHA
1226	bamforth-lazarus syndrome	DOID:0050655	ORPHA
1231	barber-say syndrome	DOID:0060549	ORPHA
125	bloom syndrome	DOID:2717	ORPHA
1263	boomerang dysplasia	DOID:0050680	ORPHA
1267	botulism	DOID:11976	ORPHA
127	borjeson-forssman-lehmann syndrome	DOID:0050681	ORPHA
1270	bowen-conradi syndrome	DOID:0050684	ORPHA
1278	brachydactyly-preaxial hallux varus syndrome	DOID:0110962	ORPHA
1293	brachyolmia	DOID:0050690	ORPHA
13	6-pyruvoyl-tetrahydropterin synthase deficiency	DOID:0090106	ORPHA
1305	feingold syndrome	DOID:0060464	ORPHA
131	budd-chiari syndrome	DOID:11512	ORPHA
1310	caffey disease	DOID:4257	ORPHA
1328	camurati-engelmann disease	DOID:4997	ORPHA
1332	medullary thyroid carcinoma	DOID:3973	ORPHA
1334	chronic mucocutaneous candidiasis	DOID:2058	ORPHA
1340	cardiofaciocutaneous syndrome	DOID:0060233	ORPHA
1359	carney complex	DOID:0050471	ORPHA
136	cadasil	DOID:13945	ORPHA
137	congenital disorder of glycosylation	DOID:5212	ORPHA
137817	arachnoiditis	DOID:12156	ORPHA
138	charge syndrome	DOID:0050834	ORPHA
139436	multicentric reticulohistiocytosis	DOID:11824	ORPHA
139491	hemochromatosis type 4	DOID:0111028	ORPHA
140	campomelic dysplasia	DOID:0050463	ORPHA
140908	brachydactyly type b2	DOID:0110975	ORPHA
141	canavan disease	DOID:3613	ORPHA
1412	tarsal-carpal coalition syndrome	DOID:0050789	ORPHA
1422	chondrodysplasia-disorder of sex development syndrome	DOID:0060644	ORPHA
1425	desbuquois syndrome	DOID:0060462	ORPHA
1427	otospondylomegaepiphyseal dysplasia	DOID:0080026	ORPHA
143	parathyroid carcinoma	DOID:1540	ORPHA
144	lynch syndrome	DOID:3883	ORPHA
1451	cinca syndrome	DOID:0090029	ORPHA
1452	cleidocranial dysplasia	DOID:13994	ORPHA
1465	coffin-siris syndrome	DOID:1925	ORPHA
1467	cogan syndrome	DOID:0060216	ORPHA
1475	renal coloboma syndrome	DOID:0090006	ORPHA
1479	atrial septal defect-atrioventricular conduction defects syndrome	DOID:0110112	ORPHA
148	multiple carboxylase deficiency	DOID:857	ORPHA
1493	vici syndrome	DOID:0060356	ORPHA
1496	corpus callosum agenesis-neuronopathy syndrome	DOID:0060600	ORPHA
1507	autosomal recessive robinow syndrome	DOID:0060764	ORPHA
1513	craniodiaphyseal dysplasia	DOID:0080032	ORPHA
1515	cranioectodermal dysplasia	DOID:0050577	ORPHA
1520	craniofrontonasal dysplasia	DOID:14737	ORPHA
1522	craniometaphyseal dysplasia	DOID:0080033	ORPHA
1545	crisponi syndrome	DOID:0060294	ORPHA
156	carnitine palmitoyl transferase 1a deficiency	DOID:0090129	ORPHA
1568	x-linked intellectual disability-dandy-walker malformation-basal ganglia disease-seizures syndrome	DOID:0060800	ORPHA
157	carnitine palmitoyltransferase ii deficiency	DOID:0060235	ORPHA
1572	common variable immunodeficiency	DOID:12177	ORPHA
157215	hereditary hypophosphatemic rickets with hypercalciuria	DOID:0050947	ORPHA
157846	neuroferritinopathy	DOID:0110737	ORPHA
157850	pantothenate kinase-associated neurodegeneration	DOID:3981	ORPHA
157973	congenital muscular dystrophy due to lmna mutation	DOID:0110640	ORPHA
1596	distal monosomy 15q	DOID:0060397	ORPHA
1598	monosomy 18p	DOID:0060406	ORPHA
1600	monosomy 18q	DOID:0060407	ORPHA
1606	1p36 deletion syndrome	DOID:0060410	ORPHA
1620	distal monosomy 3p	DOID:0060417	ORPHA
1621	3q13 microdeletion syndrome	DOID:0060418	ORPHA
163634	maffucci syndrome	DOID:0060221	ORPHA
163690	hypotonia-cystinuria syndrome	DOID:0060858	ORPHA
1652	dent disease	DOID:0050699	ORPHA
1653	dentin dysplasia	DOID:701	ORPHA
1656	dermatitis herpetiformis	DOID:8505	ORPHA
166	charcot-marie-tooth disease	DOID:10595	ORPHA
1666	dextrocardia	DOID:9565	ORPHA
1667	wolcott-rallison syndrome	DOID:0090060	ORPHA
168829	primary peritoneal carcinoma	DOID:1791	ORPHA
169095	alymphoid cystic thymic dysgenesis	DOID:0060769	ORPHA
169105	good syndrome	DOID:0060028	ORPHA
171	primary sclerosing cholangitis	DOID:0060643	ORPHA
1713	17p11.2 microduplication syndrome	DOID:0060853	ORPHA
171851	mednik syndrome	DOID:0060483	ORPHA
1727	22q11.2 microduplication syndrome	DOID:0060436	ORPHA
175	cartilage-hair hypoplasia	DOID:14773	ORPHA
1764	familial dysautonomia	DOID:11589	ORPHA
177	rhizomelic chondrodysplasia punctata	DOID:2580	ORPHA
1775	dyskeratosis congenita	DOID:2729	ORPHA
178029	central diabetes insipidus	DOID:12388	ORPHA
1784	acrofrontofacionasal dysostosis	DOID:0060226	ORPHA
178475	wound botulism	DOID:0050353	ORPHA
178478	infant botulism	DOID:0050354	ORPHA
178481	intestinal botulism	DOID:0050141	ORPHA
178509	perry syndrome	DOID:0060486	ORPHA
1786	acrofacial dysostosis, catania type	DOID:0060384	ORPHA
179	birdshot chorioretinopathy	DOID:0111079	ORPHA
180	choroideremia	DOID:9821	ORPHA
1830	schimke immuno-osseous dysplasia	DOID:0060490	ORPHA
183660	severe combined immunodeficiency	DOID:627	ORPHA
184	cherubism	DOID:1856	ORPHA
1878	autosomal recessive limb-girdle muscular dystrophy type 2h	DOID:0110282	ORPHA
189	hidrotic ectodermal dysplasia	DOID:14693	ORPHA
189439	primary pigmented nodular adrenocortical disease	DOID:0060280	ORPHA
1896	eec syndrome	DOID:0060782	ORPHA
190	coats disease	DOID:7765	ORPHA
1906	fetal valproate syndrome	DOID:0060471	ORPHA
191	cockayne syndrome	DOID:2962	ORPHA
1915	fetal alcohol syndrome	DOID:0050665	ORPHA
192	coffin-lowry syndrome	DOID:3783	ORPHA
1935	early myoclonic encephalopathy	DOID:308	ORPHA
1941	juvenile absence epilepsy	DOID:0060172	ORPHA
1947	progressive epilepsy-intellectual disability syndrome, finnish type	DOID:0110724	ORPHA
1949	benign familial neonatal epilepsy	DOID:14777	ORPHA
1955	spinocerebellar ataxia type 34	DOID:0050981	ORPHA
1956	erythromelalgia	DOID:9240	ORPHA
199	cornelia de lange syndrome	DOID:11725	ORPHA
199244	nelson syndrome	DOID:4968	ORPHA
199318	15q13.3 microdeletion syndrome	DOID:0060394	ORPHA
199343	east syndrome	DOID:0060484	ORPHA
2014	cleft palate	DOID:674	ORPHA
2021	fibrochondrogenesis	DOID:0060465	ORPHA
2024	hereditary gingival fibromatosis	DOID:0060466	ORPHA
205	crigler-najjar syndrome	DOID:3803	ORPHA
2050	cole-carpenter syndrome	DOID:0060438	ORPHA
2052	fraser syndrome	DOID:0090001	ORPHA
2053	freeman-sheldon syndrome	DOID:0050646	ORPHA
206484	gonadoblastoma	DOID:3301	ORPHA
2065	galloway-mowat syndrome	DOID:0060364	ORPHA
2070	eosinophilic gastroenteritis	DOID:4031	ORPHA
209	cutis laxa	DOID:3144	ORPHA
2092	focal dermal hypoplasia	DOID:2120	ORPHA
2098	acromesomelic dysplasia, grebe type	DOID:0080052	ORPHA
2108	hallermann-streiff syndrome	DOID:4534	ORPHA
2116	hartnup disease	DOID:1060	ORPHA
213	cystinosis	DOID:1064	ORPHA
214	cystinuria	DOID:9266	ORPHA
2140	congenital diaphragmatic hernia	DOID:3827	ORPHA
2143	donnai-barrow syndrome	DOID:0090144	ORPHA
215	congenital stationary night blindness	DOID:0050534	ORPHA
2152	mowat-wilson syndrome	DOID:0060485	ORPHA
216	neuronal ceroid lipofuscinosis	DOID:14503	ORPHA
2162	holoprosencephaly	DOID:4621	ORPHA
2167	holzgreve-wagner-rehder syndrome	DOID:0060566	ORPHA
2168	homocarnosinosis	DOID:0060177	ORPHA
217346	19q13.11 microdeletion syndrome	DOID:0060408	ORPHA
217377	microduplication xp11.22-p11.23 syndrome	DOID:0060461	ORPHA
217385	17p13.3 microduplication syndrome	DOID:0060432	ORPHA
217622	sensorineural deafness with dilated cardiomyopathy	DOID:0110440	ORPHA
22	succinic semialdehyde dehydrogenase deficiency	DOID:0060175	ORPHA
220	denys-drash syndrome	DOID:3764	ORPHA
220402	limited cutaneous systemic sclerosis	DOID:1577	ORPHA
221	dermatomyositis	DOID:10223	ORPHA
2213	hypertelorism-microtia-facial clefting syndrome	DOID:14670	ORPHA
223	nephrogenic diabetes insipidus	DOID:12387	ORPHA
2237	hypoparathyroidism-deafness-renal disease syndrome	DOID:0060878	ORPHA
2241	megacystis-microcolon-intestinal hypoperistalsis syndrome	DOID:0060610	ORPHA
2248	hypoplastic left heart syndrome	DOID:9955	ORPHA
2268	icf syndrome	DOID:0090007	ORPHA
228371	foodborne botulism	DOID:11976	ORPHA
228429	generalized congenital lipodystrophy with myopathy	DOID:0111138	ORPHA
23	argininosuccinic aciduria	DOID:14755	ORPHA
2300	multiple intestinal atresia	DOID:14671	ORPHA
2309	pachyonychia congenita	DOID:0050449	ORPHA
231	dracunculiasis	DOID:14418	ORPHA
231169	usher syndrome type 1	DOID:0110826	ORPHA
231178	usher syndrome type 2	DOID:0110827	ORPHA
231183	usher syndrome type 3	DOID:0110828	ORPHA
2315	johanson-blizzard syndrome	DOID:14694	ORPHA
232	sickle cell anemia	DOID:10923	ORPHA
2322	kabuki syndrome	DOID:0060473	ORPHA
2323	sanjad-sakati syndrome	DOID:0060348	ORPHA
233	duane retraction syndrome	DOID:12557	ORPHA
2331	kawasaki disease	DOID:13378	ORPHA
234	dubin-johnson syndrome	DOID:12308	ORPHA
235	dubowitz syndrome	DOID:14796	ORPHA
2368	gastroschisis	DOID:11044	ORPHA
2377	laurence-moon syndrome	DOID:1930	ORPHA
2382	lennox-gastaut syndrome	DOID:0050561	ORPHA
238468	hypohidrotic ectodermal dysplasia	DOID:14793	ORPHA
2388	choreoacanthocytosis	DOID:0050766	ORPHA
2398	multiple symmetric lipomatosis	DOID:14116	ORPHA
2406	locked-in syndrome	DOID:12697	ORPHA
2438	hand-foot-genital syndrome	DOID:0060739	ORPHA
244	primary ciliary dyskinesia	DOID:9562	ORPHA
245	nager syndrome	DOID:5768	ORPHA
2466	masa syndrome	DOID:0060246	ORPHA
2467	systemic mastocytosis	DOID:349	ORPHA
2483	melkersson-rosenthal syndrome	DOID:1761	ORPHA
2495	meningioma	DOID:3565	ORPHA
