decipher id 	 decipher name 	 mondo 	 db_type 
DECIPHER:1	wolf-hirschhorn syndrome	MONDO:0008684	DECIPHER
DECIPHER:17	sotos syndrome	MONDO:0007299	DECIPHER
DECIPHER:34	potocki-shaffer syndrome	MONDO:0011022	DECIPHER
DECIPHER:37	3q29 microdeletion syndrome	MONDO:0012269	DECIPHER
DECIPHER:38	pelizaeus-merzbacher disease	MONDO:0010714	DECIPHER
DECIPHER:52	9q subtelomeric deletion syndrome	MONDO:0019896	DECIPHER
DECIPHER:65	atr-16 syndrome	MONDO:0007716	DECIPHER
DECIPHER:68	16p11.2-p12.2 microdeletion syndrome	MONDO:0013320	DECIPHER
DECIPHER:74	15q13.3 microdeletion syndrome	MONDO:0012774	DECIPHER
DECIPHER:76	12q14 microdeletion syndrome	MONDO:0019784	DECIPHER
DECIPHER:8	smith-magenis syndrome	MONDO:0008434	DECIPHER
DECIPHER:85	8p23.1 duplication syndrome	MONDO:0016659	DECIPHER
