decipher id 	 decipher name 	 mondos 	 db_type 
DECIPHER:14	prader-willi syndrome (type 1)	MONDO:0008300	DECIPHER
DECIPHER:16	22q11 deletion syndrome (velocardiofacial / digeorge syndrome)	MONDO:0018923|MONDO:0008644	DECIPHER
DECIPHER:19	potocki-lupski syndrome (17p11.2 duplication syndrome)	MONDO:0012574	DECIPHER
DECIPHER:2	cri du chat syndrome (5p deletion)	MONDO:0007404	DECIPHER
DECIPHER:20	22q13 deletion syndrome (phelan-mcdermid syndrome)	MONDO:0011652	DECIPHER
DECIPHER:21	miller-dieker syndrome (mds)	MONDO:0009532	DECIPHER
DECIPHER:29	charcot-marie-tooth syndrome type 1a (cmt1a)	MONDO:0007309	DECIPHER
DECIPHER:3	williams-beuren syndrome (wbs)	MONDO:0008678	DECIPHER
DECIPHER:31	hereditary liability to pressure palsies (hnpp)	MONDO:0008087	DECIPHER
DECIPHER:4	angelman syndrome (type 1)	MONDO:0007113	DECIPHER
DECIPHER:42	cat-eye syndrome (type i)	MONDO:0007276	DECIPHER
DECIPHER:46	split hand/foot malformation 1 (shfm1)	MONDO:0008464	DECIPHER
DECIPHER:47	rcad (renal cysts and diabetes)	MONDO:0007669	DECIPHER
DECIPHER:53	prader-willi syndrome (type 2)	MONDO:0008300	DECIPHER
DECIPHER:54	angelman syndrome (type 2)	MONDO:0007113	DECIPHER
DECIPHER:59	adult-onset autosomal dominant leukodystrophy (adld)	MONDO:0008215	DECIPHER
