omim id 	 omim name 	 mondos 
OMIM:100050	100050 aarskog syndrome, autosomal dominant	MONDO:0007030|MONDO:0007030
OMIM:100070	aortic aneurysm, abdominal	MONDO:0005350|MONDO:0007031
OMIM:100100	#100100 prune belly syndrome; pbs;;abdominal muscles, absence of, with urinary tract abnormality andcryptorchidism;;eagle-barrett syndrome; egbrs	MONDO:0007032
OMIM:100200	abducens palsy	MONDO:0007033
OMIM:100300	adams-oliver syndrome 1	MONDO:0007034|MONDO:0007034
OMIM:100600	acanthosis nigricans	MONDO:0007035
OMIM:100700	achard syndrome	MONDO:0007036
OMIM:100800	#100800 achondroplasia; ach	MONDO:0007037|MONDO:0007037
OMIM:101000	#101000 neurofibromatosis, type ii; nf2;;neurofibromatosis, central type;;acoustic schwannomas, bilateral;;bilateral acoustic neurofibromatosis; banf;;acoustic neurinoma, bilateral; acn	MONDO:0007039
OMIM:100820	achoo syndrome	MONDO:0007038
OMIM:101120	acrocephalopolysyndactyly type iii	MONDO:0007040
OMIM:101200	#101200 apert syndrome;;acrocephalosyndactyly, type i; acs1;;acs iapert-crouzon disease, included;;acrocephalosyndactyly, type ii, included;;acs ii, included;;vogt cephalodactyly, included	MONDO:0019796|MONDO:0007041
OMIM:101400	#101400 saethre-chotzen syndrome; scs;;acrocephalosyndactyly, type iii; acs3;;acs iii;;chotzen syndrome;;acrocephaly, skull asymmetry, and mild syndactylysaethre-chotzen syndrome with eyelid anomalies, included;;blepharophimosis, epicanthus inversus, and ptosis 3, formerly, included;bpes3, formerly, included	MONDO:0007042|MONDO:0007042
OMIM:101600	#101600 pfeiffer syndrome;;acrocephalosyndactyly, type v; acs5;;acs v;;noack syndromecraniofacial-skeletal-dermatologic dysplasia, included	MONDO:0007043|MONDO:0007043
OMIM:101800	#101800 acrodysostosis 1, with or without hormone resistance; acrdys1;;adohr	MONDO:0007044
OMIM:101805	acrofacial dysostosis, catania type	MONDO:0007045
OMIM:101840	acrokeratoderma, hereditary papulotranslucent	MONDO:0007046
OMIM:101850	acrokeratoelastoidosis	MONDO:0007047
OMIM:101900	acrokeratosis verruciformis	MONDO:0007048
OMIM:102000	acroleukopathy, symmetric	MONDO:0007049
OMIM:102100	acromegaloid changes, cutis verticis gyrata, and corneal leukoma	MONDO:0007050
OMIM:102150	acromegaloid facial appearance syndrome	MONDO:0007051
OMIM:102200	pituitary adenoma, growth hormone-secreting, 1	MONDO:0007052|MONDO:0007052
OMIM:102300	restless legs syndrome, susceptibility to, 1; rls1	MONDO:0007053
OMIM:102350	acromial dimples	MONDO:0007054
OMIM:102370	acromicric dysplasia	MONDO:0007055
OMIM:102400	acroosteolysis	MONDO:0007056
OMIM:102500	#102500 hajdu-cheney syndrome; hjcys;;acroosteolysis with osteoporosis and changes in skull and mandible;;cheney syndrome;;arthrodentoosteodysplasia;;serpentine fibula-polycystic kidney syndrome; sfpks	MONDO:0007057
OMIM:102510	acropectorovertebral dysplasia, f-form of	MONDO:0007058
OMIM:102520	acrorenal syndrome	MONDO:0007059
OMIM:102530	spermatogenic failure 6; spgf6	MONDO:0007060
OMIM:102650	adactylia, unilateral	MONDO:0007062
OMIM:102660	adamantinoma of long bones	MONDO:0007063
OMIM:102700	severe combined immunodeficiency, autosomal recessive, t cell-negative,b cell-negative, nk cell-negative, due to adenosine deaminase deficiency	MONDO:0007064|MONDO:0007064
OMIM:102730	adenosine deaminase, elevated, hemolytic anemia due to	MONDO:0007065
OMIM:102800	adenosine triphosphatase deficiency, anemia due to	MONDO:0007066
OMIM:102900	adenosine triphosphate, elevated, of erythrocytes	MONDO:0007067
OMIM:103050	adenylosuccinase deficiency	MONDO:0007068
OMIM:103100	adie pupil	MONDO:0018690
OMIM:103200	adiposis dolorosa	MONDO:0007070
OMIM:103230	103230 adrenocortical hypofunction, chronic primary congenital;;addison disease, congenital	MONDO:0007071
OMIM:103285	#103285 adult syndrome;;acro-dermato-ungual-lacrimal-tooth syndrome	MONDO:0007072
OMIM:103300	hypoglossia-hypodactylia	MONDO:0007073
OMIM:103400	ainhum	MONDO:0007074
OMIM:103420	alacrima, congenital	MONDO:0007075
