omim id 	 omim name 	 umls cuis 	 doids 
100200	abducens palsy	C0271355	DOID:10865
100300	adams-oliver syndrome 1	C0265268	DOID:0060227
100600	acanthosis nigricans	C0000889	DOID:3138
100700	achard syndrome	C1332135	DOID:6686
101805	acrofacial dysostosis, catania type	C2931762	DOID:0060384
101850	acrokeratoelastoidosis	C0545044	DOID:0060362
102400	acroosteolysis	C0917990	DOID:2736
102520	acrorenal syndrome	C3495490	DOID:0060347
102660	adamantinoma of long bones	C0334556	DOID:2775
103200	adiposis dolorosa	C0001529	DOID:3928
103400	ainhum	C0001860	DOID:11329
103900	glucocorticoid-remediable aldosteronism	C1260386	DOID:14080
104300	alzheimer disease	C0002395	DOID:10652
105830	angelman syndrome	C0162635	DOID:1932
106210	aniridia 1	C0003076	DOID:12271
106700	total anomalous pulmonary venous return 1	C0036400	DOID:4297
109350	gastroesophageal reflux	C0017168	DOID:8534
109400	basal cell nevus syndrome	C0004779	DOID:2512
109650	behcet syndrome	C0004943	DOID:13241
109800	bladder cancer	C0005684	DOID:11054
110100	blepharophimosis, ptosis, and epicanthus inversus	C0220663	DOID:14778
112910	brachydactyly, type a6	C1862130	DOID:0110968
113650	branchiootorenal syndrome 1	C0265234	DOID:14702
113800	epidermolytic hyperkeratosis	C0079153	DOID:4603
114000	caffey disease	C0020497	DOID:4257
114290	campomelic dysplasia	C1861922	DOID:0050463
114500	colorectal cancer	C1527249	DOID:9256
115430	carpal tunnel syndrome	C0007286	DOID:12169
118400	cherubism	C0008029	DOID:1856
119500	popliteal pterygium syndrome	C0265259	DOID:0060055
121800	corneal dystrophy, crystalline, of schnyder	C0271287	DOID:0060456
122100	corneal dystrophy, meesmann	C0339277	DOID:0060451
123100	craniosynostosis 1	C0010278	DOID:2340
123400	creutzfeldt-jakob disease	C0022336	DOID:11949
123450	cri-du-chat syndrome	C0010314	DOID:12580
124100	danubian endemic familial nephropathy	C0004698	DOID:3052
124200	darier-white disease	C0022595	DOID:2734
125600	dermatosis papulosa nigra	C0011645	DOID:4400
125853	diabetes mellitus, noninsulin-dependent	C0011860	DOID:9352
126950	dwarfism with tall vertebrae	C1851996	DOID:0060241
127300	leri-weill dyschondrosteosis	C0265309	DOID:0060847
127400	dyschromatosis symmetrica hereditaria 1	C0406775	DOID:0060257
127750	dementia, lewy body	C0752347	DOID:12217
130020	ehlers-danlos syndrome, hypermobility type	C0268337	DOID:14757
130070	ehlers-danlos syndrome with short stature and limb anomalies	C1869122	DOID:0050802
130650	beckwith-wiedemann syndrome	C0004903	DOID:5572
131100	multiple endocrine neoplasia, type i	C0025267	DOID:10017
133700	exostoses, multiple, type i	C0015306	DOID:206
134600	fanconi renotubular syndrome	C0341703	DOID:1062
134750	felty syndrome	C0015773	DOID:11042
135300	fibromatosis, gingival, 1	C0399440	DOID:0060466
136680	frasier syndrome	C0950122	DOID:0050438
136880	fundus albipunctatus	C0311338	DOID:11105
137760	glaucoma, primary open angle	C0339573	DOID:1070
140500	heart, malformation of	C0018798	DOID:1682
142400	hernia, hiatus	C3489393	DOID:12642
143500	gilbert syndrome	C0017551	DOID:2739
144100	hyperhidrosis, gustatory	C0038994	DOID:11599
144250	hyperlipidemia, familial combined	C0020474	DOID:13809
144600	hyperlipoproteinemia, type iv	C0020480	DOID:1172
144650	hyperlipoproteinemia, type v	C0020481	DOID:1171
145100	hyperpigmentation of eyelids	C0155211	DOID:10122
145500	hypertension, essential	C0085580	DOID:10825
145750	hypertriglyceridemia, familial	C0020480	DOID:1172
146255	hypoparathyroidism, sensorineural deafness, and renal disease	C1840333	DOID:0060878
146390	chromosome 18p deletion syndrome	C0432442	DOID:0060406
146510	pallister-hall syndrome	C0265220	DOID:9248
146700	ichthyosis vulgaris	C0079584	DOID:1702
146800	ichthyosis, bullous type	C0432306	DOID:0060877
147421	inclusion body myositis	C0238190	DOID:3429
147710	intussusception	C0021933	DOID:8446
147920	kabuki syndrome 1	C0796004	DOID:0060473
148050	kbg syndrome	C0220687	DOID:14780
150230	trichorhinophalangeal syndrome, type ii	C0023003	DOID:4998
150600	legg-calve-perthes disease	C0023234	DOID:14415
151380	leukemia, acute monocytic	C0023465	DOID:8864
151800	lipomatosis, familial benign cervical	C0024445	DOID:14116
152700	systemic lupus erythematosus	C0024141	DOID:9074
152950	microcephaly with or without chorioretinopathy, lymphedema, or mental retardation	C1835265	DOID:0060349
154600	marcus gunn phenomenon	C0266521	DOID:560
155140	meckel diverticulum	C0025037	DOID:9487
155255	medulloblastoma	C0025149	DOID:0050902
155600	melanoma, cutaneous malignant	C0151779	DOID:8923
155720	melanoma, uveal	C0220633	DOID:6039
155900	melkersson-rosenthal syndrome	C0025235	DOID:1761
156000	meniere disease	C0025281	DOID:9849
156240	mesothelioma, malignant	C0345967	DOID:1790
157900	moebius syndrome	C0221060	DOID:13501
157950	molar i reinclusion	C0155930	DOID:12661
158280	motion sickness	C0026603	DOID:2951
158350	cowden syndrome 1	C0018553	DOID:6457
159580	myelopathy, htlv-1-associated	C0030481	DOID:321
160750	myositis	C0027121	DOID:633
162270	neurofibromatosis, type iv, of riccardi	C0220695	DOID:8712
162300	multiple endocrine neoplasia, type iib	C0025269	DOID:10016
162500	neuropathy, hereditary, with liability to pressure palsies	C0393814	DOID:0060843
162800	cyclic neutropenia	C0221023	DOID:5339
162830	neutrophilia, hereditary	C0543669	DOID:0090120
166200	osteogenesis imperfecta, type i	C0023931	DOID:12347
166600	osteopetrosis, autosomal dominant 2	C3179239	DOID:0110938
166710	osteoporosis	C0029456	DOID:11476
166950	teratoma, ovarian	C0280131	DOID:5567
167210	pachyonychia congenita 2	C1721007	DOID:0050449
167750	pancreas, annular	C0149955	DOID:0060850
168000	paragangliomas 1	C0030421	DOID:0050773
168900	patella, chondromalacia of	C0008475	DOID:13357
