decipher id 	 decipher name 	 db_type 
15	nf1-microdeletion syndrome	DECIPHER
18	1p36 microdeletion syndrome	DECIPHER
19	potocki-lupski syndrome (17p11.2 duplication syndrome)	DECIPHER
2	cri du chat syndrome (5p deletion)	DECIPHER
20	22q13 deletion syndrome (phelan-mcdermid syndrome)	DECIPHER
32	22q11 duplication syndrome	DECIPHER
34	potocki-shaffer syndrome	DECIPHER
35	wagr 11p13 deletion syndrome	DECIPHER
39	8p23.1 deletion syndrome	DECIPHER
42	cat-eye syndrome (type i)	DECIPHER
43	7q11.23 duplication syndrome	DECIPHER
44	2q37 monosomy	DECIPHER
45	xq28 (mecp2) duplication	DECIPHER
48	early-onset alzheimer disease with cerebral amyloid angiopathy	DECIPHER
51	2q33.1 deletion syndrome	DECIPHER
57	17q21.31 recurrent microdeletion syndrome	DECIPHER
58	leri-weill dyschondrostosis (lwd) - shox deletion	DECIPHER
62	1q21.1 recurrent microdeletion (susceptibility locus for neurodevelopmental disorders)	DECIPHER
66	15q24 recurrent microdeletion syndrome	DECIPHER
67	1q21.1 recurrent microduplication (possible susceptibility locus for neurodevelopmental disorders)	DECIPHER
70	2p15-16.1 microdeletion syndrome	DECIPHER
72	22q11.2 distal deletion syndrome	DECIPHER
76	12q14 microdeletion syndrome	DECIPHER
81	15q26 overgrowth syndrome	DECIPHER
85	8p23.1 duplication syndrome	DECIPHER
92	recurrent 16p12.1 microdeletion (neurodevelopmental susceptibility locus)	DECIPHER
10	48,xxyy syndrome	ORPHA
100	ataxia-telangiectasia	ORPHA
1000	ocular albinism with late-onset sensorineural deafness	ORPHA
100006	abeta amyloidosis, dutch type	ORPHA
100008	acys amyloidosis	ORPHA
100024	mu-heavy chain disease	ORPHA
100025	alpha-heavy chain disease	ORPHA
100026	gamma-heavy chain disease	ORPHA
100073	neurogenic thoracic outlet syndrome	ORPHA
100076	duodenal neuroendocrine tumor	ORPHA
100077	jejunal neuroendocrine tumor	ORPHA
100078	ileal neuroendocrine tumor	ORPHA
100084	middle ear neuroendocrine tumor	ORPHA
1001	2q37 microdeletion syndrome	ORPHA
1003	scalp defects-postaxial polydactyly syndrome	ORPHA
1005	alopecia-contractures-dwarfism-intellectual disability syndrome	ORPHA
1006	alopecia antibody deficiency	ORPHA
1008	alopecia-epilepsy-pyorrhea-intellectual disability syndrome	ORPHA
100924	porphyria due to ala dehydratase deficiency	ORPHA
100976	bathing suit ichthyosis	ORPHA
1010	autosomal dominant palmoplantar keratoderma and congenital alopecia	ORPHA
101028	transaldolase deficiency	ORPHA
101041	familial hypofibrinogenemia	ORPHA
1014	alopecia-intellectual disability-hypergonadotropic hypogonadism syndrome	ORPHA
1021	amaurosis-hypertrichosis syndrome	ORPHA
1027	autosomal recessive amelia	ORPHA
1028	ameloonychohypohidrotic syndrome	ORPHA
1031	amelogenesis imperfecta-nephrocalcinosis syndrome	ORPHA
1034	amniotic bands	ORPHA
1035	encephalopathy due to beta-mercaptolactate-cysteine disulfiduria	ORPHA
103910	congenital enterocyte heparan sulfate deficiency	ORPHA
1040	metaphyseal anadysplasia	ORPHA
1041	hydrops fetalis	ORPHA
1046	lethal hemolytic anemia-genital anomalies syndrome	ORPHA
1048	isolated anencephaly/exencephaly	ORPHA
1052	mosaic variegated aneuploidy syndrome	ORPHA
1053	vein of galen aneurysm	ORPHA
1054	aneurysm of sinus of valsalva	ORPHA
1055	fetal left ventricular aneurysm	ORPHA
1059	blue rubber bleb nevus	ORPHA
1062	hereditary neurocutaneous malformation	ORPHA
1064	aniridia-renal agenesis-psychomotor retardation syndrome	ORPHA
1065	aniridia-cerebellar ataxia-intellectual disability syndrome	ORPHA
1067	aniridia-ptosis-intellectual disability-familial obesity syndrome	ORPHA
1068	aniridia-intellectual disability syndrome	ORPHA
