omim id 	 omim name 	 mondos 
OMIM:100650	aldehyde dehydrogenase 2 family
OMIM:100675	acetaminophen metabolism
OMIM:104311	presenilin 1
OMIM:105570	androstenone, ability to smell
OMIM:107680	apolipoprotein a-i
OMIM:107741	apolipoprotein e
OMIM:108320	artichoke, modification of taste by
OMIM:108390	asparagus, specific smell hypersensitivity
OMIM:109270	solute carrier family 4 (anion exchanger), member 1; slc4a1
OMIM:109560	b-cell leukemia/lymphoma 3
OMIM:109600	beeturia
OMIM:110700	blood group--duffy system
OMIM:110800	blood group, i system
OMIM:111150	blood group--lutheran inhibitor; inlu
OMIM:111400	#111400 blood group, p1pk systemp(1) phenotype, included;;p(2) phenotype, included;;p1(k) phenotype, included;;p2(k) phenotype, included;;p phenotype, included;;nor polyagglutination syndrome, included
OMIM:111620	#111620 radin blood group antigen; rd;;blood group--radin antigen
OMIM:111700	rhesus blood group, ccee antigens; rhce
OMIM:113750	#113750 skin/hair/eye pigmentation, variation in, 4; shep4;;skin/hair/eye pigmentation 4, fair/dark skinalbinism, oculocutaneous, type vi, included; oca6, included
OMIM:114835	carboxylesterase 1
OMIM:116790	catechol-o-methyltransferase
OMIM:116850	catatrichy
OMIM:117800	ear wax, wet/dry
OMIM:123270	123270 creatine kinase, brain type, ectopic expression of; ckbe
OMIM:124060	cytochrome p450, subfamily i, polypeptide 2
OMIM:125260	defective interfering particle induction, control of
OMIM:125530	dermal ridges, nelson syndrome
OMIM:125550	dermal ridges-off-the-end
OMIM:125570	dermatoglyphics--arch on any digit
OMIM:125590	dermatoglyphics--fingerprint pattern
OMIM:126100	dimples, facial
OMIM:128950	earlobe crease
OMIM:130180	electroencephalogram, low-voltage
OMIM:130190	electroencephalographic patterns
OMIM:131450	epiblepharon of lower lid
OMIM:131460	epiblepharon of upper lid
OMIM:131500	epicanthus
OMIM:132810	epoxide hydrolase 1, microsomal
OMIM:136100	fingers, relative length of
OMIM:136610	#136610 fragile site 2q11
OMIM:136820	fucosidase, alpha-l, 2
OMIM:138300	glutathione reductase
OMIM:138900	uric acid concentration, serum, quantitative trait locus 1
OMIM:139400	hair whorl
OMIM:139450	hair, curly
OMIM:141749	fetal hemoglobin quantitative trait locus 1
OMIM:141800	+141800 hemoglobin--alpha locus 1; hba1;;3-prime @alpha-globin gene;;minor alpha-globin locusmethemoglobinemia, alpha-globin type, included;;erythremia, alpha-globin type, included
OMIM:141900	hemoglobin--beta locus
OMIM:142000	hemoglobin--delta locus
OMIM:142310	hemoglobin--zeta locus
OMIM:142335	fetal hemoglobin quantitative trait locus 5
OMIM:142395	hepatitis b vaccine, response to
OMIM:142470	fetal hemoglobin quantitative trait locus 2
OMIM:144400	hyperlipoproteinemia, type ii
OMIM:147892	deiodinase, iodothyronine, type i; dio1
OMIM:151430	b-cell cll/lymphoma 2
OMIM:151440	leukemia, lymphoid, 1
OMIM:151441	leukemia/lymphoma, chronic b-cell, 5
OMIM:152200	apolipoprotein(a)
OMIM:152600	lunulae of fingernails
OMIM:155150	median-ulnar nerve communications
OMIM:157200	midphalangeal hair
OMIM:159300	musical perfect pitch
OMIM:159410	mydriatic response to pharmacologic agents
OMIM:159420	mydriasis, congenital
OMIM:159555	lysine-specific methyltransferase 2a; kmt2a
OMIM:161070	nail high-sulfur protein
OMIM:161080	nail low-sulfur protein
OMIM:161100	nailbeds, pigmentation of
OMIM:164170	nystagmus, voluntary
OMIM:167700	palmomental reflex
OMIM:167770	regenerating islet-derived 1-alpha
OMIM:168820	paraoxonase 1
OMIM:171200	thiourea tastingphenylthiocarbamide tasting, included
OMIM:171720	alkaline phosphatase, plasma level of, quantitative trait locus 1
OMIM:173470	+173470 integrin, beta-3; itgb3;;platelet glycoprotein iiia; gp3a;;gp iiia;;platelet fibrinogen receptor, beta subunit;;cd61thrombocytopenia, neonatal alloimmune, included; nait, included;;posttransfusion purpura, included; ptp, included
OMIM:173850	poliovirus receptor
OMIM:176310	pre-b-cell leukemia transcription factor 1
OMIM:176390	pregnancy-specific beta-1-glycoprotein 1
OMIM:176873	cell division cycle 2-like 1
OMIM:176960	protein kinase c, alpha
OMIM:177400	butyrylcholinesterase
OMIM:178635	surfactant, pulmonary-associated protein d
OMIM:179618	recoverin
OMIM:179820	renin
OMIM:180070	180070 retinal nonattachment and falciform detachment
OMIM:180295	#180295 rhabdomyosarcoma, embryonal, 2; rmse2
OMIM:182870	spectrin, beta, erythrocytic
OMIM:186770	t-cell leukemia, homeobox 1
OMIM:186860	t-cell leukemia/lymphoma 4
OMIM:186960	t-cell leukemia/lymphoma 1a
OMIM:187040	t-cell acute lymphocytic leukemia 1
OMIM:187395	teratocarcinoma-derived growth factor 1; tdgf1
OMIM:189300	tongue curling, folding, or rollingcloverleaf tongue, included
OMIM:189980	abelson murine leukemia viral oncogene homolog 1
OMIM:189990	v-myb avian myeloblastosis viral oncogene homolog
OMIM:191160	tumor necrosis factor
OMIM:191540	urate oxidase
OMIM:194533	zinc finger protein 35
OMIM:205000	amyotonia congenita
OMIM:209800	australia antigen
OMIM:210750	skin/hair/eye pigmentation, variation in, 6
OMIM:217030	complement factor i
OMIM:221760	dermatoglyphics--palmar triradius d, absence of
OMIM:221780	dermatoglyphics--hypothenar radial arch
OMIM:222745	2,4-@dienoyl-coa reductase 1
OMIM:225450	elliptocytosis, atypical
OMIM:227220	skin/hair/eye pigmentation, variation in, 1
OMIM:227240	skin/hair/eye pigmentation, variation in, 5
OMIM:247420	lutheran null
OMIM:247980	lipase b, lysosomal acid
OMIM:250650	methane production
OMIM:261500	eosinophil peroxidase deficiency; epxd
OMIM:266300	skin/hair/eye pigmentation, variation in, 2
OMIM:272370	susceptibility to lysis by alloreactive natural killer cells
OMIM:275550	%275550 trichorrhexis nodosa syndrome;;pollitt syndrome;;trichothiodystrophy-neurocutaneous syndrome
OMIM:300033	myeloid/lymphoid or mixed lineage leukemia, translocated to, 7
OMIM:300087	#300087 x inactivation, familial skewed, 1; sxi1
OMIM:300290	^300290 moved to 614732
OMIM:300421	x-linked intellectual disability, wittwer type
OMIM:300488	menopause, natural, age at, quantitative trait locus 1
OMIM:300910	bone mineral density quantitative trait locus 18
OMIM:302300	^302300 moved to 302200
OMIM:302380	%302380 catel-manzke syndrome;;hyperphalangy-clinodactyly of index finger with pierre robin syndrome;;pierre robin syndrome with hyperphalangy and clinodactyly;;index finger anomaly with pierre robin syndrome;;palatodigital syndrome, catel-manzke type;;micrognathia digital syndrome
OMIM:302650	cerebellar degeneration-related autoantigen 1
OMIM:302700	cerebral sclerosis, diffuse, scholz type
OMIM:304300	cyanide, inability to smell
OMIM:305435	fetal hemoglobin quantitative trait locus 3
OMIM:308930	#308930 leigh syndrome, x-linked
OMIM:309050	lutheran suppressor, x-linked
OMIM:309860	monoamine oxidase b
OMIM:311030	mcf.2 cell line-derived transforming sequence
OMIM:311040	elk1, member of ets oncogene family
OMIM:311280	osteopathia striata - pigmentary dermopathy - white forelock
OMIM:311790	6-@phosphofructo-2-kinase/fructose-2,6-bisphosphatase 1
OMIM:312200	radial loop, plain, on right index finger
OMIM:312420	renin-binding protein
OMIM:312860	craniodigital syndrome - intellectual disability
OMIM:314200	thyroxine-binding globulin of serum
OMIM:314240	tooth size
OMIM:314900	xm system
OMIM:315000	^315000 moved to 302200
OMIM:400003	deleted in azoospermia
OMIM:410000	amelogenin, y-chromosomal
OMIM:425000	granulocyte-macrophage colony-stimulating factor receptor, alpha subunit,y-chromosomal
OMIM:426000	jumonji, at-rich interactive domain 1d
OMIM:430000	interleukin 3 receptor, y-chromosomal
OMIM:475000	growth control, y-chromosome influenced
OMIM:489500	xg regulator
OMIM:490000	zinc finger protein, y-linked
OMIM:516001	complex i, subunit nd2
OMIM:516005	complex i, subunit nd5
OMIM:516006	complex i, subunit nd6
OMIM:516020	cytochrome b of complex iii
OMIM:516030	complex iv, cytochrome c oxidase subunit i
OMIM:516050	cytochrome c oxidase iii
OMIM:600045	dna damage-binding protein 1
OMIM:600522	phospholipase a2, group iva; pla2g4a
OMIM:600541	ets variant gene 1
OMIM:600635	nk2 homeobox 1
OMIM:600737	inclusion body myopathy 2, autosomal recessive
OMIM:600952	transsexuality
OMIM:601696	novelty seeking personality trait
OMIM:601816	bilirubin, serum level of, quantitative trait locus 1; biliqtl1
OMIM:601884	bone mineral density quantitative trait locus 1
OMIM:602025	body mass index quantitative trait locus 9; bmiq9
OMIM:605431	*605431 mitogen-activated protein kinase 8-interacting protein 3; mapk8ip3;;sunday driver, drosophila, homolog of, 2; syd2;;jnk/stress-activated protein kinase-associated protein 1; jsap1;;jnk-interacting protein 3; jip3
OMIM:606867	*606867 golgi reassembly stacking protein 1; gorasp1;;golgi phosphoprotein 5; golph5;;golgi reassembly and stacking protein, 65-kd; grasp65;;golgi peripheral membrane protein p65; p65
OMIM:607261	*607261 evc2 gene; evc2;;limbin; lbn
OMIM:607552	607552 minicore myopathy, antenatal onset, with arthrogryposis;;multicore myopathy, antenatal onset, with arthrogryposis;;multiminicore myopathy, antenatal onset, with arthrogryposis
OMIM:608578	short stature - intellectual disability - eye anomalies - cleft lip/palate
OMIM:608622	hypertension, diastolic, resistance to
OMIM:608664	%608664 seckel syndrome 3; sckl3
OMIM:608967	#608967 loeys-dietz syndrome, type 2a; lds2a;;aortic aneurysm, familial thoracic 5; aat5
OMIM:609070	hemoglobin, high oxygen saturation of
OMIM:609338	#609338 carotid intimal medial thickness 1;;cimt1;;intimal medial thickness of internal carotid artery
OMIM:610380	#610380 loeys-dietz syndrome, type 2b; lds2b;;aortic aneurysm, familial thoracic 3; aat3;;marfan syndrome, type ii, formerly
OMIM:610765	#610765 ichthyosis with hypotrichosis, autosomal recessive;;arih
OMIM:612271	#612271 skin/hair/eye pigmentation, variation in, 11; shep11;;melanesian blond hair;;skin/hair/eye pigmentation 11, blue/nonblue eyes
OMIM:612666	dual serine/threonine and tyrosine protein kinase; dstyk
OMIM:612671	#612671 uric acid concentration, serum, quantitative trait locus 4; uaqtl4;;gout susceptibility 4; gout4
OMIM:612885	#612885 premature ovarian failure 10; pof10menopause, natural, age at, quantitative trait locus 3, included;menoq3, included
OMIM:612934	glycogen storage disease xiv; gsd14
OMIM:613097	tooth agenesis, selective, 6; sthag6
OMIM:613418	#613418 bone mineral density quantitative trait locus 15; bmnd15;;osteoporosis, susceptibility to;;metaphyseal fracture, susceptibility to;;compression fracture, susceptibility to
OMIM:613853	#613853 transposition of the great arteries, dextro-looped 2; dtga2
OMIM:614087	#614087 fanconi anemia, complementation group m; fancm
OMIM:614132	#614132 craniofacial dysmorphism, skeletal anomalies, and mental retardationsyndrome; cfsmr;;tmco1 defect syndrome
OMIM:614253	#614253 amelogenesis imperfecta and gingival fibromatosis syndrome; aigfs
OMIM:615057	#615057 blepharophimosis-ptosis-intellectual disability syndrome; bpids;;bpid syndrome;;blepharophimosis-ptosis-mental retardation syndrome
OMIM:615133	*615133 udp-n-acetyl-alpha-d-galactosamine:polypeptide n-acetylgalactosaminyltransferase-like5; galntl5;;galnac transferase 19; galnact19
OMIM:615457	#615457 body mass index quantitative trait locus 18; bmiq18;;obesity, susceptibility to
OMIM:616089	#616089 blood group, gerbich system; ge ;;gerbich blood group system
OMIM:616224	myasthenic syndrome, congenital, 22
OMIM:616233	charcot-marie-tooth disease, axonal, type 2t; cmt2t
OMIM:617213 	sedoheptulokinase deficiency; shpkd
OMIM:617349	aortic aneurysm, familial thoracic 11, susceptibility to
OMIM:617350	epileptic encephalopathy, early infantile, 52
OMIM:617360	congenital heart defects, dysmorphic facial features, and intellectual developmental disorder
OMIM:617364	congenital heart defects and ectodermal dysplasia
OMIM:617370	peroxisome biogenesis disorder 10b
OMIM:617384	hyperphenylalaninemia, mild, non-bh4-deficient
OMIM:617388	autoinflammation with arthritis and dyskeratosis
OMIM:617389	epileptic encephalopathy, early infantile, 53
OMIM:617391	epileptic encephalopathy, early infantile, 54
OMIM:617392	ectodermal dysplasia 13, hair/tooth type
OMIM:617393	neurodevelopmental disorder with epilepsy, cataracts, feeding difficulties, and delayed brain myelination
OMIM:617394	sclerosing cholangitis, neonatal
OMIM:617395	congenital disorder of glycosylation, type iiq
OMIM:617396	anauxetic dysplasia 2
OMIM:617397	pseudo-torch syndrome 2
OMIM:617402	cutis laxa, autosomal recessive, type iic
OMIM:617404	muscular dystrophy, congenital, with cataracts and intellectual disability
OMIM:617405	short-rib thoracic dysplasia 17 with or without polydactyly
OMIM:617406 	bardet-biedl syndrome 21; bbs21
OMIM:617408	diamond-blackfan anemia 16
OMIM:617409	diamond-blackfan anemia 17
OMIM:617412	macinnes syndrome
OMIM:617425	immunoskeletal dysplasia with neurodevelopmental abnormalities
OMIM:617432	mental retardation, autosomal recessive 60
OMIM:617433	retinitis pigmentosa 78
OMIM:617439	craniosynostosis 7
OMIM:617441	thrombocytopenia, anemia, and myelofibrosis
OMIM:617442	premature ovarian failure 13
OMIM:617450	intellectual developmental disorder with gastrointestinal difficulties and high pain threshold
OMIM:617452	intellectual developmental disorder with dysmorphic facies, seizures, and distal limb anomalies
OMIM:617460	retinitis pigmentosa 79
OMIM:617466	townes-brocks syndrome 2
OMIM:617468	arthrogryposis multiplex congenita, neurogenic, with myelin defect
OMIM:617478	structural heart defects and renal anomalies syndrome
OMIM:617506	noonan syndrome-like disorder with loose anagen hair 2
OMIM:617526	erythrokeratodermia variabilis et progressiva 4
OMIM:617537	rahman syndrome
OMIM:OMIM	#616006 hennekam lymphangiectasia-lymphedema syndrome 2; hklls2
