hpo id 	 hpo name 	 umls cui 
HP:0000002	abnormality of body height	C4025901
HP:0000003	multicystic kidney dysplasia	C3714581
HP:0000008	abnormality of female internal genitalia	C4025900
HP:0000009	functional abnormality of the bladder	C3806583
HP:0000010	recurrent urinary tract infections	C0262655
HP:0000011	neurogenic bladder	C0005697
HP:0000012	urinary urgency	C0085606|C3544092|C4020898
HP:0000013	hypoplasia of the uterus	C0266399
HP:0000014	abnormality of the bladder	C0149632
HP:0000015	bladder diverticulum	C0156273
HP:0000016	urinary retention	C0080274
HP:0000017	nocturia	C0028734
HP:0000019	urinary hesitancy	C0152032
HP:0000020	urinary incontinence	C0042024
HP:0000021	megacystis	C1855311
HP:0000022	abnormality of male internal genitalia	C4025899
HP:0000023	inguinal hernia	C0019294
HP:0000024	prostatitis	C0033581
HP:0000025	functional abnormality of male internal genitalia	C4025898
HP:0000026	male hypogonadism	C0151721
HP:0000027	azoospermia	C0004509
HP:0000028	cryptorchidism	C0010417
HP:0000029	testicular atrophy	C0156312
HP:0000030	testicular gonadoblastoma	C1515283
HP:0000031	epididymitis	C0014534
HP:0000032	abnormality of male external genitalia	C4025897
HP:0000033	ambiguous genitalia, male	C4021823
HP:0000034	hydrocele testis	C1720771
HP:0000035	abnormality of the testis	C0266423
HP:0000036	abnormality of the penis	C4025896
HP:0000037	male pseudohermaphroditism	C0238395
HP:0000039	epispadias	C0563449
HP:0000040	long penis	C0269011
HP:0000041	chordee	C0221182
HP:0000042	absent external genitalia	C1848869
HP:0000044	hypogonadotrophic hypogonadism	C0271623|C3489396
HP:0000045	abnormality of the scrotum	C4025895
HP:0000046	scrotal hypoplasia	C0431659
HP:0000047	hypospadias	C1691215
HP:0000048	bifid scrotum	C0341787
HP:0000049	shawl scrotum	C1858539
HP:0000050	hypoplastic male external genitalia	C1852534
HP:0000051	perineal hypospadias	C0452148
HP:0000052	urethral atresia, male	C4025894
HP:0000053	macroorchidism	C1263023
HP:0000054	micropenis	C0266435
HP:0000055	abnormality of female external genitalia	C4021822
HP:0000056	abnormality of the clitoris	C4025893
HP:0000058	abnormality of the labia	C4025892
HP:0000059	hypoplastic labia majora	C0566899
HP:0000060	clitoral hypoplasia	C1844527
HP:0000061	ambiguous genitalia, female	C1859980|C4025891
HP:0000062	ambiguous genitalia	C0266362
HP:0000063	fused labia minora	C1837532
HP:0000064	hypoplastic labia minora	C1849295
HP:0000065	labial hypertrophy	C0404531
HP:0000066	labial hypoplasia	C1850325
HP:0000068	urethral atresia	C1610065
HP:0000069	abnormality of the ureter	C1840382
HP:0000070	ureterocele	C0041960
HP:0000071	ureteral stenosis	C0521618
HP:0000072	hydroureter	C0521620|C4020897
HP:0000073	ureteral duplication	C0221365
HP:0000074	ureteropelvic junction obstruction	C0521619
HP:0000075	renal duplication	C0266298
HP:0000076	vesicoureteral reflux	C0042580
HP:0000077	abnormality of the kidney	C0022658|C0266292
HP:0000078	abnormality of the genital system	C0281966|C0744356
HP:0000079	abnormality of the urinary system	C4021821
HP:0000081	duplicated collecting system	C1858565
HP:0000083	renal insufficiency	C0035078|C1565489|C1839604
HP:0000085	horseshoe kidney	C0221353
HP:0000086	ectopic kidney	C0238207
HP:0000089	renal hypoplasia	C0266295
HP:0000090	nephronophthisis	C0687120
HP:0000091	abnormality of the renal tubule	C4021826
HP:0000092	tubular atrophy	C1858395
HP:0000093	proteinuria	C0033687
HP:0000096	glomerulosclerosis	C0178664
HP:0000097	focal segmental glomerulosclerosis	C0017668
HP:0000098	tall stature	C0241240
HP:0000099	glomerulonephritis	C0017658
HP:0000100	nephrotic syndrome	C0027726
HP:0000103	polyuria	C0032617
HP:0000104	renal agenesis	C0542519
HP:0000105	enlarged kidney	C0542518
HP:0000107	renal cyst	C0022679|C3887499
HP:0000108	renal corticomedullary cysts	C1968619
HP:0000110	renal dysplasia	C1619700|C3536714
HP:0000111	renal juxtaglomerular cell hypertrophy/hyperplasia	C1866496
HP:0000112	nephropathy	C0022658|C1408258
HP:0000113	polycystic kidney dysplasia	C0022680|C1567435
HP:0000114	proximal tubulopathy	C1839603
HP:0000117	renal phosphate wasting	C1845169
HP:0000119	abnormality of the genitourinary system	C0042063|C0080276|C4020895
HP:0000121	nephrocalcinosis	C0027709|C4280679
HP:0000122	unilateral renal agenesis	C0266294
HP:0000123	nephritis	C0027697
HP:0000124	renal tubular dysfunction	C0151747
HP:0000125	pelvic kidney	C0221209
HP:0000126	hydronephrosis	C0020295
HP:0000127	renal salt wasting	C1846347
HP:0000128	renal potassium wasting	C1846348
HP:0000130	abnormality of the uterus	C0266383
HP:0000131	uterine leiomyoma	C0042133
HP:0000132	menorrhagia	C0025323
HP:0000133	gonadal dysgenesis	C0018051|C0018055|C0687149
HP:0000134	female hypogonadism	C0271578
HP:0000135	hypogonadism	C0020619
HP:0000136	bifid uterus	C1850327
HP:0000137	abnormality of the ovary	C0029928|C4021818
HP:0000138	ovarian cyst	C0029927
HP:0000139	uterine prolapse	C0042140
HP:0000140	abnormality of the menstrual cycle	C3549779|C4025888
HP:0000141	amenorrhea	C2219717
HP:0000142	abnormality of the vagina	C1856023
HP:0000143	rectovaginal fistula	C0034895
HP:0000144	decreased fertility	C0520927
HP:0000145	transverse vaginal septum	C1856006
HP:0000147	polycystic ovaries	C0032460|C1136382
HP:0000148	vaginal atresia	C1321884
HP:0000149	ovarian gonadoblastoma	C1518716
HP:0000150	gonadoblastoma	C0206661
HP:0000151	aplasia of the uterus	C0425913
HP:0000153	abnormality of the mouth	C0026633
HP:0000154	wide mouth	C0024433
HP:0000155	oral ulcer	C0149745
HP:0000157	abnormality of the tongue	C0878638
HP:0000158	macroglossia	C0024421
HP:0000159	abnormality of the lip	C2183966
HP:0000160	narrow mouth	C0026034
HP:0000161	median cleft lip	C1850256
HP:0000162	glossoptosis	C0267048|C4280678
HP:0000163	abnormality of the oral cavity	C4025887
HP:0000164	abnormality of the dentition	C0040427|C0262444
HP:0000166	severe periodontitis	C4025886
HP:0000168	abnormality of the gingiva	C4021816
HP:0000169	gingival fibromatosis	C0016049|C0399440|C4280677
HP:0000171	microglossia	C0025988|C0426492
HP:0000172	abnormality of the uvula	C4025885
HP:0000174	abnormality of the palate	C4021815
HP:0000175	cleft palate	C0008925|C2981150
HP:0000176	submucous cleft hard palate	C0432103|C4020894
HP:0000177	abnormality of upper lip	C4025884
HP:0000178	abnormality of lower lip	C4025883
HP:0000179	thick lower lip vermilion	C1839739|C2053437
HP:0000180	lobulated tongue	C0431564
HP:0000182	movement abnormality of the tongue	C4025882
HP:0000183	difficulty in tongue movements	C1853406|C4280676
HP:0000185	cleft soft palate	C0432098
HP:0000187	broad alveolar ridges	C1857500|C4280675
HP:0000188	short upper lip	C1848977
HP:0000189	narrow palate	C1398312
HP:0000190	abnormality of oral frenula	C4025881
HP:0000191	accessory oral frenulum	C4021814
HP:0000193	bifid uvula	C0266122
HP:0000194	open mouth	C0240379
HP:0000196	lower lip pit	C1861544
HP:0000197	abnormality of parotid gland	C4025880
HP:0000198	absence of stensen duct	C1858569|C4280674
HP:0000199	tongue nodules	C0241438
HP:0000200	short lingual frenulum	C0426501|C4280673
HP:0000201	pierre-robin sequence	C0031900
HP:0000202	oral cleft	C0158646|C4021813
HP:0000204	cleft upper lip	C0008924
HP:0000205	pursed lips	C1832130
HP:0000206	glossitis	C0017675
HP:0000207	triangular mouth	C1849341
HP:0000211	trismus	C0041105|C1848474|C4228933|C4280672
HP:0000212	gingival overgrowth	C0017566|C0017567|C0376480
HP:0000214	lip telangiectasia	C1857697|C4280670|C4280671
HP:0000215	thick upper lip vermilion	C1846423
HP:0000216	broad secondary alveolar ridge	C1839276
HP:0000217	xerostomia	C0043352
HP:0000218	high palate	C0240635
HP:0000219	thin upper lip vermilion	C1865017
HP:0000220	velopharyngeal insufficiency	C0042454|C4280669
HP:0000221	furrowed tongue	C0040412
HP:0000222	gingival hyperkeratosis	C1857013
HP:0000223	abnormality of taste sensation	C4025879
HP:0000224	decreased taste sensation	C0151934
HP:0000225	gingival bleeding	C0017565
HP:0000227	tongue telangiectasia	C4025878|C4280668
HP:0000230	gingivitis	C0017574
HP:0000232	everted lower lip vermilion	C1853246|C1866234
HP:0000233	thin vermilion border	C0578038
HP:0000234	abnormality of the head	C4021812
HP:0000235	abnormality of the fontanelles or cranial sutures	C4025876
HP:0000237	small anterior fontanelle	C1859455
HP:0000238	hydrocephalus	C0020255
HP:0000239	large fontanelles	C0456132|C4072820|C4072821|C4072822
HP:0000242	parietal bossing	C1857126
HP:0000243	trigonocephaly	C0265535|C4280665|C4280666
HP:0000244	brachyturricephaly	C1857484
HP:0000245	abnormality of the paranasal sinuses	C4025873
HP:0000246	sinusitis	C0030469|C0037199
HP:0000248	brachycephaly	C0221356|C4072823|C4072824
HP:0000250	dense calvaria	C1854834
HP:0000252	microcephaly	C0424688
HP:0000253	progressive microcephaly	C1850456
HP:0000256	macrocephaly	C4083076|C4255213|C4280663|C4280664
HP:0000260	wide anterior fontanel	C1866134
HP:0000262	turricephaly	C0030044
HP:0000263	oxycephaly	C0030044
HP:0000264	abnormality of the mastoid	C4025872
HP:0000265	mastoiditis	C0024904
HP:0000267	cranial asymmetry	C1860245|C4280258|C4280657|C4280658|C4280659|C4280660|C4280661|C4280662
HP:0000268	dolichocephaly	C0221358|C4280653|C4280654|C4280655|C4280656
HP:0000269	prominent occiput	C1853737|C4280652
HP:0000270	delayed cranial suture closure	C0277828
HP:0000271	abnormality of the face	C0266617|C1290857|C4025871
HP:0000272	malar flattening	C1858085|C4280651
HP:0000273	facial grimacing	C0234853
HP:0000274	small face	C1855538
HP:0000275	narrow face	C1837463|C1849121
HP:0000276	long face	C1836047
HP:0000277	abnormality of the mandible	C4025870
HP:0000278	retrognathia	C3494422
HP:0000280	coarse facial features	C1845847|C4072825
HP:0000282	facial edema	C0542571
HP:0000283	broad face	C1859680
HP:0000286	epicanthus	C0678230
HP:0000287	increased facial adipose tissue	C4025868|C4280649|C4280650
HP:0000288	abnormality of the philtrum	C1857045
HP:0000289	broad philtrum	C1854111
HP:0000290	abnormality of the forehead	C4025867
HP:0000292	loss of facial adipose tissue	C1837767
HP:0000293	full cheeks	C1866231|C2748653|C3806443|C4280647|C4280648
HP:0000294	low anterior hairline	C1842366
HP:0000295	doll-like facies	C1856361
HP:0000297	facial hypotonia	C1845251|C4280646
HP:0000298	mask-like facies	C0424448
HP:0000300	oval face	C1849025
HP:0000303	mandibular prognathia	C0302501|C0399526|C2227134|C4280644|C4280645
HP:0000306	abnormality of the chin	C4025864
HP:0000307	pointed chin	C1844505
HP:0000308	microretrognathia	C1839546
HP:0000309	abnormality of the midface	C4021811
HP:0000311	round face	C0239479|C1856468
